County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
De Witt County,Illinois,17,39,12.6,20.3,562.0,34.6,103.0,14604.0,16176.0,24.7,13.3,55411.0,29.0,94.0,6.6,0.4034,98000.0,21.9,76.0,16176.0,14604.0,27866.0,2017
DeKalb County,Alabama,1,49,15.5,13.0,579.0,37.5,403.0,61415.0,71194.0,22.2,21.5,38842.0,963.0,84.9,5.1,0.4648,102900.0,24.6,1040.0,71194.0,61415.0,20020.0,2017
DeKalb County,Georgia,13,89,10.6,42.1,1062.0,43.8,11333.0,254989.0,736066.0,16.5,17.6,55876.0,4891.0,84.0,8.5,0.4907,176000.0,23.5,397343.0,736066.0,254989.0,32110.0,2017
DeKalb County,Illinois,17,37,10.1,30.6,887.0,48.3,1587.0,88042.0,104473.0,16.2,18.1,58343.0,61.0,92.9,8.6,0.4338,166800.0,21.8,7766.0,104473.0,88042.0,26511.0,2017
DeKalb County,Indiana,18,33,15.1,17.8,695.0,36.7,291.0,41354.0,42524.0,21.6,12.5,51374.0,23.0,89.5,4.6,0.4183,113600.0,24.8,126.0,42524.0,41354.0,26057.0,2017
DeKalb County,Missouri,29,63,15.3,14.5,622.0,42.5,78.0,10813.0,12564.0,21.6,12.5,46517.0,85.0,92.5,3.4,0.4243,111600.0,16.4,1231.0,12564.0,10813.0,18994.0,2017
DeKalb County,Tennessee,47,41,16.8,13.6,624.0,36.4,151.0,18244.0,19380.0,24.5,18.9,40690.0,45.0,87.8,5.6,0.5174,131100.0,22.1,265.0,19380.0,18244.0,25443.0,2017
DeSoto County,Florida,12,27,13.8,11.5,672.0,38.8,435.0,29791.0,35675.0,27.3,29.9,35435.0,106.0,78.5,6.1,0.4486,83700.0,20.1,4572.0,35675.0,29791.0,17892.0,2017
DeSoto County,Mississippi,28,33,11.7,23.5,1000.0,41.2,1576.0,120513.0,173267.0,17.1,9.8,62595.0,242.0,89.8,6.1,0.4057,158600.0,26.4,43980.0,173267.0,120513.0,28316.0,2017
DeWitt County,Texas,48,123,16.4,13.6,728.0,35.1,115.0,13888.0,20474.0,25.8,16.0,50960.0,144.0,87.2,6.5,0.5196,100000.0,22.6,1895.0,20474.0,13888.0,28116.0,2017
Deaf Smith County,Texas,48,117,10.9,14.2,763.0,39.5,96.0,16544.0,18947.0,17.1,18.0,51543.0,115.0,82.0,5.0,0.3947,88000.0,31.7,221.0,18947.0,16544.0,21209.0,2017
Dearborn County,Indiana,18,29,12.1,21.7,735.0,35.4,306.0,48140.0,49564.0,22.6,10.1,62905.0,120.0,92.7,5.8,0.4242,160800.0,23.3,403.0,49564.0,48140.0,30228.0,2017
Decatur County,Georgia,13,87,17.2,14.9,622.0,38.0,316.0,14159.0,27023.0,21.6,24.1,36934.0,39.0,81.4,6.5,0.5121,109800.0,24.7,11382.0,27023.0,14159.0,19650.0,2017
Decatur County,Indiana,18,31,14.2,19.7,767.0,37.0,247.0,25436.0,26480.0,22.4,11.4,52270.0,93.0,90.3,4.8,0.3962,121800.0,24.6,177.0,26480.0,25436.0,25548.0,2017
Decatur County,Iowa,19,53,17.5,21.5,512.0,40.2,121.0,7733.0,8105.0,25.7,19.1,41042.0,24.0,87.9,5.0,0.4364,76300.0,21.3,135.0,8105.0,7733.0,21110.0,2017
Decatur County,Kansas,20,39,18.3,21.9,596.0,27.2,47.0,2798.0,2891.0,34.2,17.5,41230.0,27.0,88.3,2.8,0.4913,63400.0,19.1,5.0,2891.0,2798.0,30890.0,2017
