County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Avery County,North Carolina,37,11,15503.0,17815.0,14.4,251.0,728.0,85.6,0.524,135.0,38051.0,15503.0,23616.0,17815.0,155400.0,705.0,10.6,2012
Avoyelles Parish,Louisiana,22,9,28265.0,41925.0,12.2,220.0,575.0,78.1,0.4762,436.0,34512.0,28265.0,18518.0,41925.0,85700.0,12366.0,9.1,2012
Baca County,Colorado,8,9,3580.0,3783.0,21.9,30.0,454.0,81.3,0.451,33.0,39497.0,3580.0,22436.0,3783.0,72300.0,16.0,5.4,2012
Bacon County,Georgia,13,5,8608.0,11124.0,10.5,23.0,522.0,77.3,0.4526,0.0,33557.0,8608.0,17396.0,11124.0,71600.0,1810.0,9.7,2012
Bailey County,Texas,48,17,6417.0,7096.0,9.3,36.0,526.0,70.0,0.426,2.0,41075.0,6417.0,17411.0,7096.0,57200.0,129.0,10.6,2012
Baker County,Florida,12,3,22683.0,27010.0,9.5,125.0,711.0,77.1,0.4111,24.0,47149.0,22683.0,19198.0,27010.0,126200.0,3786.0,10.3,2012
Baker County,Georgia,13,7,1497.0,3483.0,18.2,12.0,451.0,80.0,0.5303,0.0,24219.0,1497.0,17871.0,3483.0,74200.0,1981.0,14.4,2012
Baker County,Oregon,41,1,15378.0,16092.0,21.3,164.0,625.0,83.0,0.4562,240.0,40348.0,15378.0,22938.0,16092.0,156800.0,32.0,7.0,2012
Baldwin County,Alabama,1,3,158259.0,183226.0,16.1,1373.0,874.0,79.2,0.4364,1038.0,50706.0,158259.0,26769.0,183226.0,172900.0,17016.0,8.1,2012
Baldwin County,Georgia,13,9,25696.0,46378.0,11.1,444.0,688.0,81.9,0.4828,61.0,35278.0,25696.0,18099.0,46378.0,106200.0,19335.0,18.0,2012
Ballard County,Kentucky,21,7,7866.0,8268.0,15.5,73.0,558.0,79.9,0.4606,21.0,41989.0,7866.0,24778.0,8268.0,91800.0,256.0,8.1,2012
Baltimore City,Maryland,24,510,186860.0,620644.0,9.7,10465.0,909.0,79.4,0.5014,2099.0,40803.0,186860.0,24155.0,620644.0,161300.0,395383.0,12.4,2012
