County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_household_income,gini_index,native_american_population,health_insurance_rate,unemployment_rate,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Duplin County,North Carolina,37,61,16.4,8.6,626.0,76.4,34990.0,59455.0,12.7,26.9,554.0,34787.0,0.4496,66.0,22.8,12.0,59455.0,86000.0,15126.0,9.2,34990.0,17677.0,2014
Durham County,North Carolina,37,63,10.2,43.3,877.0,78.6,142157.0,282422.0,8.9,18.1,4479.0,52038.0,0.477,1126.0,15.8,8.1,282422.0,180200.0,105885.0,11.3,142157.0,29801.0,2014
Dutchess County,New York,36,27,12.8,32.7,1124.0,81.5,235083.0,297388.0,12.8,8.8,2251.0,72471.0,0.4317,1009.0,8.5,9.3,297388.0,282100.0,29890.0,11.4,235083.0,33962.0,2014
Duval County,Florida,12,31,12.7,26.7,941.0,78.3,543264.0,880750.0,10.3,17.4,11559.0,47582.0,0.473,2408.0,16.2,11.1,880750.0,144000.0,259375.0,10.6,543264.0,26267.0,2014
Duval County,Texas,48,131,26.3,6.2,719.0,79.9,10018.0,11644.0,14.4,23.7,30.0,32479.0,0.5413,59.0,28.3,10.9,11644.0,53800.0,105.0,14.3,10018.0,21334.0,2014
Dyer County,Tennessee,47,45,17.5,20.9,616.0,77.0,31281.0,38156.0,13.3,16.0,452.0,41426.0,0.4536,42.0,11.3,8.4,38156.0,99800.0,5217.0,8.2,31281.0,22925.0,2014
Eagle County,Colorado,8,37,4.4,45.0,1231.0,78.9,46882.0,52233.0,6.5,10.0,648.0,73774.0,0.454,276.0,18.4,5.0,52233.0,435600.0,548.0,8.8,46882.0,39355.0,2014
Early County,Georgia,13,99,14.8,12.6,576.0,76.0,5108.0,10662.0,15.4,27.3,40.0,35000.0,0.4844,0.0,17.1,8.4,10662.0,83900.0,5343.0,9.4,5108.0,19302.0,2014
East Baton Rouge Parish,Louisiana,22,33,12.6,34.4,833.0,78.3,216660.0,443598.0,10.0,19.3,5455.0,48535.0,0.4873,712.0,13.7,8.0,443598.0,166800.0,201724.0,14.9,216660.0,27558.0,2014
East Carroll Parish,Louisiana,22,35,15.4,6.5,490.0,77.6,2202.0,7602.0,9.2,46.6,73.0,24947.0,0.4998,0.0,29.2,18.2,7602.0,48300.0,5310.0,10.0,2202.0,12129.0,2014
East Feliciana Parish,Louisiana,22,37,17.9,10.8,632.0,84.2,10730.0,19964.0,12.9,18.2,148.0,46220.0,0.4504,59.0,15.3,6.5,19964.0,128000.0,8976.0,9.7,10730.0,21370.0,2014
Eastland County,Texas,48,133,21.6,12.9,559.0,78.6,17130.0,18403.0,17.7,20.7,77.0,35221.0,0.5534,37.0,21.9,4.1,18403.0,58700.0,514.0,11.5,17130.0,22171.0,2014
Eaton County,Michigan,26,45,13.6,24.6,772.0,79.8,94827.0,108081.0,14.0,10.4,1033.0,55223.0,0.3983,447.0,9.0,9.3,108081.0,133400.0,6692.0,9.3,94827.0,27089.0,2014
Eau Claire County,Wisconsin,55,35,10.7,30.0,725.0,80.4,93700.0,100607.0,11.7,15.4,1364.0,48209.0,0.4469,424.0,9.1,5.7,100607.0,149300.0,714.0,16.4,93700.0,25808.0,2014
Echols County,Georgia,13,101,14.1,4.8,656.0,79.3,3220.0,4018.0,7.4,30.1,36.0,32667.0,0.4583,11.0,34.6,8.1,4018.0,71500.0,62.0,12.9,3220.0,17350.0,2014
Ector County,Texas,48,135,13.7,13.9,849.0,72.4,122535.0,144932.0,8.6,14.6,1113.0,54903.0,0.4522,1026.0,26.1,5.3,144932.0,96800.0,6227.0,11.4,122535.0,25726.0,2014
Eddy County,New Mexico,35,15,15.6,15.8,738.0,76.1,48393.0,54834.0,12.3,13.0,341.0,51303.0,0.4724,751.0,14.8,7.2,54834.0,116200.0,783.0,9.5,48393.0,27630.0,2014
Eddy County,North Dakota,38,27,11.3,16.9,425.0,83.0,2247.0,2379.0,19.8,15.7,8.0,47917.0,0.4664,87.0,6.4,1.5,2379.0,64300.0,0.0,8.4,2247.0,29059.0,2014
Edgar County,Illinois,17,45,14.3,17.9,601.0,80.6,17839.0,18171.0,16.6,17.7,111.0,43075.0,0.4625,26.0,9.1,11.3,18171.0,75700.0,117.0,8.0,17839.0,25018.0,2014
Edgecombe County,North Carolina,37,65,17.3,8.9,649.0,76.7,21639.0,55779.0,13.6,25.3,710.0,33892.0,0.4438,145.0,18.4,16.9,55779.0,81700.0,31718.0,9.6,21639.0,17652.0,2014
Edgefield County,South Carolina,45,37,14.9,18.6,580.0,83.1,15835.0,26573.0,12.0,18.1,128.0,44704.0,0.4369,69.0,15.2,10.7,26573.0,110400.0,9762.0,9.3,15835.0,20809.0,2014
Edmonson County,Kentucky,21,61,25.7,9.8,574.0,82.1,11830.0,12137.0,16.7,16.8,17.0,42404.0,0.4307,17.0,10.4,9.9,12137.0,92700.0,175.0,10.7,11830.0,20652.0,2014
Edmunds County,South Dakota,46,45,10.2,26.2,497.0,80.2,3960.0,4036.0,19.5,11.7,15.0,54229.0,0.4088,51.0,6.8,1.4,4036.0,102400.0,2.0,7.9,3960.0,27271.0,2014
Edwards County,Illinois,17,47,15.7,10.0,477.0,78.9,6544.0,6687.0,15.6,12.5,52.0,42779.0,0.4101,0.0,8.8,9.7,6687.0,64300.0,38.0,7.7,6544.0,21896.0,2014
Edwards County,Kansas,20,47,13.3,20.1,507.0,79.0,2818.0,3006.0,18.6,12.1,6.0,47101.0,0.4084,5.0,15.5,3.1,3006.0,56500.0,32.0,7.5,2818.0,24899.0,2014
Edwards County,Texas,48,137,20.1,29.2,479.0,85.8,1994.0,2037.0,31.4,15.9,0.0,41726.0,0.4376,0.0,17.9,10.3,2037.0,71100.0,15.0,10.8,1994.0,28407.0,2014
Effingham County,Georgia,13,103,12.2,16.2,937.0,74.4,44293.0,53673.0,9.2,10.5,382.0,63903.0,0.3834,158.0,15.6,7.1,53673.0,153700.0,7455.0,9.1,44293.0,25481.0,2014
