County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population,Year
Leon County,Texas,48,289,79.7,621.0,21.8,16819.0,14755.0,51.0,49802.0,0.4768,75.0,16819.0,1318.0,7.3,102800.0,27535.0,14755.0,2015
Leslie County,Kentucky,21,131,79.8,438.0,13.7,10997.0,10840.0,48.0,25872.0,0.4862,14.0,10997.0,75.0,8.4,45500.0,15558.0,10840.0,2015
Letcher County,Kentucky,21,133,80.1,531.0,14.8,23671.0,23278.0,66.0,30333.0,0.4608,26.0,23671.0,45.0,7.9,56300.0,17194.0,23278.0,2015
Levy County,Florida,12,75,80.9,671.0,22.0,39821.0,34782.0,276.0,35782.0,0.4595,212.0,39821.0,3643.0,7.7,88600.0,20299.0,34782.0,2015
Lewis County,Idaho,16,61,78.8,599.0,22.8,3812.0,3400.0,25.0,36505.0,0.4244,173.0,3812.0,3.0,6.5,115300.0,21152.0,3400.0,2015
Lewis County,Kentucky,21,135,79.3,438.0,15.4,13790.0,13545.0,49.0,28630.0,0.4687,44.0,13790.0,36.0,8.5,67100.0,16662.0,13545.0,2015
Lewis County,Missouri,29,111,78.4,484.0,15.6,10172.0,9546.0,72.0,43909.0,0.3955,42.0,10172.0,305.0,11.9,83800.0,20042.0,9546.0,2015
Lewis County,New York,36,49,78.8,699.0,14.9,27124.0,26257.0,220.0,49819.0,0.4117,65.0,27124.0,249.0,8.8,117300.0,24772.0,26257.0,2015
Lewis County,Tennessee,47,101,77.4,498.0,16.6,11944.0,11259.0,101.0,36621.0,0.3902,0.0,11944.0,191.0,7.2,89600.0,18236.0,11259.0,2015
Lewis County,Washington,53,41,79.9,801.0,17.9,75515.0,69281.0,896.0,44100.0,0.4165,460.0,75515.0,591.0,8.8,174000.0,22480.0,69281.0,2015
Lewis County,West Virginia,54,41,79.9,546.0,17.2,16434.0,16074.0,78.0,37849.0,0.4462,0.0,16434.0,88.0,7.5,95500.0,21067.0,16074.0,2015
Lewis and Clark County,Montana,30,49,79.5,783.0,14.5,65357.0,61200.0,689.0,56197.0,0.3986,1683.0,65357.0,344.0,8.9,208600.0,28476.0,61200.0,2015
Lexington City,Virginia,51,678,94.8,744.0,6.4,7071.0,5564.0,45.0,34017.0,0.5167,0.0,7071.0,768.0,73.0,242700.0,14792.0,5564.0,2015
Lexington County,South Carolina,45,63,78.2,837.0,12.4,273843.0,218906.0,2062.0,53857.0,0.431,801.0,273843.0,39750.0,8.8,140500.0,27248.0,218906.0,2015
Liberty County,Florida,12,77,85.4,573.0,9.1,8295.0,6468.0,18.0,39406.0,0.4379,32.0,8295.0,1371.0,14.6,74000.0,16972.0,6468.0,2015
Liberty County,Georgia,13,179,73.2,958.0,6.1,64427.0,30978.0,1305.0,42201.0,0.4153,293.0,64427.0,26089.0,17.3,122400.0,19785.0,30978.0,2015
Liberty County,Montana,30,51,76.4,517.0,20.7,2369.0,2279.0,15.0,47768.0,0.474,26.0,2369.0,0.0,7.8,103800.0,23587.0,2279.0,2015
Liberty County,Texas,48,291,76.8,762.0,11.6,77486.0,62608.0,284.0,48729.0,0.4386,232.0,77486.0,8287.0,9.8,87900.0,21194.0,62608.0,2015
Licking County,Ohio,39,89,77.7,760.0,13.2,168693.0,156456.0,1432.0,56549.0,0.4277,241.0,168693.0,5697.0,9.3,152200.0,27389.0,156456.0,2015
Limestone County,Alabama,1,83,79.4,616.0,11.8,88805.0,71980.0,704.0,49570.0,0.4604,470.0,88805.0,11426.0,8.1,142100.0,25569.0,71980.0,2015
Limestone County,Texas,48,293,79.9,674.0,15.2,23454.0,18434.0,257.0,37554.0,0.4572,51.0,23454.0,4131.0,9.1,83500.0,20430.0,18434.0,2015
Lincoln County,Arkansas,5,79,86.7,593.0,9.6,14062.0,9361.0,87.0,32580.0,0.4899,46.0,14062.0,4369.0,11.9,59600.0,14377.0,9361.0,2015
Lincoln County,Colorado,8,73,84.5,705.0,14.0,5478.0,4630.0,53.0,39005.0,0.4559,88.0,5478.0,611.0,7.8,118300.0,15203.0,4630.0,2015
Lincoln County,Georgia,13,181,83.5,571.0,18.8,7720.0,5110.0,126.0,34243.0,0.4747,0.0,7720.0,2514.0,8.6,113800.0,22373.0,5110.0,2015
Lincoln County,Idaho,16,63,71.5,733.0,11.1,5260.0,4661.0,28.0,43273.0,0.3715,79.0,5260.0,0.0,8.9,121000.0,17204.0,4661.0,2015
Lincoln County,Kansas,20,105,78.7,532.0,18.6,3154.0,3076.0,23.0,44276.0,0.4333,18.0,3154.0,26.0,4.7,66900.0,24953.0,3076.0,2015
Lincoln County,Kentucky,21,137,78.3,569.0,14.8,24498.0,23466.0,151.0,37139.0,0.445,32.0,24498.0,657.0,8.0,93600.0,18564.0,23466.0,2015
Lincoln County,Maine,23,15,83.7,772.0,22.9,34156.0,33246.0,244.0,50462.0,0.4396,164.0,34156.0,40.0,7.0,204100.0,29078.0,33246.0,2015
Lincoln County,Minnesota,27,81,79.2,528.0,21.9,5808.0,5646.0,34.0,49575.0,0.4317,38.0,5808.0,22.0,6.6,92500.0,26910.0,5646.0,2015
Lincoln County,Mississippi,28,85,75.7,638.0,13.3,34765.0,23722.0,171.0,36473.0,0.4567,4.0,34765.0,10706.0,9.9,85300.0,18844.0,23722.0,2015
Lincoln County,Missouri,29,113,76.0,804.0,11.0,53850.0,50974.0,295.0,53718.0,0.385,151.0,53850.0,1033.0,8.3,144500.0,22232.0,50974.0,2015
Lincoln County,Montana,30,53,83.3,602.0,23.7,19337.0,18556.0,128.0,35275.0,0.4681,255.0,19337.0,10.0,7.3,164400.0,22856.0,18556.0,2015
Lincoln County,Nebraska,31,111,77.8,631.0,14.9,35896.0,34329.0,360.0,50194.0,0.4329,113.0,35896.0,300.0,8.0,114200.0,27056.0,34329.0,2015
Lincoln County,Nevada,32,17,82.5,592.0,18.6,5194.0,4708.0,0.0,44866.0,0.4993,201.0,5194.0,152.0,8.6,128900.0,23924.0,4708.0,2015
Lincoln County,New Mexico,35,27,81.6,756.0,25.1,19931.0,17081.0,184.0,40708.0,0.4931,553.0,19931.0,124.0,6.2,161900.0,25756.0,17081.0,2015
Lincoln County,North Carolina,37,109,79.6,671.0,14.0,79578.0,71037.0,557.0,49215.0,0.4562,168.0,79578.0,4305.0,8.7,153200.0,26439.0,71037.0,2015
Lincoln County,Oklahoma,40,81,77.5,620.0,15.5,34504.0,29597.0,206.0,45149.0,0.4441,2518.0,34504.0,610.0,8.1,99800.0,23072.0,29597.0,2015
Lincoln County,Oregon,41,41,83.6,830.0,22.8,46347.0,40824.0,669.0,42101.0,0.4396,1462.0,46347.0,155.0,7.6,219100.0,25124.0,40824.0,2015
Lincoln County,South Dakota,46,83,72.0,835.0,9.0,49874.0,47369.0,376.0,76094.0,0.4176,282.0,49874.0,516.0,6.5,193600.0,35559.0,47369.0,2015
