County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Martin County,North Carolina,37,117,16.3,24147,13003,188,80.1,591,0.4317,82,35111,18783,13003,24147,10393,8.9,84600,2013
Martin County,Texas,48,317,11.8,4956,4304,22,73.2,559,0.4452,16,42607,20859,4304,4956,110,9.2,72200,2013
Martinsville City,Virginia,51,690,16.4,13808,6854,169,77.0,558,0.5118,129,28116,19900,6854,13808,6160,7.6,86800,2013
Mason County,Illinois,17,125,17.5,14508,14212,91,80.7,594,0.4155,13,42260,23199,14212,14508,168,7.8,82100,2013
Mason County,Kentucky,21,161,12.9,17452,15713,92,76.7,563,0.497,24,41137,23347,15713,17452,1327,8.5,99000,2013
Mason County,Michigan,26,105,18.0,28648,27346,272,80.1,654,0.4293,276,41136,23183,27346,28648,202,7.8,117000,2013
Mason County,Texas,48,319,26.2,4034,3955,28,83.6,363,0.463,1,46865,27504,3955,4034,0,10.4,170100,2013
Mason County,Washington,53,45,18.2,60647,52135,370,82.8,869,0.4086,1831,48755,23542,52135,60647,807,8.7,210200,2013
Mason County,West Virginia,54,53,16.0,27271,26578,189,80.1,521,0.4392,0,38411,20622,26578,27271,192,7.3,83900,2013
Massac County,Illinois,17,127,16.7,15282,13721,135,80.5,625,0.4116,21,43615,22047,13721,15282,898,8.2,80200,2013
Matagorda County,Texas,48,321,13.1,36639,29519,229,76.2,658,0.4806,101,43096,23389,29519,36639,3918,9.7,92000,2013
Matanuska-Susitna Borough,Alaska,2,170,8.2,91519,77586,532,74.6,1026,0.4042,4446,71037,29534,77586,91519,838,9.1,218900,2013
Mathews County,Virginia,51,115,26.4,8943,7872,94,84.5,970,0.419,56,55192,31342,7872,8943,841,6.2,238500,2013
Maui County,Hawaii,15,9,12.2,156633,54554,1807,78.9,1291,0.4443,320,63512,29517,54554,156633,711,7.8,523700,2013
Maury County,Tennessee,47,119,11.9,81821,68541,1036,77.3,657,0.4307,238,45336,22766,68541,81821,9856,8.3,136300,2013
Maverick County,Texas,48,323,9.8,54880,50789,302,69.2,546,0.4659,703,31395,13668,50789,54880,95,11.8,86300,2013
Mayes County,Oklahoma,40,97,14.6,41110,28065,323,76.8,604,0.4095,3423,42751,20585,28065,41110,139,8.2,96200,2013
McClain County,Oklahoma,40,87,12.6,35155,29660,105,75.4,673,0.4071,1743,54426,25293,29660,35155,315,8.5,139300,2013
McCone County,Montana,30,55,21.1,1794,1720,19,80.9,451,0.4253,26,46667,27161,1720,1794,0,3.2,101600,2013
McCook County,South Dakota,46,87,16.3,5605,5474,38,77.3,531,0.4315,43,52703,26505,5474,5605,18,6.7,101100,2013
McCormick County,South Carolina,45,65,23.3,10091,4944,80,88.7,514,0.4774,0,40028,22150,4944,10091,4963,6.5,112500,2013
McCracken County,Kentucky,21,145,14.4,65610,56038,878,78.9,588,0.4694,168,44898,25957,56038,65610,6738,7.6,117200,2013
McCreary County,Kentucky,21,147,10.8,18163,16503,121,81.0,470,0.4484,60,20972,11818,16503,18163,1157,10.0,65000,2013
McCulloch County,Texas,48,307,16.7,8302,7475,55,77.6,617,0.4424,323,39194,20677,7475,8302,80,7.0,69300,2013
McCurtain County,Oklahoma,40,89,14.7,33143,22182,179,76.1,551,0.4505,5461,31790,17615,22182,33143,2916,8.9,71500,2013
McDonald County,Missouri,29,119,12.1,22892,20469,120,75.8,597,0.4355,502,37997,17505,20469,22892,284,9.1,86300,2013
McDonough County,Illinois,17,109,12.0,32549,29483,261,85.7,683,0.479,45,36031,20042,29483,32549,1747,30.4,86400,2013
McDowell County,North Carolina,37,111,14.9,44963,41208,331,79.9,569,0.4423,143,35297,18932,41208,44963,1670,7.9,101200,2013
McDowell County,West Virginia,54,47,14.8,21651,19304,74,81.9,475,0.4826,2,22252,14093,19304,21651,2211,7.7,35000,2013
McDuffie County,Georgia,13,189,12.3,21697,12482,102,74.8,607,0.4536,59,37487,17922,12482,21697,8872,8.2,106100,2013
McHenry County,Illinois,17,111,9.6,308060,279631,1879,76.2,1068,0.3951,506,76145,32341,279631,308060,3669,8.5,220500,2013
McHenry County,North Dakota,38,49,18.0,5593,5470,12,80.6,487,0.4483,35,45343,28331,5470,5593,3,7.3,77300,2013
McIntosh County,Georgia,13,191,17.3,14142,8609,31,83.9,578,0.4453,86,39068,21484,8609,14142,4871,11.6,103700,2013
McIntosh County,North Dakota,38,51,28.9,2791,2706,27,82.0,472,0.4774,6,36066,25427,2706,2791,1,4.5,55600,2013
McIntosh County,Oklahoma,40,91,22.4,20358,14312,118,79.9,574,0.4291,3024,36096,19100,14312,20358,698,6.7,79600,2013
McKean County,Pennsylvania,42,83,14.7,43294,41204,337,81.9,599,0.4206,139,41834,22426,41204,43294,1105,9.3,72700,2013
McKenzie County,North Dakota,38,53,11.0,7377,5758,22,77.0,571,0.4728,1395,64866,33078,5758,7377,17,9.2,123800,2013
McKinley County,New Mexico,35,31,8.4,72373,12157,350,70.9,537,0.4967,53763,30458,12679,12157,72373,333,11.9,74900,2013
McLean County,Illinois,17,113,9.4,171240,144639,1284,79.0,742,0.4493,291,62089,30460,144639,171240,12693,17.2,157200,2013
McLean County,Kentucky,21,149,16.1,9524,9336,45,78.4,485,0.415,12,38833,19984,9336,9524,40,7.4,79000,2013
McLean County,North Dakota,38,55,20.2,9163,8391,40,82.2,480,0.4499,676,53565,30992,8391,9163,2,5.8,117000,2013
McLennan County,Texas,48,309,11.1,237316,183576,2595,76.7,762,0.4698,1025,41922,21660,183576,237316,34756,14.6,108300,2013
McLeod County,Minnesota,27,85,13.7,36321,34718,349,77.9,684,0.3933,119,55170,26824,34718,36321,232,7.9,155400,2013
McMinn County,Tennessee,47,107,15.7,52338,48591,554,78.9,598,0.426,184,39410,19744,48591,52338,2256,8.6,119000,2013
McNairy County,Tennessee,47,109,16.3,26066,23956,197,78.0,539,0.4866,75,33452,18428,23956,26066,1452,8.1,86100,2013
McPherson County,Kansas,20,113,15.8,29297,28015,221,78.6,628,0.404,184,54167,27462,28015,29297,285,9.2,124600,2013
McPherson County,South Dakota,46,89,21.8,2432,2334,4,81.4,99,0.4605,90,37240,22596,2334,2432,1,6.6,55800,2013
Meade County,Kansas,20,119,13.7,4486,4008,20,73.6,599,0.3449,5,51000,21990,4008,4486,64,8.2,85500,2013
Meade County,Kentucky,21,163,10.0,29028,26768,243,75.7,777,0.4026,35,46756,20898,26768,29028,1238,9.2,120500,2013
Meade County,South Dakota,46,93,11.3,25914,23576,344,76.9,728,0.4204,536,49324,25375,23576,25914,374,11.8,157100,2013
Meagher County,Montana,30,59,20.1,1905,1862,20,81.8,608,0.3979,12,38182,20288,1862,1905,0,4.1,115700,2013
Mecklenburg County,North Carolina,37,119,7.8,947135,544287,12503,76.1,889,0.4949,3650,55444,32482,544287,947135,291745,9.8,181900,2013
Mecklenburg County,Virginia,51,117,18.8,32274,19388,293,82.4,657,0.4413,31,36261,20056,19388,32274,11876,8.9,120900,2013
Mecosta County,Michigan,26,107,14.2,43007,40171,371,82.4,643,0.4359,191,39470,19336,40171,43007,1207,22.1,112200,2013
Medina County,Ohio,39,103,12.6,173252,166043,1308,77.4,821,0.4007,333,65951,30707,166043,173252,2341,7.4,181000,2013
Medina County,Texas,48,325,12.6,46512,41345,123,78.7,672,0.4283,213,55326,22413,41345,46512,1236,11.0,112900,2013
Meeker County,Minnesota,27,93,15.5,23197,22694,163,78.0,686,0.3915,63,53904,25665,22694,23197,106,7.4,156000,2013
Meigs County,Ohio,39,105,14.3,23659,23091,127,79.7,566,0.4208,20,35469,18816,23091,23659,272,8.3,82600,2013
Meigs County,Tennessee,47,121,17.7,11706,11200,12,82.4,630,0.4141,9,35150,19403,11200,11706,214,7.5,101800,2013
Mellette County,South Dakota,46,95,13.4,2072,810,17,71.6,429,0.4281,1166,35109,15760,810,2072,0,8.6,54100,2013
Menard County,Illinois,17,129,14.4,12687,12370,64,78.7,625,0.4018,7,58190,28330,12370,12687,106,7.9,119100,2013
Menard County,Texas,48,327,22.8,2213,2018,7,67.0,540,0.4942,10,31215,18253,2018,2213,22,5.3,56400,2013
Mendocino County,California,6,45,15.3,87497,71752,961,79.9,953,0.4592,3906,43469,23306,71752,87497,636,8.6,323600,2013
Menifee County,Kentucky,21,165,13.6,6334,6099,35,82.7,479,0.4377,16,29108,15942,6099,6334,43,10.5,77300,2013
Menominee County,Michigan,26,109,18.3,23917,22739,143,81.8,513,0.3971,445,41739,22331,22739,23917,80,6.7,95300,2013
Menominee County,Wisconsin,55,78,13.9,4292,557,21,72.5,503,0.468,3499,33333,14710,557,4292,4,11.4,88500,2013
Merced County,California,6,47,8.6,258707,172936,2507,72.0,860,0.4633,2372,42591,18177,172936,258707,9611,12.3,146400,2013
Mercer County,Illinois,17,131,17.2,16325,15945,71,79.9,590,0.3942,20,53136,26620,15945,16325,45,7.3,98100,2013
Mercer County,Kentucky,21,167,14.7,21313,19950,190,79.4,534,0.4456,0,45396,24138,19950,21313,792,8.0,128400,2013
Mercer County,Missouri,29,129,18.8,3749,3671,20,77.7,532,0.4078,2,40272,20178,3671,3749,18,6.8,67600,2013
Mercer County,New Jersey,34,21,11.0,368094,229433,3819,79.4,1120,0.4819,737,73480,37465,229433,368094,74189,11.4,286900,2013
Mercer County,North Dakota,38,57,13.7,8456,8091,55,80.1,523,0.4049,182,66534,31767,8091,8456,75,5.9,113600,2013
Mercer County,Ohio,39,107,13.7,40811,39841,301,77.1,644,0.3899,36,52535,24157,39841,40811,182,8.3,124200,2013
Mercer County,Pennsylvania,42,85,16.1,116059,106201,1051,81.2,613,0.4232,107,44301,22831,106201,116059,6724,10.2,104600,2013
Mercer County,West Virginia,54,55,16.2,62261,57003,373,80.6,574,0.4624,184,34842,20391,57003,62261,3586,9.3,79400,2013
Meriwether County,Georgia,13,199,14.6,21695,12460,160,78.9,713,0.4345,28,37333,18821,12460,21695,8875,9.0,91200,2013
Merrick County,Nebraska,31,121,16.6,7802,7564,63,78.2,581,0.4105,19,50859,24639,7564,7802,36,6.9,85300,2013
Merrimack County,New Hampshire,33,13,12.5,146710,139973,1647,80.6,924,0.4122,182,65353,31310,139973,146710,1637,9.5,231000,2013
Mesa County,Colorado,8,77,13.9,147432,134785,1389,78.6,842,0.4554,1245,49471,26700,134785,147432,976,10.3,210100,2013
Metcalfe County,Kentucky,21,169,15.3,10043,9564,47,79.2,518,0.439,0,31750,17171,9564,10043,196,8.0,78800,2013
Miami County,Indiana,18,103,12.1,36624,33433,215,81.5,632,0.4152,375,42023,20475,33433,36624,1784,9.9,84100,2013
Miami County,Kansas,20,121,12.3,32682,31336,194,76.0,758,0.4047,184,58936,28412,31336,32682,417,7.2,162500,2013
Miami County,Ohio,39,109,14.1,102867,97360,614,78.3,711,0.4016,192,52040,25369,97360,102867,2314,8.1,133700,2013
Miami-Dade County,Florida,12,86,12.4,2549075,1916250,32006,80.1,1085,0.515,4092,43100,23174,1916250,2549075,480201,10.2,201000,2013
Middlesex County,Connecticut,9,7,14.3,165690,147489,1056,81.1,1007,0.4333,91,76994,39992,147489,165690,7794,8.6,292000,2013
Middlesex County,Massachusetts,25,17,11.5,1522533,1220044,19294,80.6,1286,0.4706,2053,82090,42861,1220044,1522533,71067,9.9,398200,2013
Middlesex County,New Jersey,34,23,10.8,817026,508506,7672,79.3,1265,0.4196,1595,79596,34345,508506,817026,78588,10.6,330000,2013
Middlesex County,Virginia,51,119,25.3,10851,8627,52,86.4,770,0.4418,35,53309,30531,8627,10851,2117,7.1,247100,2013
Midland County,Michigan,26,111,13.2,83842,78710,700,79.1,713,0.4665,357,53076,29536,78710,83842,1162,10.1,128600,2013
Midland County,Texas,48,329,9.2,142289,118140,1269,74.1,950,0.4926,756,62993,33672,118140,142289,9258,10.4,148600,2013
Mifflin County,Pennsylvania,42,87,17.0,46698,45602,396,78.4,597,0.4154,43,40384,20794,45602,46698,328,7.6,95700,2013
Milam County,Texas,48,331,16.4,24503,20527,211,77.3,670,0.4578,219,37391,21248,20527,24503,2170,5.6,78400,2013
Millard County,Utah,49,27,14.1,12543,11390,75,72.0,576,0.3994,91,49238,19972,11390,12543,82,7.8,132800,2013
Mille Lacs County,Minnesota,27,95,14.4,25927,23626,203,76.8,702,0.4047,1537,47862,22891,23626,25927,154,7.5,146600,2013
Miller County,Arkansas,5,91,12.4,43515,31333,371,77.4,680,0.4247,191,41319,20636,31333,43515,10453,9.3,92900,2013
Miller County,Georgia,13,201,17.1,6054,4208,39,78.7,587,0.4739,0,32260,19674,4208,6054,1818,10.3,83200,2013
Miller County,Missouri,29,131,15.7,24863,24049,208,78.0,588,0.4345,132,35507,19385,24049,24863,46,7.9,112000,2013
Mills County,Iowa,19,129,13.2,14983,14601,52,77.2,766,0.3706,28,63076,27101,14601,14983,93,7.6,149400,2013
Mills County,Texas,48,333,20.9,4891,4777,26,76.1,491,0.4642,0,44213,22651,4777,4891,16,5.3,104100,2013
Milwaukee County,Wisconsin,55,79,9.7,950527,593691,15181,76.7,792,0.4657,5051,43193,24295,593691,950527,251082,11.3,158400,2013
Miner County,South Dakota,46,97,18.6,2355,2282,14,76.9,463,0.5101,19,48477,31288,2282,2355,2,4.2,63000,2013
Mineral County,Montana,30,61,23.8,4219,4137,51,85.2,538,0.4364,40,33033,19859,4137,4219,27,7.1,167300,2013
Mineral County,Nevada,32,21,21.2,4700,3329,18,88.2,503,0.4514,717,35017,23146,3329,4700,83,9.9,95500,2013
Mineral County,West Virginia,54,57,16.7,28015,26615,419,80.7,516,0.4559,1,31163,19788,26615,28015,935,10.9,114800,2013
Mingo County,West Virginia,54,59,12.8,26460,25529,104,78.9,518,0.4634,16,35955,20609,25529,26460,469,7.9,69000,2013
Minidoka County,Idaho,16,67,13.6,20104,17267,111,74.0,542,0.4196,184,43266,19597,17267,20104,54,9.3,108500,2013
Minnehaha County,South Dakota,46,99,9.6,173108,151573,2136,76.8,693,0.4155,4459,52345,26380,151573,173108,6762,9.8,149600,2013
Missaukee County,Michigan,26,113,17.0,14940,14514,34,78.0,696,0.3931,99,41061,20305,14514,14940,48,7.3,99400,2013
Mississippi County,Arkansas,5,93,10.7,45912,29047,546,74.7,616,0.4607,91,36428,18905,29047,45912,15703,9.7,75300,2013
Mississippi County,Missouri,29,133,12.4,14271,10627,119,81.4,557,0.4489,25,29787,15558,10627,14271,3425,9.1,60600,2013
Missoula County,Montana,30,63,11.0,110243,102205,2016,81.6,755,0.4536,3007,46117,25764,102205,110243,451,15.1,237500,2013
Mitchell County,Georgia,13,205,10.6,23340,11445,359,77.5,565,0.453,0,32054,15694,11445,23340,11220,9.7,77900,2013
Mitchell County,Iowa,19,131,18.6,10739,10576,30,78.1,501,0.3693,0,51078,24518,10576,10739,33,7.3,108100,2013
Mitchell County,Kansas,20,123,18.2,6368,6268,61,80.3,501,0.4289,19,46667,26911,6268,6368,12,12.2,74600,2013
Mitchell County,North Carolina,37,121,19.3,15453,15072,70,82.9,575,0.4634,44,37680,21404,15072,15453,139,8.3,117300,2013
Mitchell County,Texas,48,335,10.3,9388,7266,74,85.0,553,0.4101,74,42045,15936,7266,9388,918,16.4,45800,2013
Mobile County,Alabama,1,97,11.6,413188,250269,4248,76.7,756,0.4711,3187,43028,22501,250269,413188,143681,10.2,124300,2013
Modoc County,California,6,49,20.7,9468,8445,85,81.9,633,0.446,271,36212,21200,8445,9468,125,7.0,164100,2013
Moffat County,Colorado,8,81,9.9,13447,12531,82,74.7,724,0.3921,294,53231,24577,12531,13447,32,9.1,176500,2013
Mohave County,Arizona,4,15,23.8,201680,179492,1654,82.0,803,0.4318,3403,39200,20833,179492,201680,2284,7.3,133900,2013
Moniteau County,Missouri,29,135,11.7,15657,14655,83,78.3,549,0.3882,73,47118,19451,14655,15657,576,8.4,112100,2013
Monmouth County,New Jersey,34,25,12.3,629735,523186,5262,78.6,1219,0.4654,1365,84526,42749,523186,629735,46303,8.6,389900,2013
Mono County,California,6,51,10.3,14217,12050,96,83.3,1118,0.3577,224,61757,28046,12050,14217,59,12.0,344500,2013
Monona County,Iowa,19,133,20.3,9208,8912,79,79.0,517,0.4256,15,42025,24557,8912,9208,30,6.6,77800,2013
Monongalia County,West Virginia,54,61,8.6,98483,89576,791,86.0,715,0.5259,130,44173,25846,89576,98483,3526,26.7,161800,2013
Monroe County,Alabama,1,99,14.5,22778,12572,154,78.1,536,0.4774,211,29203,15749,12572,22778,9522,9.1,76900,2013
Monroe County,Arkansas,5,95,16.5,8002,4546,75,79.0,517,0.479,17,27263,16939,4546,8002,3314,7.3,52200,2013
Monroe County,Florida,12,87,18.0,74213,66376,1164,86.7,1367,0.506,131,53607,33974,66376,74213,5040,8.0,381200,2013
Monroe County,Georgia,13,207,13.2,26613,19620,114,80.4,703,0.424,24,48630,22888,19620,26613,6367,9.5,148300,2013
Monroe County,Illinois,17,133,12.7,33181,32551,295,77.6,832,0.389,0,68482,31758,32551,33181,10,7.3,193900,2013
Monroe County,Indiana,18,105,9.1,139634,122116,2162,85.0,799,0.5072,492,40052,23032,122116,139634,4304,29.4,156300,2013
Monroe County,Iowa,19,135,16.6,8010,7760,93,80.0,541,0.4026,84,45997,24508,7760,8010,13,9.9,95200,2013
Monroe County,Kentucky,21,171,15.5,10874,10478,150,79.4,502,0.4623,0,29808,16656,10478,10874,242,9.3,72300,2013
Monroe County,Michigan,26,115,12.4,151408,143322,1135,78.9,777,0.4147,586,53972,25939,143322,151408,3434,9.0,139100,2013
Monroe County,Mississippi,28,95,14.0,36652,24947,209,77.8,567,0.4299,0,36308,18167,24947,36652,11382,9.3,78500,2013
Monroe County,Missouri,29,137,17.6,8798,8326,65,79.0,516,0.3778,48,40657,20331,8326,8798,281,6.9,89500,2013
Monroe County,New York,36,55,12.4,746548,569984,8726,79.5,810,0.4605,2228,52394,28732,569984,746548,113723,11.9,136000,2013
Monroe County,Ohio,39,111,19.2,14646,14375,64,80.7,506,0.4094,26,40573,21487,14375,14646,60,6.7,89100,2013
Monroe County,Pennsylvania,42,89,12.3,168947,133639,823,79.9,990,0.4076,383,57408,25494,133639,168947,22583,11.1,191800,2013
Monroe County,Tennessee,47,123,16.0,44857,42663,300,79.7,601,0.4522,247,37595,19643,42663,44857,853,8.3,115300,2013
Monroe County,West Virginia,54,63,19.0,13512,13248,68,82.0,564,0.3746,32,41234,20294,13248,13512,86,7.2,102200,2013
Monroe County,Wisconsin,55,81,13.3,44953,42540,354,76.7,743,0.3904,481,49774,23456,42540,44953,592,7.3,135300,2013
Montague County,Texas,48,337,19.2,19668,18808,218,78.7,652,0.4508,78,44231,24699,18808,19668,30,6.9,86000,2013
Montcalm County,Michigan,26,117,12.9,63234,59598,330,79.5,673,0.4059,243,40451,18969,59598,63234,1538,9.2,95000,2013
Monterey County,California,6,53,9.4,420569,314643,6402,76.2,1209,0.4503,4069,59168,24775,314643,420569,12422,11.5,362400,2013
Montezuma County,Colorado,8,83,16.4,25512,21291,214,79.1,700,0.4408,2967,43188,23548,21291,25512,79,7.7,189400,2013
Montgomery County,Alabama,1,101,10.5,228980,91811,2937,76.6,812,0.4756,637,44790,24975,91811,228980,126372,11.9,122900,2013
Montgomery County,Arkansas,5,97,22.0,9387,8913,55,81.1,569,0.4517,104,31345,19021,8913,9387,55,7.3,76400,2013
Montgomery County,Georgia,13,209,11.4,9050,6498,66,81.2,529,0.4577,18,32702,16460,6498,9050,2423,14.8,74300,2013
Montgomery County,Illinois,17,135,14.3,29878,26905,175,81.9,656,0.4222,48,41952,19917,26905,29878,2306,9.1,79500,2013
Montgomery County,Indiana,18,107,13.7,38215,36858,413,79.0,667,0.407,105,46797,22679,36858,38215,400,12.2,108300,2013
Montgomery County,Iowa,19,137,17.0,10625,10354,44,78.9,565,0.429,0,44281,22868,10354,10625,0,6.6,79600,2013
Montgomery County,Kansas,20,125,14.9,34869,29406,363,78.0,577,0.4474,572,39669,21332,29406,34869,1971,10.7,71200,2013
Montgomery County,Kentucky,21,173,11.8,26762,25196,195,77.1,613,0.4829,79,37312,20436,25196,26762,779,8.8,109300,2013
Montgomery County,Maryland,24,31,11.1,989474,560930,12162,77.7,1568,0.4556,3427,98221,49038,560930,989474,170317,8.2,446300,2013
Montgomery County,Mississippi,28,97,16.0,10754,5673,89,78.7,610,0.4325,0,30466,15523,5673,10754,5081,12.2,68600,2013
Montgomery County,Missouri,29,139,16.7,12128,11662,83,78.5,600,0.4189,13,40236,20991,11662,12128,93,7.4,101500,2013
Montgomery County,New York,36,57,14.5,50019,45026,438,78.2,705,0.4401,105,44156,23417,45026,50019,909,8.7,101200,2013
Montgomery County,North Carolina,37,123,14.8,27707,21263,296,78.0,553,0.4904,119,31830,18865,21263,27707,5247,8.6,88900,2013
Montgomery County,Ohio,39,113,13.5,536433,396964,6919,78.5,723,0.46,685,43401,24997,396964,536433,111046,10.2,112800,2013
Montgomery County,Pennsylvania,42,91,13.4,804621,658994,6065,79.0,1128,0.4597,733,79183,41472,658994,804621,70875,8.1,292600,2013
Montgomery County,Tennessee,47,125,7.0,177640,128257,2632,74.1,836,0.4112,1140,49617,22380,128257,177640,33810,12.5,141800,2013
Montgomery County,Texas,48,339,9.9,472162,411304,3961,74.9,965,0.464,1716,67766,32911,411304,472162,20247,8.6,166200,2013
Montgomery County,Virginia,51,121,8.3,94910,83024,1011,86.3,830,0.4825,208,45543,23548,83024,94910,3887,33.0,200200,2013
Montmorency County,Michigan,26,119,26.4,9598,9365,57,85.4,635,0.4032,44,35261,19661,9365,9598,25,5.9,93700,2013
Montour County,Pennsylvania,42,93,15.6,18379,17443,97,80.9,703,0.4728,14,51482,29600,17443,18379,301,7.6,153200,2013
Montrose County,Colorado,8,85,17.3,41020,37313,205,78.4,848,0.4122,396,45718,22897,37313,41020,223,7.0,193700,2013
Moody County,South Dakota,46,101,13.7,6460,5214,52,76.5,530,0.4274,778,51791,27682,5214,6460,47,8.9,101000,2013
Moore County,North Carolina,37,125,21.5,89425,73973,723,79.2,725,0.476,623,49544,28913,73973,89425,11344,6.8,201600,2013
Moore County,Tennessee,47,127,17.6,6347,5941,46,81.3,672,0.4216,24,46170,23307,5941,6347,195,6.7,135200,2013
Moore County,Texas,48,341,8.4,22029,17632,118,70.9,627,0.3736,78,51181,19770,17632,22029,433,10.7,85600,2013
Mora County,New Mexico,35,33,25.9,4788,3715,0,86.2,591,0.4779,101,28481,20543,3715,4788,7,10.2,96200,2013
Morehouse Parish,Louisiana,22,67,13.9,27603,14120,138,77.0,545,0.4742,41,28585,16683,14120,27603,13020,9.2,74600,2013
Morgan County,Alabama,1,103,12.9,119673,99090,954,78.3,603,0.45,989,44800,23764,99090,119673,14305,9.0,120500,2013
Morgan County,Colorado,8,87,12.7,28308,25265,300,75.1,695,0.4071,155,43774,20680,25265,28308,744,9.2,137000,2013
Morgan County,Georgia,13,211,14.8,17870,13131,149,77.7,901,0.4794,11,47729,25933,13131,17870,4348,7.5,175700,2013
Morgan County,Illinois,17,137,14.2,35424,32426,448,80.9,607,0.4227,41,46809,24337,32426,35424,2166,11.3,91000,2013
Morgan County,Indiana,18,109,12.5,69217,67504,453,77.5,760,0.4098,53,55354,25781,67504,69217,248,8.0,141200,2013
Morgan County,Kentucky,21,175,11.4,13657,13046,51,83.4,436,0.4598,0,30658,16233,13046,13657,443,9.0,74500,2013
Morgan County,Missouri,29,141,22.1,20392,19695,93,79.9,593,0.4184,157,34797,17935,19695,20392,141,6.7,110500,2013
Morgan County,Ohio,39,115,16.8,15008,14020,68,79.0,550,0.4637,41,37865,21027,14020,15008,533,7.6,89000,2013
Morgan County,Tennessee,47,129,12.0,21964,20737,86,82.9,626,0.4446,26,37631,17747,20737,21964,801,9.4,90700,2013
Morgan County,Utah,49,29,10.5,9692,9456,39,67.2,762,0.3345,0,80337,26274,9456,9692,0,7.8,264400,2013
Morgan County,West Virginia,54,65,17.7,17502,17047,140,81.1,680,0.4688,6,36046,22312,17047,17502,198,6.3,161200,2013
Morrill County,Nebraska,31,123,17.8,4958,4778,26,77.3,651,0.4045,29,43886,22543,4778,4958,5,6.9,76300,2013
Morris County,Kansas,20,127,21.3,5869,5664,38,81.8,549,0.4062,47,47445,24680,5664,5869,15,6.6,81900,2013
Morris County,New Jersey,34,27,12.6,495261,407342,3409,78.7,1339,0.4529,698,98633,48814,407342,495261,15683,7.9,432400,2013
Morris County,Texas,48,343,18.2,12869,8915,52,77.1,575,0.4562,37,37849,20045,8915,12869,2974,7.4,69900,2013
Morrison County,Minnesota,27,97,14.4,33118,32247,221,78.3,625,0.4169,53,47649,23753,32247,33118,137,7.5,153600,2013
Morrow County,Ohio,39,117,12.8,34932,34089,94,76.5,652,0.375,29,51484,22228,34089,34932,184,7.7,127400,2013
Morrow County,Oregon,41,49,12.2,11218,9954,105,75.4,665,0.3978,59,49940,20663,9954,11218,19,9.0,119800,2013
Morton County,Kansas,20,129,14.1,3182,2629,38,76.0,549,0.4017,13,46607,22378,2629,3182,43,10.4,82100,2013
Morton County,North Dakota,38,59,12.9,27874,26011,132,79.0,661,0.3973,1105,60065,29389,26011,27874,126,7.9,147900,2013
Motley County,Texas,48,345,14.8,1182,1120,3,80.2,529,0.4164,6,35845,18828,1120,1182,10,14.2,59800,2013
Moultrie County,Illinois,17,139,15.9,14869,14607,99,76.9,590,0.4057,8,46622,23786,14607,14869,70,7.7,95400,2013
Mountrail County,North Dakota,38,61,10.9,8280,5415,30,80.1,640,0.4611,2378,68722,33803,5415,8280,27,11.6,89400,2013
Mower County,Minnesota,27,99,14.6,39252,36230,480,77.6,695,0.4407,62,46004,24990,36230,39252,922,9.0,106000,2013
Muhlenberg County,Kentucky,21,177,13.9,31427,29233,223,80.2,519,0.4453,80,38105,20008,29233,31427,1405,9.8,79500,2013
Multnomah County,Oregon,41,51,9.4,747641,585524,11034,81.3,913,0.4758,6452,52511,30475,585524,747641,42301,9.2,271600,2013
Murray County,Georgia,13,213,10.3,39504,37429,463,76.2,652,0.4183,57,34888,16449,37429,39504,466,9.7,94100,2013
Murray County,Minnesota,27,101,20.9,8639,8362,30,80.9,545,0.4206,11,52160,27450,8362,8639,26,6.4,95300,2013
Murray County,Oklahoma,40,99,17.3,13571,10342,73,77.2,616,0.4016,1097,44151,21870,10342,13571,178,8.6,82200,2013
Muscatine County,Iowa,19,139,12.2,42798,39498,361,77.0,716,0.4156,138,51425,25038,39498,42798,607,8.2,124400,2013
Muscogee County,Georgia,13,215,9.3,194949,90595,3328,76.7,807,0.4851,524,41339,22856,90595,194949,87989,13.3,133300,2013
Muskegon County,Michigan,26,121,12.3,171153,138074,1637,77.5,663,0.4373,1047,40979,20621,138074,171153,23614,9.4,100900,2013
Muskingum County,Ohio,39,119,13.6,85872,79811,765,77.9,624,0.4285,136,40524,20775,79811,85872,2776,9.5,108500,2013
Muskogee County,Oklahoma,40,101,13.2,70657,43544,722,76.4,624,0.4564,9696,38502,19868,43544,70657,7780,9.9,92200,2013
Musselshell County,Montana,30,65,19.1,4729,4482,37,81.4,578,0.4206,41,43409,23022,4482,4729,27,6.2,106100,2013
Nacogdoches County,Texas,48,347,10.8,65085,49649,902,77.6,684,0.4978,279,36777,20362,49649,65085,12041,18.9,101700,2013
Nance County,Nebraska,31,125,16.2,3707,3652,42,79.0,531,0.4227,17,44286,23684,3652,3707,3,6.6,67000,2013
Nantucket County,Massachusetts,25,19,11.4,10224,9031,109,81.9,1564,0.479,1,85478,47331,9031,10224,581,5.9,929700,2013
Napa County,California,6,55,14.0,137837,108198,2025,79.6,1350,0.455,1000,70443,34795,108198,137837,2944,9.7,428600,2013
