County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Amador County,California,6,5,19.4,37422,32766,259,88.2,1006,0.4451,700,53684,27347,32766,37422,923,7.4,270500,2013
Amelia County,Virginia,51,7,14.9,12712,9171,39,81.3,738,0.4007,137,52885,25100,9171,12712,3101,6.6,180700,2013
Amherst County,Virginia,51,9,15.7,32244,24747,316,80.4,671,0.4042,351,44945,22580,24747,32244,6042,9.3,148700,2013
Amite County,Mississippi,28,5,17.4,13061,7456,32,80.1,629,0.4626,3,30750,16977,7456,13061,5534,9.8,70300,2013
Anchorage Municipality,Alaska,2,20,7.0,295237,195521,4182,76.7,1142,0.4132,20361,77454,36214,195521,295237,17339,12.2,282800,2013
Anderson County,Kansas,20,3,18.3,8021,7666,80,77.3,646,0.4156,16,41713,22139,7666,8021,17,6.7,96300,2013
Anderson County,Kentucky,21,5,11.1,21575,20687,165,76.5,724,0.3695,6,52646,24161,20687,21575,562,7.4,132300,2013
Anderson County,South Carolina,45,7,14.1,188480,151430,1484,77.8,655,0.4488,463,41579,22081,151430,188480,30897,8.6,123400,2013
Anderson County,Tennessee,47,1,15.8,75263,69541,615,79.8,687,0.4555,152,43620,24561,69541,75263,3103,8.5,127000,2013
Anderson County,Texas,48,1,10.1,58262,43560,337,85.4,715,0.4693,289,40653,18495,43560,58262,12299,9.4,82000,2013
Andrew County,Missouri,29,3,14.2,17319,16823,135,79.0,692,0.4018,74,54336,25302,16823,17319,125,8.3,127700,2013
Andrews County,Texas,48,3,9.6,15554,13885,3,73.1,769,0.4813,334,57825,27429,13885,15554,242,10.1,88600,2013
Androscoggin County,Maine,23,1,12.9,107634,99768,1342,79.3,694,0.4378,176,44921,24442,99768,107634,1952,9.6,154800,2013
Angelina County,Texas,48,5,12.4,87042,67828,762,75.1,735,0.4622,588,41354,20982,67828,87042,13300,9.5,84800,2013
Anne Arundel County,Maryland,24,3,11.0,544426,408715,4680,78.9,1454,0.4131,1184,87430,40415,408715,544426,84230,10.2,340000,2013
Anoka County,Minnesota,27,3,9.2,334027,289378,1844,77.1,938,0.379,2210,70380,30647,289378,334027,14967,8.4,192300,2013
Anson County,North Carolina,37,7,11.5,26569,12802,277,80.7,661,0.4502,59,33870,16752,12802,26569,12909,10.1,79400,2013
Antelope County,Nebraska,31,3,18.8,6600,6512,40,78.9,507,0.4365,0,43518,25186,6512,6600,6,7.0,74300,2013
Antrim County,Michigan,26,9,22.2,23504,22628,116,82.0,703,0.4244,232,45362,24370,22628,23504,57,6.2,141300,2013
Apache County,Arizona,4,1,11.2,71978,17165,182,72.9,536,0.4738,51994,31476,12709,17165,71978,279,10.7,83100,2013
