County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,high_school_only_percentage,total_population_race,unemployment_rate,health_insurance_rate,less_than_9th_grade_percentage,native_american_population,gini_index,median_household_income,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent,bachelors_and_above_percentage,disability_rate,Year
Tishomingo County,Mississippi,72.6469867915249,28,141,20390.0,18680.0,516.0,21.8,88100.0,38.9,19441.0,6.2,86.3,7.9,35.0,0.443,37681.0,75.0,19.7,27.6,19441.0,18680.0,34.2,564.0,11.4,22.8,2019
Titus County,Texas,76.5817877073729,48,449,21730.0,22968.0,2926.0,28.9,105100.0,33.4,32640.0,5.0,81.9,13.0,289.0,0.4182,50196.0,184.0,17.7,19.8,32640.0,22968.0,38.7,709.0,16.3,13.0,2019
Todd County,Kentucky,75.1542335145139,21,219,23143.0,10771.0,1012.0,26.7,106300.0,40.5,12316.0,7.3,84.8,12.8,0.0,0.4911,44005.0,73.0,18.7,22.4,12316.0,10771.0,36.3,637.0,13.2,13.9,2019
Todd County,Minnesota,81.297556608694,27,153,26678.0,23109.0,173.0,23.8,153400.0,36.7,24494.0,3.4,91.2,5.8,124.0,0.406,53585.0,112.0,11.9,29.1,24494.0,23109.0,31.3,649.0,15.1,13.9,2019
Todd County,South Dakota,67.6966619154115,46,121,10739.0,849.0,6.0,41.8,26000.0,31.7,10195.0,7.3,69.8,2.7,8949.0,0.5473,24331.0,74.0,55.5,11.3,10195.0,849.0,39.8,429.0,15.6,5.8,2019
Tolland County,Connecticut,81.8506213159263,9,13,41371.0,132820.0,4806.0,17.6,253100.0,27.0,151063.0,4.9,97.4,1.6,88.0,0.4383,87069.0,1206.0,7.3,22.0,151063.0,132820.0,43.4,1155.0,41.8,10.2,2019
Tom Green County,Texas,77.7092220442885,48,451,29505.0,102396.0,5015.0,23.8,141500.0,30.2,117986.0,3.9,86.3,5.9,467.0,0.4684,53903.0,1592.0,13.5,20.6,117986.0,102396.0,42.6,880.0,24.5,13.7,2019
Tompkins County,New York,81.2073495576197,36,109,33075.0,82359.0,3859.0,14.9,204600.0,19.0,102642.0,3.8,96.6,1.6,224.0,0.496,60240.0,1417.0,18.9,19.7,102642.0,82359.0,52.4,1164.0,53.5,9.7,2019
Tooele County,Utah,78.2932035469661,49,45,25949.0,60542.0,326.0,33.1,223400.0,29.3,67397.0,4.8,92.8,1.6,404.0,0.3425,74562.0,417.0,6.2,13.5,67397.0,60542.0,43.2,966.0,24.2,10.6,2019
Toole County,Montana,78.1989809594254,30,101,27528.0,4376.0,23.0,19.0,137900.0,40.0,4892.0,2.0,92.0,4.2,371.0,0.4724,50721.0,20.0,12.3,26.6,4892.0,4376.0,37.3,547.0,15.2,16.9,2019
Toombs County,Georgia,74.3958270598409,13,279,24399.0,17156.0,6961.0,26.6,95300.0,37.5,26972.0,9.0,81.7,7.9,3.0,0.5396,40175.0,228.0,23.3,22.7,26972.0,17156.0,37.6,598.0,16.2,17.7,2019
Torrance County,New Mexico,76.8390741945884,35,57,20876.0,14122.0,121.0,21.1,114300.0,37.7,15519.0,6.9,94.0,4.7,50.0,0.4594,36120.0,62.0,23.7,27.7,15519.0,14122.0,35.1,754.0,14.8,17.0,2019
Towner County,North Dakota,78.2434874022085,38,95,37239.0,2052.0,17.0,22.3,70200.0,33.8,2224.0,3.3,88.3,2.4,94.0,0.484,52300.0,15.0,10.4,30.8,2224.0,2052.0,29.1,550.0,17.0,13.6,2019
Towns County,Georgia,78.2280698684163,13,281,25972.0,11140.0,173.0,12.4,230500.0,29.9,11617.0,4.3,88.1,4.0,41.0,0.4437,48219.0,38.0,15.4,41.4,11617.0,11140.0,31.4,717.0,30.1,17.6,2019
Traill County,North Dakota,79.8325487049139,38,97,33321.0,7468.0,87.0,22.2,150600.0,26.0,8008.0,3.0,94.6,3.0,81.0,0.3987,64453.0,31.0,6.4,27.1,8008.0,7468.0,35.4,624.0,28.9,12.4,2019
Transylvania County,North Carolina,80.3964013058706,37,175,29549.0,30933.0,1612.0,16.0,221900.0,26.8,33775.0,5.9,86.5,3.8,99.0,0.4426,50212.0,293.0,14.3,37.9,33775.0,30933.0,30.0,756.0,32.6,15.7,2019
Traverse County,Minnesota,79.2130907766791,27,155,32548.0,3003.0,17.0,19.7,81400.0,35.4,3311.0,4.0,97.1,3.3,164.0,0.4088,51957.0,28.0,9.9,32.4,3311.0,3003.0,31.5,620.0,17.5,16.2,2019
Travis County,Texas,81.6805497925611,48,453,43658.0,889046.0,101955.0,22.0,324800.0,16.5,1226805.0,3.8,86.9,5.8,7716.0,0.4832,75887.0,20138.0,12.0,14.4,1226805.0,889046.0,48.7,1289.0,50.0,8.3,2019
Trego County,Kansas,77.9226385495747,20,195,34230.0,2753.0,3.0,17.7,99300.0,31.1,2840.0,1.4,91.8,1.4,2.0,0.3718,57966.0,44.0,6.9,36.0,2840.0,2753.0,31.9,580.0,24.8,15.0,2019
Trempealeau County,Wisconsin,79.3288077895713,55,121,28902.0,27339.0,166.0,24.9,156000.0,39.0,29499.0,2.8,92.7,3.7,106.0,0.3993,58548.0,295.0,7.8,24.8,29499.0,27339.0,33.9,728.0,19.3,10.1,2019
Treutlen County,Georgia,75.1610079961081,13,283,21830.0,4960.0,1792.0,21.6,69400.0,40.8,6795.0,8.8,79.8,6.8,0.0,0.5255,32241.0,21.0,27.5,25.7,6795.0,4960.0,36.0,585.0,12.4,21.3,2019
Trigg County,Kentucky,76.1835053357378,21,221,28264.0,13062.0,1076.0,22.0,129400.0,33.2,14449.0,9.2,92.0,4.6,0.0,0.4519,50536.0,132.0,11.8,31.2,14449.0,13062.0,31.2,564.0,16.6,25.0,2019
Trimble County,Kentucky,74.4211095882149,21,223,27237.0,8247.0,14.0,21.9,124000.0,46.3,8558.0,8.8,94.3,3.3,40.0,0.4607,53056.0,34.0,17.3,23.7,8558.0,8247.0,35.3,715.0,14.1,22.2,2019
Trinity County,California,76.6003438081553,6,105,26523.0,10924.0,127.0,17.1,287700.0,34.8,12700.0,8.8,89.5,1.6,716.0,0.4638,40846.0,143.0,19.0,37.5,12700.0,10924.0,27.8,799.0,19.5,20.9,2019
