County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Calumet County,Wisconsin,55,15,47140.0,34015.0,31.6,173200.0,420.0,24.6,49807.0,284.0,2.3,97.0,2.2,0.3943,72530.0,329.0,47140.0,49807.0,20.3,5.7,764.0,36.4,28.7,9.0,2018
Calvert County,Maryland,24,9,73931.0,43504.0,30.3,349200.0,10730.0,23.6,91082.0,122.0,1.5,95.8,6.4,0.3757,104301.0,513.0,73931.0,91082.0,20.5,5.1,1583.0,36.0,31.1,10.8,2018
Camas County,Idaho,16,25,884.0,30803.0,38.0,174200.0,0.0,24.9,886.0,0.0,4.3,87.1,3.0,0.5543,38393.0,11.0,884.0,886.0,31.7,23.3,663.0,26.9,19.5,14.6,2018
Cambria County,Pennsylvania,42,21,125997.0,25779.0,44.9,90900.0,4479.0,19.4,134550.0,72.0,2.7,95.4,6.6,0.4412,45901.0,1050.0,125997.0,134550.0,29.6,15.4,620.0,34.0,21.4,18.3,2018
Camden County,Georgia,13,39,38452.0,28509.0,31.5,159800.0,9862.0,24.5,52714.0,363.0,1.9,88.3,7.3,0.4366,56397.0,544.0,38452.0,52714.0,17.0,12.9,954.0,43.5,24.5,12.1,2018
Camden County,Missouri,29,29,43463.0,27385.0,37.7,183500.0,339.0,17.8,45096.0,267.0,2.7,86.1,6.5,0.4569,52087.0,307.0,43463.0,45096.0,35.6,16.0,757.0,28.1,21.8,19.3,2018
Camden County,New Jersey,34,7,320830.0,34280.0,30.1,195800.0,97896.0,23.0,507367.0,1172.0,4.5,92.5,7.1,0.4693,67118.0,6290.0,320830.0,507367.0,21.1,12.6,1051.0,38.8,31.8,13.4,2018
Camden County,North Carolina,37,29,8614.0,26951.0,28.9,210300.0,1462.0,23.8,10447.0,20.0,6.5,91.9,9.3,0.368,63349.0,26.0,8614.0,10447.0,23.3,11.2,1045.0,34.2,17.9,13.6,2018
Cameron County,Pennsylvania,42,23,4527.0,25898.0,47.4,75800.0,5.0,16.6,4686.0,20.0,1.3,96.9,3.6,0.4243,41485.0,39.0,4527.0,4686.0,36.0,14.3,603.0,28.6,15.9,18.7,2018
Cameron County,Texas,48,61,398395.0,16587.0,26.0,83300.0,2279.0,31.1,421750.0,1101.0,19.6,71.4,6.6,0.4863,37132.0,3499.0,398395.0,421750.0,17.3,30.6,710.0,40.7,17.3,12.5,2018
Cameron Parish,Louisiana,22,23,6408.0,29000.0,38.8,113900.0,290.0,21.9,6868.0,34.0,5.0,89.5,4.2,0.4234,55000.0,11.0,6408.0,6868.0,25.1,10.3,823.0,33.0,11.6,14.6,2018
Camp County,Texas,48,63,9302.0,20898.0,35.7,87500.0,2122.0,26.5,12813.0,52.0,7.1,83.4,6.2,0.4255,42604.0,94.0,9302.0,12813.0,24.2,19.9,730.0,34.1,18.6,15.3,2018
Campbell County,Kentucky,21,37,86527.0,32225.0,29.9,168300.0,2951.0,21.3,92267.0,68.0,2.8,95.4,4.5,0.4587,59782.0,907.0,86527.0,92267.0,21.7,13.8,825.0,40.6,33.5,11.8,2018
Campbell County,South Dakota,46,21,1424.0,39986.0,36.9,65300.0,0.0,20.2,1435.0,5.0,6.4,98.3,1.0,0.5444,52500.0,0.0,1424.0,1435.0,33.5,4.0,537.0,26.8,28.8,13.4,2018
Campbell County,Tennessee,47,13,38679.0,23064.0,40.9,97200.0,128.0,20.7,39687.0,161.0,9.7,88.7,8.6,0.4893,38170.0,307.0,38679.0,39687.0,26.4,19.7,593.0,34.6,11.9,25.1,2018
Campbell County,Virginia,51,31,45008.0,27842.0,31.5,155000.0,7904.0,20.0,55170.0,76.0,5.0,90.2,3.7,0.4397,50258.0,361.0,45008.0,55170.0,25.8,11.8,762.0,36.5,22.5,15.5,2018
Campbell County,Wyoming,56,5,45357.0,33286.0,34.0,220200.0,128.0,27.6,47708.0,416.0,2.2,90.6,4.6,0.3865,79916.0,349.0,45357.0,47708.0,14.3,11.1,940.0,42.6,19.2,10.4,2018
Canadian County,Oklahoma,40,17,110729.0,30545.0,29.5,160200.0,3759.0,26.3,136710.0,5505.0,2.7,89.9,4.4,0.4011,71157.0,796.0,110729.0,136710.0,18.0,8.4,946.0,41.1,26.8,13.3,2018
Candler County,Georgia,13,43,7355.0,18718.0,36.1,91200.0,2572.0,25.1,10827.0,69.0,7.8,79.0,6.3,0.5137,32937.0,106.0,7355.0,10827.0,22.8,32.8,612.0,37.2,14.1,18.1,2018
Cannon County,Tennessee,47,15,13417.0,24700.0,48.5,155300.0,234.0,21.2,13976.0,34.0,6.4,89.9,4.9,0.4332,49523.0,57.0,13417.0,13976.0,25.3,15.9,627.0,35.5,13.8,18.7,2018
Canyon County,Idaho,16,27,180454.0,20807.0,32.0,159600.0,715.0,29.3,212230.0,2425.0,6.9,85.3,6.5,0.41,49143.0,2232.0,180454.0,212230.0,18.2,15.2,846.0,40.3,18.3,13.9,2018
Cape Girardeau County,Missouri,29,31,68709.0,26546.0,32.1,155000.0,5894.0,21.4,78324.0,153.0,3.2,91.8,5.1,0.4552,51730.0,524.0,68709.0,78324.0,21.9,17.0,796.0,41.7,30.5,13.6,2018
Cape May County,New Jersey,34,9,85531.0,38496.0,32.6,296600.0,4358.0,17.7,93705.0,26.0,3.1,94.0,7.7,0.4809,63690.0,676.0,85531.0,93705.0,34.4,11.1,1112.0,30.6,31.5,14.1,2018
Carbon County,Montana,30,9,10204.0,32553.0,28.8,239500.0,41.0,18.2,10546.0,148.0,2.1,92.5,3.7,0.4125,57538.0,90.0,10204.0,10546.0,33.8,10.1,789.0,29.0,32.0,15.9,2018
Carbon County,Pennsylvania,42,25,61489.0,26867.0,45.5,141600.0,1269.0,19.6,63931.0,23.0,2.9,94.8,7.0,0.4019,53624.0,581.0,61489.0,63931.0,27.7,12.5,800.0,32.8,16.8,16.2,2018
Carbon County,Utah,49,7,18784.0,23473.0,27.2,136100.0,133.0,26.7,20356.0,172.0,2.3,89.4,5.5,0.4155,50278.0,116.0,18784.0,20356.0,22.7,15.8,649.0,38.4,16.4,15.1,2018
Carbon County,Wyoming,56,7,14401.0,29890.0,35.2,165700.0,165.0,23.4,15477.0,263.0,3.7,89.7,2.8,0.4106,60206.0,124.0,14401.0,15477.0,21.6,13.1,811.0,38.6,20.3,11.4,2018
Caribou County,Idaho,16,29,6611.0,26908.0,32.6,137200.0,0.0,29.3,6918.0,12.0,2.8,92.2,2.1,0.41,59611.0,3.0,6611.0,6918.0,23.2,8.5,587.0,35.6,19.9,13.0,2018
Carlisle County,Kentucky,21,39,4615.0,24943.0,36.5,93500.0,65.0,21.8,4841.0,70.0,8.3,95.3,5.9,0.4914,39664.0,32.0,4615.0,4841.0,27.7,18.6,619.0,34.6,14.8,14.5,2018
Carlton County,Minnesota,27,17,31723.0,28117.0,34.2,166200.0,629.0,22.7,35540.0,1940.0,1.2,95.8,4.2,0.4071,60390.0,190.0,31723.0,35540.0,23.6,12.0,749.0,36.1,22.5,12.7,2018
Caroline County,Maryland,24,11,26432.0,27866.0,40.7,199600.0,4600.0,23.8,32875.0,132.0,5.2,93.6,5.2,0.4331,54956.0,340.0,26432.0,32875.0,21.6,14.7,920.0,36.0,16.9,14.8,2018
Caroline County,Virginia,51,33,19874.0,31536.0,37.5,195100.0,8428.0,23.1,30184.0,47.0,4.2,93.0,5.4,0.4088,64715.0,156.0,19874.0,30184.0,22.0,8.3,1050.0,37.2,20.1,12.1,2018
Carroll County,Arkansas,5,15,25826.0,24185.0,34.6,126800.0,335.0,22.0,27887.0,188.0,6.5,87.6,4.7,0.4572,43505.0,234.0,25826.0,27887.0,29.2,15.0,585.0,32.1,20.4,15.7,2018
Carroll County,Georgia,13,45,87288.0,24155.0,33.2,130200.0,21996.0,24.0,116022.0,977.0,5.4,87.8,7.9,0.4466,49608.0,907.0,87288.0,116022.0,18.5,18.8,855.0,43.1,20.6,14.7,2018
