County,State,State_FIPS,County_FIPS,gini_index
Kent County,Delaware,10,001,0.4201
New Castle County,Delaware,10,003,0.4545
Sussex County,Delaware,10,005,0.4384
Alachua County,Florida,12,001,0.5161
Baker County,Florida,12,003,0.43
Bay County,Florida,12,005,0.4456
Bradford County,Florida,12,007,0.456
Brevard County,Florida,12,009,0.4528
Broward County,Florida,12,011,0.4807
Calhoun County,Florida,12,013,0.4167
Charlotte County,Florida,12,015,0.4525
Citrus County,Florida,12,017,0.4555
Clay County,Florida,12,019,0.4115
Collier County,Florida,12,021,0.5298
Columbia County,Florida,12,023,0.4605
Miami-Dade County,Florida,12,086,0.5264
DeSoto County,Florida,12,027,0.4287
Dixie County,Florida,12,029,0.4583
Duval County,Florida,12,031,0.4719
Escambia County,Florida,12,033,0.435
Flagler County,Florida,12,035,0.4306
Franklin County,Florida,12,037,0.4886
Gadsden County,Florida,12,039,0.4458
Gilchrist County,Florida,12,041,0.4695
Glades County,Florida,12,043,0.4471
Gulf County,Florida,12,045,0.4463
Hamilton County,Florida,12,047,0.4704
Hardee County,Florida,12,049,0.4702
Hendry County,Florida,12,051,0.487
Hernando County,Florida,12,053,0.4236
Highlands County,Florida,12,055,0.4636
Hillsborough County,Florida,12,057,0.4804
Holmes County,Florida,12,059,0.4492
Indian River County,Florida,12,061,0.5308
Jackson County,Florida,12,063,0.4503
Jefferson County,Florida,12,065,0.4545
Lafayette County,Florida,12,067,0.5006
Lake County,Florida,12,069,0.4292
Lee County,Florida,12,071,0.4768
Leon County,Florida,12,073,0.4848
Levy County,Florida,12,075,0.4624
Liberty County,Florida,12,077,0.4455
Madison County,Florida,12,079,0.4883
Manatee County,Florida,12,081,0.4668
Marion County,Florida,12,083,0.4409
Martin County,Florida,12,085,0.517
Monroe County,Florida,12,087,0.5003
Nassau County,Florida,12,089,0.4557
Okaloosa County,Florida,12,091,0.4279
Okeechobee County,Florida,12,093,0.4512
Orange County,Florida,12,095,0.4813
Osceola County,Florida,12,097,0.4304
Palm Beach County,Florida,12,099,0.5169
Pasco County,Florida,12,101,0.4469
