County,State,State_FIPS,County_FIPS,per_capita_income
Calhoun County,Florida,12,013,15927.0
Charlotte County,Florida,12,015,29243.0
Citrus County,Florida,12,017,25034.0
Clay County,Florida,12,019,28599.0
Collier County,Florida,12,021,41239.0
Columbia County,Florida,12,023,22855.0
Miami-Dade County,Florida,12,086,25481.0
DeSoto County,Florida,12,027,17892.0
Dixie County,Florida,12,029,19342.0
Duval County,Florida,12,031,28593.0
Escambia County,Florida,12,033,25666.0
Flagler County,Florida,12,035,25741.0
Franklin County,Florida,12,037,23524.0
Gadsden County,Florida,12,039,19252.0
Gilchrist County,Florida,12,041,21145.0
Glades County,Florida,12,043,20476.0
Gulf County,Florida,12,045,21085.0
Hamilton County,Florida,12,047,16109.0
Hardee County,Florida,12,049,18643.0
Hendry County,Florida,12,051,18426.0
Hernando County,Florida,12,053,23495.0
Highlands County,Florida,12,055,23020.0
Hillsborough County,Florida,12,057,29806.0
Holmes County,Florida,12,059,18402.0
Indian River County,Florida,12,061,33122.0
Jackson County,Florida,12,063,18126.0
Jefferson County,Florida,12,065,22452.0
Lafayette County,Florida,12,067,21955.0
Lake County,Florida,12,069,25991.0
Lee County,Florida,12,071,30233.0
Leon County,Florida,12,073,28548.0
Levy County,Florida,12,075,21043.0
Liberty County,Florida,12,077,16937.0
Madison County,Florida,12,079,17192.0
Manatee County,Florida,12,081,30477.0
Marion County,Florida,12,083,23598.0
Martin County,Florida,12,085,38021.0
Monroe County,Florida,12,087,39176.0
Nassau County,Florida,12,089,33337.0
Okaloosa County,Florida,12,091,30775.0
Okeechobee County,Florida,12,093,18611.0
Orange County,Florida,12,095,27394.0
Osceola County,Florida,12,097,20165.0
Palm Beach County,Florida,12,099,36303.0
Pasco County,Florida,12,101,26624.0
Pinellas County,Florida,12,103,32120.0
Polk County,Florida,12,105,22579.0
Putnam County,Florida,12,107,18950.0
Saint Johns County,Florida,12,109,39563.0
Saint Lucie County,Florida,12,111,24940.0
Santa Rosa County,Florida,12,113,28908.0
Sarasota County,Florida,12,115,37054.0
Seminole County,Florida,12,117,31363.0
Sumter County,Florida,12,119,33168.0
Suwannee County,Florida,12,121,21565.0
Taylor County,Florida,12,123,16979.0
Union County,Florida,12,125,13485.0
Volusia County,Florida,12,127,25871.0
Wakulla County,Florida,12,129,22846.0
Walton County,Florida,12,131,30853.0
Washington County,Florida,12,133,18718.0
Appling County,Georgia,13,001,19936.0
Atkinson County,Georgia,13,003,19904.0
Bacon County,Georgia,13,005,18856.0
Baker County,Georgia,13,007,22270.0
Baldwin County,Georgia,13,009,20114.0
Banks County,Georgia,13,011,19451.0
Barrow County,Georgia,13,013,22978.0
Bartow County,Georgia,13,015,24931.0
Ben Hill County,Georgia,13,017,16635.0
Berrien County,Georgia,13,019,18064.0
Bibb County,Georgia,13,021,23426.0
Bleckley County,Georgia,13,023,20667.0
Brantley County,Georgia,13,025,18220.0
Brooks County,Georgia,13,027,20964.0
Bryan County,Georgia,13,029,29880.0
Bulloch County,Georgia,13,031,20526.0
Burke County,Georgia,13,033,19720.0
Butts County,Georgia,13,035,21236.0
Calhoun County,Georgia,13,037,13865.0
Camden County,Georgia,13,039,26854.0
Candler County,Georgia,13,043,18233.0
Carroll County,Georgia,13,045,23139.0
Catoosa County,Georgia,13,047,25643.0
Charlton County,Georgia,13,049,19102.0
Chatham County,Georgia,13,051,28765.0
Chattahoochee County,Georgia,13,053,22774.0
Chattooga County,Georgia,13,055,17716.0
Cherokee County,Georgia,13,057,33466.0
Clarke County,Georgia,13,059,21203.0
Clay County,Georgia,13,061,14559.0
Clayton County,Georgia,13,063,19498.0
Clinch County,Georgia,13,065,17145.0
Cobb County,Georgia,13,067,36587.0
Coffee County,Georgia,13,069,18945.0
Colquitt County,Georgia,13,071,18121.0
Columbia County,Georgia,13,073,31720.0
Cook County,Georgia,13,075,17587.0
Coweta County,Georgia,13,077,31548.0
Crawford County,Georgia,13,079,22212.0
Crisp County,Georgia,13,081,21225.0
Dade County,Georgia,13,083,23184.0
Dawson County,Georgia,13,085,31954.0
Decatur County,Georgia,13,087,19650.0
DeKalb County,Georgia,13,089,32110.0
Dodge County,Georgia,13,091,18563.0
Dooly County,Georgia,13,093,16867.0
Dougherty County,Georgia,13,095,20292.0
Douglas County,Georgia,13,097,25449.0
Early County,Georgia,13,099,17972.0
Echols County,Georgia,13,101,20589.0
Effingham County,Georgia,13,103,26765.0
