County,State,State_FIPS,County_FIPS,median_home_value
Bay County,Florida,12,005,157600
Bradford County,Florida,12,007,108000
Brevard County,Florida,12,009,144900
Broward County,Florida,12,011,181500
Calhoun County,Florida,12,013,70000
Charlotte County,Florida,12,015,143700
Citrus County,Florida,12,017,117400
Clay County,Florida,12,019,158600
Collier County,Florida,12,021,261300
Columbia County,Florida,12,023,108700
Miami-Dade County,Florida,12,086,201000
DeSoto County,Florida,12,027,89900
Dixie County,Florida,12,029,85300
Duval County,Florida,12,031,151400
Escambia County,Florida,12,033,130100
Flagler County,Florida,12,035,169300
Franklin County,Florida,12,037,143900
Gadsden County,Florida,12,039,111200
Gilchrist County,Florida,12,041,102300
Glades County,Florida,12,043,87700
Gulf County,Florida,12,045,120200
Hamilton County,Florida,12,047,73500
Hardee County,Florida,12,049,85800
Hendry County,Florida,12,051,81400
Hernando County,Florida,12,053,117400
Highlands County,Florida,12,055,93600
Hillsborough County,Florida,12,057,160000
Holmes County,Florida,12,059,83400
Indian River County,Florida,12,061,157400
Jackson County,Florida,12,063,88100
Jefferson County,Florida,12,065,121100
Lafayette County,Florida,12,067,116600
Lake County,Florida,12,069,142700
Lee County,Florida,12,071,149400
Leon County,Florida,12,073,183300
Levy County,Florida,12,075,92200
Liberty County,Florida,12,077,78800
Madison County,Florida,12,079,81000
Manatee County,Florida,12,081,165400
Marion County,Florida,12,083,119400
Martin County,Florida,12,085,197900
Monroe County,Florida,12,087,381200
Nassau County,Florida,12,089,181100
Okaloosa County,Florida,12,091,182100
Okeechobee County,Florida,12,093,105300
Orange County,Florida,12,095,167800
Osceola County,Florida,12,097,129900
Palm Beach County,Florida,12,099,199700
Pasco County,Florida,12,101,120000
Pinellas County,Florida,12,103,151500
Polk County,Florida,12,105,111400
Putnam County,Florida,12,107,89600
Saint Johns County,Florida,12,109,242900
Saint Lucie County,Florida,12,111,122900
Santa Rosa County,Florida,12,113,162300
Sarasota County,Florida,12,115,175000
Seminole County,Florida,12,117,184300
Sumter County,Florida,12,119,194100
Suwannee County,Florida,12,121,98400
Taylor County,Florida,12,123,87400
Union County,Florida,12,125,89200
Volusia County,Florida,12,127,142800
Wakulla County,Florida,12,129,138300
Walton County,Florida,12,131,159500
Washington County,Florida,12,133,85900
Appling County,Georgia,13,001,75600
Atkinson County,Georgia,13,003,75000
Bacon County,Georgia,13,005,77000
Baker County,Georgia,13,007,72700
Baldwin County,Georgia,13,009,103900
Banks County,Georgia,13,011,140200
Barrow County,Georgia,13,013,127000
Bartow County,Georgia,13,015,128500
Ben Hill County,Georgia,13,017,79700
Berrien County,Georgia,13,019,80100
Bibb County,Georgia,13,021,123000
Bleckley County,Georgia,13,023,79900
Brantley County,Georgia,13,025,68500
Brooks County,Georgia,13,027,101400
