County,State,State_FIPS,County_FIPS,median_household_income
Adams County,Indiana,18,001,46549
Allen County,Indiana,18,003,49767
Bartholomew County,Indiana,18,005,53692
Benton County,Indiana,18,007,47240
Blackford County,Indiana,18,009,40214
Boone County,Indiana,18,011,68284
Brown County,Indiana,18,013,50503
Carroll County,Indiana,18,015,49232
Cass County,Indiana,18,017,42679
Clark County,Indiana,18,019,49130
Clay County,Indiana,18,021,46916
Clinton County,Indiana,18,023,48352
Crawford County,Indiana,18,025,40354
Daviess County,Indiana,18,027,45231
Dearborn County,Indiana,18,029,57146
Decatur County,Indiana,18,031,47810
DeKalb County,Indiana,18,033,47099
Delaware County,Indiana,18,035,38730
Dubois County,Indiana,18,037,53997
Elkhart County,Indiana,18,039,47308
Fayette County,Indiana,18,041,35802
Floyd County,Indiana,18,043,52803
Fountain County,Indiana,18,045,44802
Franklin County,Indiana,18,047,52234
Fulton County,Indiana,18,049,42330
Gibson County,Indiana,18,051,48171
Grant County,Indiana,18,053,39377
Greene County,Indiana,18,055,43869
Hamilton County,Indiana,18,057,84449
Hancock County,Indiana,18,059,62184
Harrison County,Indiana,18,061,52263
Hendricks County,Indiana,18,063,68192
Henry County,Indiana,18,065,40519
Howard County,Indiana,18,067,45022
Huntington County,Indiana,18,069,47137
Jackson County,Indiana,18,071,45666
Jasper County,Indiana,18,073,55509
Jay County,Indiana,18,075,40144
Jefferson County,Indiana,18,077,43635
Jennings County,Indiana,18,079,44815
Johnson County,Indiana,18,081,62754
Knox County,Indiana,18,083,40391
Kosciusko County,Indiana,18,085,51141
LaGrange County,Indiana,18,087,47057
Lake County,Indiana,18,089,49443
LaPorte County,Indiana,18,091,46934
Lawrence County,Indiana,18,093,43195
Madison County,Indiana,18,095,44035
Marion County,Indiana,18,097,43197
Marshall County,Indiana,18,099,48536
Martin County,Indiana,18,101,43592
Miami County,Indiana,18,103,39746
Monroe County,Indiana,18,105,38524
Montgomery County,Indiana,18,107,47929
Morgan County,Indiana,18,109,56315
Newton County,Indiana,18,111,48108
Noble County,Indiana,18,113,47768
Ohio County,Indiana,18,115,50795
Orange County,Indiana,18,117,37618
Owen County,Indiana,18,119,43553
Parke County,Indiana,18,121,42441
Perry County,Indiana,18,123,45808
Pike County,Indiana,18,125,40525
Porter County,Indiana,18,127,62394
Posey County,Indiana,18,129,57757
Pulaski County,Indiana,18,131,45029
Putnam County,Indiana,18,133,50165
Randolph County,Indiana,18,135,41544
Ripley County,Indiana,18,137,49358
Rush County,Indiana,18,139,47102
Saint Joseph County,Indiana,18,141,45183
Scott County,Indiana,18,143,40532
Shelby County,Indiana,18,145,52156
Spencer County,Indiana,18,147,54348
Starke County,Indiana,18,149,38961
Steuben County,Indiana,18,151,48502
Sullivan County,Indiana,18,153,47640
Switzerland County,Indiana,18,155,43628
Tippecanoe County,Indiana,18,157,43485
