County,State,State_FIPS,County_FIPS,total_population
Hartford County,Connecticut,09,003,893561.0
Litchfield County,Connecticut,09,005,182002.0
Middlesex County,Connecticut,09,007,163053.0
New Haven County,Connecticut,09,009,857513.0
New London County,Connecticut,09,011,267390.0
Tolland County,Connecticut,09,013,151063.0
Windham County,Connecticut,09,015,116566.0
Kent County,Delaware,10,001,176699.0
New Castle County,Delaware,10,003,556165.0
Sussex County,Delaware,10,005,224384.0
Alachua County,Florida,12,001,265443.0
Baker County,Florida,12,003,28211.0
Bay County,Florida,12,005,182161.0
Bradford County,Florida,12,007,27317.0
Brevard County,Florida,12,009,585507.0
Broward County,Florida,12,011,1926205.0
Calhoun County,Florida,12,013,14362.0
Charlotte County,Florida,12,015,181067.0
Citrus County,Florida,12,017,145169.0
Clay County,Florida,12,019,211405.0
Collier County,Florida,12,021,371453.0
Columbia County,Florida,12,023,69968.0
Miami-Dade County,Florida,12,086,2699428.0
DeSoto County,Florida,12,027,36903.0
Dixie County,Florida,12,029,16589.0
Duval County,Florida,12,031,936186.0
Escambia County,Florida,12,033,313491.0
Flagler County,Florida,12,035,109801.0
Franklin County,Florida,12,037,11811.0
Gadsden County,Florida,12,039,45945.0
Gilchrist County,Florida,12,041,17953.0
Glades County,Florida,12,043,13516.0
Gulf County,Florida,12,045,15576.0
Hamilton County,Florida,12,047,14326.0
Hardee County,Florida,12,049,27131.0
Hendry County,Florida,12,051,40732.0
Hernando County,Florida,12,053,186313.0
Highlands County,Florida,12,055,103437.0
Hillsborough County,Florida,12,057,1422278.0
Holmes County,Florida,12,059,19432.0
Indian River County,Florida,12,061,153989.0
Jackson County,Florida,12,063,47945.0
Jefferson County,Florida,12,065,14161.0
Lafayette County,Florida,12,067,8637.0
Lake County,Florida,12,069,345867.0
Lee County,Florida,12,071,737468.0
Leon County,Florida,12,073,289770.0
Levy County,Florida,12,075,40403.0
Liberty County,Florida,12,077,8345.0
Madison County,Florida,12,079,18460.0
Manatee County,Florida,12,081,384213.0
Marion County,Florida,12,083,353526.0
Martin County,Florida,12,085,159065.0
Monroe County,Florida,12,087,75798.0
Nassau County,Florida,12,089,83098.0
Okaloosa County,Florida,12,091,203794.0
Okeechobee County,Florida,12,093,41144.0
Orange County,Florida,12,095,1349746.0
Osceola County,Florida,12,097,351955.0
Palm Beach County,Florida,12,099,1465027.0
Pasco County,Florida,12,101,524602.0
Pinellas County,Florida,12,103,964666.0
Polk County,Florida,12,105,686218.0
Putnam County,Florida,12,107,73252.0
Saint Johns County,Florida,12,109,244674.0
Saint Lucie County,Florida,12,111,312947.0
Santa Rosa County,Florida,12,113,174755.0
Sarasota County,Florida,12,115,419496.0
Seminole County,Florida,12,117,461402.0
Sumter County,Florida,12,119,125044.0
Suwannee County,Florida,12,121,44046.0
Taylor County,Florida,12,123,21870.0
Union County,Florida,12,125,15303.0
Volusia County,Florida,12,127,536487.0
Wakulla County,Florida,12,129,32321.0
Walton County,Florida,12,131,68262.0
Washington County,Florida,12,133,24764.0
Appling County,Georgia,13,001,18440.0
Atkinson County,Georgia,13,003,8239.0
Bacon County,Georgia,13,005,11201.0
Baker County,Georgia,13,007,3132.0
Baldwin County,Georgia,13,009,45111.0
Banks County,Georgia,13,011,18708.0
Barrow County,Georgia,13,013,78991.0
Bartow County,Georgia,13,015,104919.0
Ben Hill County,Georgia,13,017,17033.0
Berrien County,Georgia,13,019,19152.0
Bibb County,Georgia,13,021,153200.0
Bleckley County,Georgia,13,023,12807.0
Brantley County,Georgia,13,025,18756.0
Brooks County,Georgia,13,027,15590.0
Bryan County,Georgia,13,029,37063.0
Bulloch County,Georgia,13,031,76120.0
Burke County,Georgia,13,033,22520.0
Butts County,Georgia,13,035,24090.0
Calhoun County,Georgia,13,037,6365.0
Camden County,Georgia,13,039,53231.0
Candler County,Georgia,13,043,10812.0
Carroll County,Georgia,13,045,117183.0
Catoosa County,Georgia,13,047,66700.0
Charlton County,Georgia,13,049,13040.0
Chatham County,Georgia,13,051,288496.0
Chattahoochee County,Georgia,13,053,10560.0
Chattooga County,Georgia,13,055,24812.0
Cherokee County,Georgia,13,057,247515.0
Clarke County,Georgia,13,059,126176.0
Clay County,Georgia,13,061,2951.0
Clayton County,Georgia,13,063,283538.0
Clinch County,Georgia,13,065,6686.0
Cobb County,Georgia,13,067,751218.0
Coffee County,Georgia,13,069,43021.0
Colquitt County,Georgia,13,071,45486.0
Columbia County,Georgia,13,073,150705.0
Cook County,Georgia,13,075,17177.0
Coweta County,Georgia,13,077,143260.0
Crawford County,Georgia,13,079,12325.0
Crisp County,Georgia,13,081,22713.0
Dade County,Georgia,13,083,16197.0
Dawson County,Georgia,13,085,24536.0
Decatur County,Georgia,13,087,26682.0
DeKalb County,Georgia,13,089,749323.0
Dodge County,Georgia,13,091,20829.0
Dooly County,Georgia,13,093,13736.0
Dougherty County,Georgia,13,095,89703.0
Douglas County,Georgia,13,097,143316.0
Early County,Georgia,13,099,10312.0
Echols County,Georgia,13,101,3981.0
Effingham County,Georgia,13,103,60477.0
Elbert County,Georgia,13,105,19166.0
Emanuel County,Georgia,13,107,22533.0
Evans County,Georgia,13,109,10687.0
Fannin County,Georgia,13,111,25395.0
Fayette County,Georgia,13,113,112303.0
Floyd County,Georgia,13,115,97369.0
Forsyth County,Georgia,13,117,228383.0
Franklin County,Georgia,13,119,22766.0
Fulton County,Georgia,13,121,1036200.0
Gilmer County,Georgia,13,123,30414.0
Glascock County,Georgia,13,125,2996.0
Glynn County,Georgia,13,127,84470.0
Gordon County,Georgia,13,129,57202.0
Grady County,Georgia,13,131,24828.0
Greene County,Georgia,13,133,17349.0
Gwinnett County,Georgia,13,135,915046.0
Habersham County,Georgia,13,137,44626.0
Hall County,Georgia,13,139,198667.0
Hancock County,Georgia,13,141,8515.0
Haralson County,Georgia,13,143,29227.0
Harris County,Georgia,13,145,34105.0
Hart County,Georgia,13,147,25773.0
Heard County,Georgia,13,149,11736.0
Henry County,Georgia,13,151,225356.0
Houston County,Georgia,13,153,153507.0
Irwin County,Georgia,13,155,9320.0
Jackson County,Georgia,13,157,67885.0
Jasper County,Georgia,13,159,13916.0
Jeff Davis County,Georgia,13,161,15036.0
Jefferson County,Georgia,13,163,15618.0
Jenkins County,Georgia,13,165,8793.0
Johnson County,Georgia,13,167,9691.0
Jones County,Georgia,13,169,28579.0
Lamar County,Georgia,13,171,18672.0
Lanier County,Georgia,13,173,10380.0
Laurens County,Georgia,13,175,47405.0
Lee County,Georgia,13,177,29502.0
Liberty County,Georgia,13,179,61349.0
Lincoln County,Georgia,13,181,7856.0
Long County,Georgia,13,183,18692.0
Lowndes County,Georgia,13,185,115364.0
Lumpkin County,Georgia,13,187,32402.0
McDuffie County,Georgia,13,189,21455.0
McIntosh County,Georgia,13,191,14174.0
Macon County,Georgia,13,193,13305.0
Madison County,Georgia,13,195,29218.0
Marion County,Georgia,13,197,8432.0
Meriwether County,Georgia,13,199,21106.0
Miller County,Georgia,13,201,5787.0
Mitchell County,Georgia,13,205,22244.0
Monroe County,Georgia,13,207,27171.0
Montgomery County,Georgia,13,209,9058.0
Morgan County,Georgia,13,211,18507.0
Murray County,Georgia,13,213,39724.0
Muscogee County,Georgia,13,215,195739.0
Newton County,Georgia,13,217,108079.0
Oconee County,Georgia,13,219,38132.0
Oglethorpe County,Georgia,13,221,14931.0
Paulding County,Georgia,13,223,159825.0
Peach County,Georgia,13,225,27145.0
Pickens County,Georgia,13,227,31387.0
Pierce County,Georgia,13,229,19250.0
Pike County,Georgia,13,231,18327.0
Polk County,Georgia,13,233,41908.0
Pulaski County,Georgia,13,235,11216.0
Putnam County,Georgia,13,237,21691.0
Quitman County,Georgia,13,239,2289.0
Rabun County,Georgia,13,241,16645.0
Randolph County,Georgia,13,243,6973.0
Richmond County,Georgia,13,245,201852.0
Rockdale County,Georgia,13,247,89717.0
Schley County,Georgia,13,249,5221.0
Screven County,Georgia,13,251,13989.0
Seminole County,Georgia,13,253,8321.0
Spalding County,Georgia,13,255,65306.0
Stephens County,Georgia,13,257,25750.0
Stewart County,Georgia,13,259,6293.0
Sumter County,Georgia,13,261,30064.0
Talbot County,Georgia,13,263,6321.0
Taliaferro County,Georgia,13,265,1611.0
Tattnall County,Georgia,13,267,25382.0
Taylor County,Georgia,13,269,8116.0
Telfair County,Georgia,13,271,16035.0
Terrell County,Georgia,13,273,8737.0
Thomas County,Georgia,13,275,44630.0
Tift County,Georgia,13,277,40541.0
Toombs County,Georgia,13,279,26972.0
Towns County,Georgia,13,281,11617.0
Treutlen County,Georgia,13,283,6795.0
Troup County,Georgia,13,285,69919.0
Turner County,Georgia,13,287,7943.0
Twiggs County,Georgia,13,289,8229.0
Union County,Georgia,13,291,23288.0
Upson County,Georgia,13,293,26236.0
Walker County,Georgia,13,295,69039.0
Walton County,Georgia,13,297,91442.0
Ware County,Georgia,13,299,35593.0
Warren County,Georgia,13,301,5297.0
Washington County,Georgia,13,303,20436.0
Wayne County,Georgia,13,305,29788.0
Webster County,Georgia,13,307,2610.0
Wheeler County,Georgia,13,309,7928.0
White County,Georgia,13,311,29489.0
Whitfield County,Georgia,13,313,104237.0
Wilcox County,Georgia,13,315,8824.0
Wilkes County,Georgia,13,317,9844.0
Wilkinson County,Georgia,13,319,9010.0
Worth County,Georgia,13,321,20494.0
Hawaii County,Hawaii,15,001,199459.0
Honolulu County,Hawaii,15,003,984821.0
Kauai County,Hawaii,15,007,71769.0
Kalawao County,Hawaii,15,005,66.0
Maui County,Hawaii,15,009,165979.0
Ada County,Idaho,16,001,456849.0
Adams County,Idaho,16,003,4097.0
Bannock County,Idaho,16,005,85765.0
Bear Lake County,Idaho,16,007,6000.0
Benewah County,Idaho,16,009,9138.0
Bingham County,Idaho,16,011,45839.0
Blaine County,Idaho,16,013,22373.0
Boise County,Idaho,16,015,7378.0
Bonner County,Idaho,16,017,43611.0
Bonneville County,Idaho,16,019,114392.0
Boundary County,Idaho,16,021,11845.0
Butte County,Idaho,16,023,2581.0
Camas County,Idaho,16,025,1048.0
Canyon County,Idaho,16,027,217633.0
Caribou County,Idaho,16,029,6953.0
Cassia County,Idaho,16,031,23690.0
Clearwater County,Idaho,16,035,8673.0
Custer County,Idaho,16,037,4169.0
Elmore County,Idaho,16,039,26743.0
Franklin County,Idaho,16,041,13464.0
Fremont County,Idaho,16,043,13020.0
Gem County,Idaho,16,045,17331.0
Gooding County,Idaho,16,047,15148.0
Idaho County,Idaho,16,049,16411.0
Jefferson County,Idaho,16,051,28534.0
Jerome County,Idaho,16,053,23730.0
Kootenai County,Idaho,16,055,157322.0
Latah County,Idaho,16,057,39505.0
Lemhi County,Idaho,16,059,7847.0
Lewis County,Idaho,16,061,3838.0
Lincoln County,Idaho,16,063,5350.0
Madison County,Idaho,16,065,39100.0
Minidoka County,Idaho,16,067,20705.0
Nez Perce County,Idaho,16,069,40217.0
Oneida County,Idaho,16,071,4385.0
Owyhee County,Idaho,16,073,11552.0
Payette County,Idaho,16,075,23260.0
Power County,Idaho,16,077,7671.0
Shoshone County,Idaho,16,079,12609.0
Teton County,Idaho,16,081,11426.0
Twin Falls County,Idaho,16,083,84869.0
Valley County,Idaho,16,085,10709.0
Washington County,Idaho,16,087,10057.0
Adams County,Illinois,17,001,66085.0
Alexander County,Illinois,17,003,6260.0
Bond County,Illinois,17,005,16589.0
Boone County,Illinois,17,007,53537.0
Brown County,Illinois,17,009,6628.0
Bureau County,Illinois,17,011,33122.0
Calhoun County,Illinois,17,013,4830.0
Carroll County,Illinois,17,015,14466.0
Cass County,Illinois,17,017,12493.0
Champaign County,Illinois,17,019,209922.0
Christian County,Illinois,17,021,32931.0
Clark County,Illinois,17,023,15716.0
Clay County,Illinois,17,025,13287.0
Clinton County,Illinois,17,027,37634.0
Coles County,Illinois,17,029,51353.0
Cook County,Illinois,17,031,5198275.0
Crawford County,Illinois,17,033,18972.0
Cumberland County,Illinois,17,035,10836.0
DeKalb County,Illinois,17,037,104366.0
De Witt County,Illinois,17,039,15932.0
Douglas County,Illinois,17,041,19623.0
DuPage County,Illinois,17,043,929060.0
