County,State,State_FIPS,County_FIPS,gini_index
Middlesex County,Connecticut,09,007,0.4338
New Haven County,Connecticut,09,009,0.4661
New London County,Connecticut,09,011,0.4336
Tolland County,Connecticut,09,013,0.4131
Windham County,Connecticut,09,015,0.4086
Kent County,Delaware,10,001,0.4151
New Castle County,Delaware,10,003,0.4526
Sussex County,Delaware,10,005,0.4336
Alachua County,Florida,12,001,0.5177
Baker County,Florida,12,003,0.438
Bay County,Florida,12,005,0.4404
Bradford County,Florida,12,007,0.4622
Brevard County,Florida,12,009,0.4493
Broward County,Florida,12,011,0.4788
Calhoun County,Florida,12,013,0.4476
Charlotte County,Florida,12,015,0.4421
Citrus County,Florida,12,017,0.4601
Clay County,Florida,12,019,0.4122
Collier County,Florida,12,021,0.5338
Columbia County,Florida,12,023,0.4426
Miami-Dade County,Florida,12,086,0.5261
DeSoto County,Florida,12,027,0.4471
Dixie County,Florida,12,029,0.4333
Duval County,Florida,12,031,0.4747
Escambia County,Florida,12,033,0.4413
Flagler County,Florida,12,035,0.4242
Franklin County,Florida,12,037,0.4641
Gadsden County,Florida,12,039,0.4516
Gilchrist County,Florida,12,041,0.4709
Glades County,Florida,12,043,0.4526
Gulf County,Florida,12,045,0.4232
Hamilton County,Florida,12,047,0.4644
Hardee County,Florida,12,049,0.4765
Hendry County,Florida,12,051,0.4782
Hernando County,Florida,12,053,0.4211
Highlands County,Florida,12,055,0.4561
Hillsborough County,Florida,12,057,0.4792
Holmes County,Florida,12,059,0.4505
Indian River County,Florida,12,061,0.5303
Jackson County,Florida,12,063,0.4565
Jefferson County,Florida,12,065,0.4458
Lafayette County,Florida,12,067,0.5112
Lake County,Florida,12,069,0.431
Lee County,Florida,12,071,0.4755
Leon County,Florida,12,073,0.4874
Levy County,Florida,12,075,0.4595
Liberty County,Florida,12,077,0.4379
Madison County,Florida,12,079,0.466
Manatee County,Florida,12,081,0.4622
Marion County,Florida,12,083,0.433
Martin County,Florida,12,085,0.5128
Monroe County,Florida,12,087,0.5093
Nassau County,Florida,12,089,0.4504
Okaloosa County,Florida,12,091,0.4318
Okeechobee County,Florida,12,093,0.4601
Orange County,Florida,12,095,0.4798
Osceola County,Florida,12,097,0.4299
Palm Beach County,Florida,12,099,0.5152
Pasco County,Florida,12,101,0.4465
Pinellas County,Florida,12,103,0.486
Polk County,Florida,12,105,0.433
Putnam County,Florida,12,107,0.4698
Saint Johns County,Florida,12,109,0.4863
Saint Lucie County,Florida,12,111,0.4613
Santa Rosa County,Florida,12,113,0.4301
Sarasota County,Florida,12,115,0.482
Seminole County,Florida,12,117,0.4593
Sumter County,Florida,12,119,0.4255
Suwannee County,Florida,12,121,0.4416
Taylor County,Florida,12,123,0.4096
Union County,Florida,12,125,0.4012
Volusia County,Florida,12,127,0.4642
Wakulla County,Florida,12,129,0.3982
Walton County,Florida,12,131,0.4942
Washington County,Florida,12,133,0.4434
Appling County,Georgia,13,001,0.458
Atkinson County,Georgia,13,003,0.4753
Bacon County,Georgia,13,005,0.4306
Baker County,Georgia,13,007,0.4713
Baldwin County,Georgia,13,009,0.5169
Banks County,Georgia,13,011,0.4049
Barrow County,Georgia,13,013,0.3943
Bartow County,Georgia,13,015,0.4264
Ben Hill County,Georgia,13,017,0.4726
Berrien County,Georgia,13,019,0.452
Bibb County,Georgia,13,021,0.5201
Bleckley County,Georgia,13,023,0.4909
Brantley County,Georgia,13,025,0.4146
Brooks County,Georgia,13,027,0.4798
Bryan County,Georgia,13,029,0.4074
Bulloch County,Georgia,13,031,0.5002
Burke County,Georgia,13,033,0.4686
Butts County,Georgia,13,035,0.4381
Calhoun County,Georgia,13,037,0.6068
Camden County,Georgia,13,039,0.4026
Candler County,Georgia,13,043,0.519
Carroll County,Georgia,13,045,0.4609
Catoosa County,Georgia,13,047,0.3947
Charlton County,Georgia,13,049,0.4181
Chatham County,Georgia,13,051,0.4713
Chattahoochee County,Georgia,13,053,0.3493
Chattooga County,Georgia,13,055,0.4554
Cherokee County,Georgia,13,057,0.4101
Clarke County,Georgia,13,059,0.5397
Clay County,Georgia,13,061,0.4698
Clayton County,Georgia,13,063,0.4252
Clinch County,Georgia,13,065,0.5314
Cobb County,Georgia,13,067,0.4567
Coffee County,Georgia,13,069,0.5
Colquitt County,Georgia,13,071,0.4738
Columbia County,Georgia,13,073,0.411
Cook County,Georgia,13,075,0.4733
Coweta County,Georgia,13,077,0.4225
Crawford County,Georgia,13,079,0.4283
Crisp County,Georgia,13,081,0.5294
Dade County,Georgia,13,083,0.4172
Dawson County,Georgia,13,085,0.4588
Decatur County,Georgia,13,087,0.5226
DeKalb County,Georgia,13,089,0.4904
Dodge County,Georgia,13,091,0.4465
Dooly County,Georgia,13,093,0.4588
Dougherty County,Georgia,13,095,0.5163
Douglas County,Georgia,13,097,0.4053
Early County,Georgia,13,099,0.4873
Echols County,Georgia,13,101,0.4617
