County,State,State_FIPS,County_FIPS,housing_cost_burden
Bradford County,Florida,12,007,220
Brevard County,Florida,12,009,5163
Broward County,Florida,12,011,18803
Calhoun County,Florida,12,013,133
Charlotte County,Florida,12,015,1400
Citrus County,Florida,12,017,673
Clay County,Florida,12,019,1351
Collier County,Florida,12,021,2542
Columbia County,Florida,12,023,522
Miami-Dade County,Florida,12,086,31979
DeSoto County,Florida,12,027,210
Dixie County,Florida,12,029,75
Duval County,Florida,12,031,10889
Escambia County,Florida,12,033,3579
Flagler County,Florida,12,035,655
Franklin County,Florida,12,037,162
Gadsden County,Florida,12,039,307
Gilchrist County,Florida,12,041,77
Glades County,Florida,12,043,30
Gulf County,Florida,12,045,29
Hamilton County,Florida,12,047,139
Hardee County,Florida,12,049,175
Hendry County,Florida,12,051,184
Hernando County,Florida,12,053,773
Highlands County,Florida,12,055,752
Hillsborough County,Florida,12,057,15963
Holmes County,Florida,12,059,122
Indian River County,Florida,12,061,1162
Jackson County,Florida,12,063,332
Jefferson County,Florida,12,065,102
Lafayette County,Florida,12,067,51
Lake County,Florida,12,069,2285
Lee County,Florida,12,071,6125
Leon County,Florida,12,073,3705
Levy County,Florida,12,075,213
Liberty County,Florida,12,077,22
Madison County,Florida,12,079,115
Manatee County,Florida,12,081,3139
Marion County,Florida,12,083,2463
Martin County,Florida,12,085,1314
Monroe County,Florida,12,087,1391
Nassau County,Florida,12,089,615
Okaloosa County,Florida,12,091,1896
Okeechobee County,Florida,12,093,222
Orange County,Florida,12,095,15749
Osceola County,Florida,12,097,3106
Palm Beach County,Florida,12,099,11682
Pasco County,Florida,12,101,3728
Pinellas County,Florida,12,103,11867
Polk County,Florida,12,105,5618
Putnam County,Florida,12,107,534
Saint Johns County,Florida,12,109,1398
Saint Lucie County,Florida,12,111,2493
Santa Rosa County,Florida,12,113,1187
Sarasota County,Florida,12,115,3538
Seminole County,Florida,12,117,4065
Sumter County,Florida,12,119,362
Suwannee County,Florida,12,121,144
Taylor County,Florida,12,123,133
Union County,Florida,12,125,124
Volusia County,Florida,12,127,3818
Wakulla County,Florida,12,129,159
Walton County,Florida,12,131,327
Washington County,Florida,12,133,140
Appling County,Georgia,13,001,224
Atkinson County,Georgia,13,003,53
Bacon County,Georgia,13,005,64
Baker County,Georgia,13,007,6
Baldwin County,Georgia,13,009,420
Banks County,Georgia,13,011,146
Barrow County,Georgia,13,013,342
Bartow County,Georgia,13,015,1049
Ben Hill County,Georgia,13,017,180
Berrien County,Georgia,13,019,359
Bibb County,Georgia,13,021,2070
Bleckley County,Georgia,13,023,81
Brantley County,Georgia,13,025,28
Brooks County,Georgia,13,027,152
Bryan County,Georgia,13,029,289
Bulloch County,Georgia,13,031,429
Burke County,Georgia,13,033,117
Butts County,Georgia,13,035,66
Calhoun County,Georgia,13,037,49
Camden County,Georgia,13,039,315
Candler County,Georgia,13,043,45
Carroll County,Georgia,13,045,1068
Catoosa County,Georgia,13,047,421
Charlton County,Georgia,13,049,71
Chatham County,Georgia,13,051,3796
Chattahoochee County,Georgia,13,053,262
Chattooga County,Georgia,13,055,209
Cherokee County,Georgia,13,057,1284
Clarke County,Georgia,13,059,1630
Clay County,Georgia,13,061,20
Clayton County,Georgia,13,063,3172
Clinch County,Georgia,13,065,20
Cobb County,Georgia,13,067,7057
Coffee County,Georgia,13,069,339
Colquitt County,Georgia,13,071,404
Columbia County,Georgia,13,073,569
Cook County,Georgia,13,075,117
Coweta County,Georgia,13,077,663
Crawford County,Georgia,13,079,0
Crisp County,Georgia,13,081,486
Dade County,Georgia,13,083,65
Dawson County,Georgia,13,085,35
Decatur County,Georgia,13,087,362
DeKalb County,Georgia,13,089,10401
Dodge County,Georgia,13,091,225
Dooly County,Georgia,13,093,102
Dougherty County,Georgia,13,095,1380
Douglas County,Georgia,13,097,1098
Early County,Georgia,13,099,13
Echols County,Georgia,13,101,0
Effingham County,Georgia,13,103,452
Elbert County,Georgia,13,105,184
Emanuel County,Georgia,13,107,84
Evans County,Georgia,13,109,57
Fannin County,Georgia,13,111,230
Fayette County,Georgia,13,113,426
Floyd County,Georgia,13,115,1016
Forsyth County,Georgia,13,117,748
Franklin County,Georgia,13,119,215
Fulton County,Georgia,13,121,13463
Gilmer County,Georgia,13,123,229
Glascock County,Georgia,13,125,40
Glynn County,Georgia,13,127,891
Gordon County,Georgia,13,129,399
Grady County,Georgia,13,131,134
Greene County,Georgia,13,133,77
Gwinnett County,Georgia,13,135,6767
Habersham County,Georgia,13,137,360
Hall County,Georgia,13,139,1505
Hancock County,Georgia,13,141,27
Haralson County,Georgia,13,143,284
Harris County,Georgia,13,145,118
Hart County,Georgia,13,147,32
Heard County,Georgia,13,149,87
Henry County,Georgia,13,151,1595
Houston County,Georgia,13,153,1436
Irwin County,Georgia,13,155,119
Jackson County,Georgia,13,157,396
Jasper County,Georgia,13,159,46
Jeff Davis County,Georgia,13,161,126
Jefferson County,Georgia,13,163,196
Jenkins County,Georgia,13,165,40
Johnson County,Georgia,13,167,21
Jones County,Georgia,13,169,149
Lamar County,Georgia,13,171,238
