County,State,State_FIPS,County_FIPS,median_household_income
Minidoka County,Idaho,16,067,43266
Nez Perce County,Idaho,16,069,46503
Oneida County,Idaho,16,071,40842
Owyhee County,Idaho,16,073,32175
Payette County,Idaho,16,075,43649
Power County,Idaho,16,077,44212
Shoshone County,Idaho,16,079,38440
Teton County,Idaho,16,081,53931
Twin Falls County,Idaho,16,083,43886
Valley County,Idaho,16,085,50473
Washington County,Idaho,16,087,37453
Adams County,Illinois,17,001,45073
Alexander County,Illinois,17,003,26972
Bond County,Illinois,17,005,48163
Boone County,Illinois,17,007,60893
Brown County,Illinois,17,009,42194
Bureau County,Illinois,17,011,48977
Calhoun County,Illinois,17,013,50436
Carroll County,Illinois,17,015,47985
Cass County,Illinois,17,017,45734
Champaign County,Illinois,17,019,45808
Christian County,Illinois,17,021,45145
Clark County,Illinois,17,023,47405
Clay County,Illinois,17,025,40640
Clinton County,Illinois,17,027,61720
Coles County,Illinois,17,029,37040
Cook County,Illinois,17,031,54548
Crawford County,Illinois,17,033,46216
Cumberland County,Illinois,17,035,43958
DeKalb County,Illinois,17,037,53375
De Witt County,Illinois,17,039,51051
Douglas County,Illinois,17,041,52741
DuPage County,Illinois,17,043,78487
Edgar County,Illinois,17,045,42133
Edwards County,Illinois,17,047,39075
Effingham County,Illinois,17,049,52108
Fayette County,Illinois,17,051,44722
Ford County,Illinois,17,053,48866
Franklin County,Illinois,17,055,36273
Fulton County,Illinois,17,057,45130
Gallatin County,Illinois,17,059,40330
Greene County,Illinois,17,061,43502
Grundy County,Illinois,17,063,64541
Hamilton County,Illinois,17,065,38417
Hancock County,Illinois,17,067,43925
Hardin County,Illinois,17,069,37071
Henderson County,Illinois,17,071,49389
Henry County,Illinois,17,073,52940
Iroquois County,Illinois,17,075,47079
Jackson County,Illinois,17,077,33479
Jasper County,Illinois,17,079,52233
Jefferson County,Illinois,17,081,42981
Jersey County,Illinois,17,083,53954
Jo Daviess County,Illinois,17,085,50817
Johnson County,Illinois,17,087,40760
Kane County,Illinois,17,089,69530
Kankakee County,Illinois,17,091,50102
Kendall County,Illinois,17,093,81765
Knox County,Illinois,17,095,40667
Lake County,Illinois,17,097,77469
LaSalle County,Illinois,17,099,52640
Lawrence County,Illinois,17,101,40145
Lee County,Illinois,17,103,50060
Livingston County,Illinois,17,105,54614
Logan County,Illinois,17,107,47133
McDonough County,Illinois,17,109,36031
McHenry County,Illinois,17,111,76145
McLean County,Illinois,17,113,62089
Macon County,Illinois,17,115,46559
Macoupin County,Illinois,17,117,49590
Madison County,Illinois,17,119,53633
Marion County,Illinois,17,121,41010
Marshall County,Illinois,17,123,51504
Mason County,Illinois,17,125,42260
Massac County,Illinois,17,127,43615
Menard County,Illinois,17,129,58190
Mercer County,Illinois,17,131,53136
Monroe County,Illinois,17,133,68482
Montgomery County,Illinois,17,135,41952
Morgan County,Illinois,17,137,46809
Moultrie County,Illinois,17,139,46622
Ogle County,Illinois,17,141,54541
Peoria County,Illinois,17,143,50712
Perry County,Illinois,17,145,42078
Piatt County,Illinois,17,147,63027
Pike County,Illinois,17,149,39845
Pope County,Illinois,17,151,38371
Pulaski County,Illinois,17,153,33717
Putnam County,Illinois,17,155,54196
Randolph County,Illinois,17,157,47427
Richland County,Illinois,17,159,44070
Rock Island County,Illinois,17,161,48702
Saint Clair County,Illinois,17,163,50578
Saline County,Illinois,17,165,37800
Sangamon County,Illinois,17,167,55449
Schuyler County,Illinois,17,169,48138
Scott County,Illinois,17,171,49669
Shelby County,Illinois,17,173,47188
Stark County,Illinois,17,175,54203
Stephenson County,Illinois,17,177,43472
Tazewell County,Illinois,17,179,56067
Union County,Illinois,17,181,41848
Vermilion County,Illinois,17,183,41400
Wabash County,Illinois,17,185,47365
Warren County,Illinois,17,187,43536
Washington County,Illinois,17,189,52832
Wayne County,Illinois,17,191,43605
White County,Illinois,17,193,42914
Whiteside County,Illinois,17,195,47667
Will County,Illinois,17,197,76147
Williamson County,Illinois,17,199,43125
Winnebago County,Illinois,17,201,47072
Woodford County,Illinois,17,203,66639
Adams County,Indiana,18,001,46695
Allen County,Indiana,18,003,49370
Bartholomew County,Indiana,18,005,54165
Benton County,Indiana,18,007,48711
Blackford County,Indiana,18,009,39225
Boone County,Indiana,18,011,67255
Brown County,Indiana,18,013,51568
Carroll County,Indiana,18,015,50542
Cass County,Indiana,18,017,41940
Clark County,Indiana,18,019,50496
Clay County,Indiana,18,021,46430
Clinton County,Indiana,18,023,48953
Crawford County,Indiana,18,025,39700
Daviess County,Indiana,18,027,47165
Dearborn County,Indiana,18,029,56946
Decatur County,Indiana,18,031,48047
DeKalb County,Indiana,18,033,47247
Delaware County,Indiana,18,035,37474
Dubois County,Indiana,18,037,54780
Elkhart County,Indiana,18,039,45693
Fayette County,Indiana,18,041,37391
Floyd County,Indiana,18,043,53961
Fountain County,Indiana,18,045,45884
Franklin County,Indiana,18,047,49516
Fulton County,Indiana,18,049,40168
Gibson County,Indiana,18,051,49329
Grant County,Indiana,18,053,39747
Greene County,Indiana,18,055,43980
Hamilton County,Indiana,18,057,82468
Hancock County,Indiana,18,059,62981
Harrison County,Indiana,18,061,50510
Hendricks County,Indiana,18,063,68297
Henry County,Indiana,18,065,40679
Howard County,Indiana,18,067,43590
Huntington County,Indiana,18,069,46148
Jackson County,Indiana,18,071,46501
Jasper County,Indiana,18,073,57500
Jay County,Indiana,18,075,40235
Jefferson County,Indiana,18,077,43795
Jennings County,Indiana,18,079,44128
Johnson County,Indiana,18,081,61231
Knox County,Indiana,18,083,42119
Kosciusko County,Indiana,18,085,50859
