County,State,State_FIPS,County_FIPS,total_population_for_poverty
Clay County,Illinois,17,025,13631
Clinton County,Illinois,17,027,35285
Coles County,Illinois,17,029,48766
Cook County,Illinois,17,031,5107012
Crawford County,Illinois,17,033,19209
Cumberland County,Illinois,17,035,10808
DeKalb County,Illinois,17,037,96484
De Witt County,Illinois,17,039,16093
Douglas County,Illinois,17,041,19627
DuPage County,Illinois,17,043,900807
Edgar County,Illinois,17,045,18227
Edwards County,Illinois,17,047,6661
Effingham County,Illinois,17,049,33717
Fayette County,Illinois,17,051,21334
Ford County,Illinois,17,053,13589
Franklin County,Illinois,17,055,38845
Fulton County,Illinois,17,057,34415
Gallatin County,Illinois,17,059,5555
Greene County,Illinois,17,061,13565
Grundy County,Illinois,17,063,48936
Hamilton County,Illinois,17,065,8331
Hancock County,Illinois,17,067,18802
Hardin County,Illinois,17,069,4192
Henderson County,Illinois,17,071,7264
Henry County,Illinois,17,073,49470
Iroquois County,Illinois,17,075,29042
Jackson County,Illinois,17,077,53646
Jasper County,Illinois,17,079,9624
Jefferson County,Illinois,17,081,36772
Jersey County,Illinois,17,083,21976
Jo Daviess County,Illinois,17,085,22452
Johnson County,Illinois,17,087,10299
Kane County,Illinois,17,089,502576
Kankakee County,Illinois,17,091,108840
Kendall County,Illinois,17,093,110136
Knox County,Illinois,17,095,48479
Lake County,Illinois,17,097,681776
LaSalle County,Illinois,17,099,111406
Lawrence County,Illinois,17,101,12681
Lee County,Illinois,17,103,34050
Livingston County,Illinois,17,105,34637
Logan County,Illinois,17,107,24632
McDonough County,Illinois,17,109,26896
McHenry County,Illinois,17,111,306058
McLean County,Illinois,17,113,158362
Macon County,Illinois,17,115,107055
Macoupin County,Illinois,17,117,46496
Madison County,Illinois,17,119,261047
Marion County,Illinois,17,121,38750
Marshall County,Illinois,17,123,12354
Mason County,Illinois,17,125,14583
Massac County,Illinois,17,127,15127
Menard County,Illinois,17,129,12507
Mercer County,Illinois,17,131,16280
Monroe County,Illinois,17,133,32327
Montgomery County,Illinois,17,135,26491
Morgan County,Illinois,17,137,32841
Moultrie County,Illinois,17,139,14348
Ogle County,Illinois,17,141,52616
Peoria County,Illinois,17,143,179453
Perry County,Illinois,17,145,19831
Piatt County,Illinois,17,147,16486
Pike County,Illinois,17,149,15907
Pope County,Illinois,17,151,4306
Pulaski County,Illinois,17,153,5964
Putnam County,Illinois,17,155,5948
Randolph County,Illinois,17,157,29652
Richland County,Illinois,17,159,15998
Rock Island County,Illinois,17,161,142915
Saint Clair County,Illinois,17,163,263190
Saline County,Illinois,17,165,24117
Sangamon County,Illinois,17,167,193062
Schuyler County,Illinois,17,169,7247
Scott County,Illinois,17,171,5266
Shelby County,Illinois,17,173,21944
Stark County,Illinois,17,175,5824
Stephenson County,Illinois,17,177,46868
Tazewell County,Illinois,17,179,131692
Union County,Illinois,17,181,17397
Vermilion County,Illinois,17,183,79992
Wabash County,Illinois,17,185,11886
Warren County,Illinois,17,187,16450
Washington County,Illinois,17,189,14441
Wayne County,Illinois,17,191,16609
White County,Illinois,17,193,14391
Whiteside County,Illinois,17,195,57376
Will County,Illinois,17,197,666141
Williamson County,Illinois,17,199,63758
Winnebago County,Illinois,17,201,290142
Woodford County,Illinois,17,203,37341
Adams County,Indiana,18,001,33695
Allen County,Indiana,18,003,347376
Bartholomew County,Indiana,18,005,75240
Benton County,Indiana,18,007,8592
Blackford County,Indiana,18,009,12504
Boone County,Indiana,18,011,55189
Brown County,Indiana,18,013,15044
Carroll County,Indiana,18,015,19832
Cass County,Indiana,18,017,37816
Clark County,Indiana,18,019,107301
Clay County,Indiana,18,021,26408
Clinton County,Indiana,18,023,32413
Crawford County,Indiana,18,025,10605
Daviess County,Indiana,18,027,30706
