County,State,State_FIPS,County_FIPS,people_below_poverty
Jeff Davis County,Georgia,13,161,3079.0
Jefferson County,Georgia,13,163,4535.0
Jenkins County,Georgia,13,165,2539.0
Johnson County,Georgia,13,167,2363.0
Jones County,Georgia,13,169,3888.0
Lamar County,Georgia,13,171,3746.0
Lanier County,Georgia,13,173,2827.0
Laurens County,Georgia,13,175,12972.0
Lee County,Georgia,13,177,3334.0
Liberty County,Georgia,13,179,10443.0
Lincoln County,Georgia,13,181,1939.0
Long County,Georgia,13,183,2765.0
Lowndes County,Georgia,13,185,27436.0
Lumpkin County,Georgia,13,187,6426.0
McDuffie County,Georgia,13,189,5537.0
McIntosh County,Georgia,13,191,2788.0
Macon County,Georgia,13,193,3897.0
Madison County,Georgia,13,195,4520.0
Marion County,Georgia,13,197,2151.0
Meriwether County,Georgia,13,199,4943.0
Miller County,Georgia,13,201,1441.0
Mitchell County,Georgia,13,205,6085.0
Monroe County,Georgia,13,207,3419.0
Montgomery County,Georgia,13,209,1879.0
Morgan County,Georgia,13,211,2354.0
Murray County,Georgia,13,213,7315.0
Muscogee County,Georgia,13,215,40006.0
Newton County,Georgia,13,217,17415.0
Oconee County,Georgia,13,219,2485.0
Oglethorpe County,Georgia,13,221,2612.0
Paulding County,Georgia,13,223,15974.0
Peach County,Georgia,13,225,5206.0
Pickens County,Georgia,13,227,3058.0
Pierce County,Georgia,13,229,3764.0
Pike County,Georgia,13,231,2120.0
Polk County,Georgia,13,233,8229.0
Pulaski County,Georgia,13,235,2342.0
Putnam County,Georgia,13,237,3727.0
Quitman County,Georgia,13,239,538.0
Rabun County,Georgia,13,241,3491.0
Randolph County,Georgia,13,243,2018.0
Richmond County,Georgia,13,245,48495.0
Rockdale County,Georgia,13,247,14863.0
Schley County,Georgia,13,249,1113.0
Screven County,Georgia,13,251,3425.0
Seminole County,Georgia,13,253,1639.0
Spalding County,Georgia,13,255,14798.0
Stephens County,Georgia,13,257,4995.0
Stewart County,Georgia,13,259,1666.0
Sumter County,Georgia,13,261,9749.0
Talbot County,Georgia,13,263,1307.0
Taliaferro County,Georgia,13,265,593.0
Tattnall County,Georgia,13,267,5290.0
Taylor County,Georgia,13,269,2310.0
Telfair County,Georgia,13,271,3611.0
Terrell County,Georgia,13,273,3053.0
Thomas County,Georgia,13,275,9377.0
Tift County,Georgia,13,277,10638.0
Toombs County,Georgia,13,279,7117.0
Towns County,Georgia,13,281,1528.0
Treutlen County,Georgia,13,283,1184.0
Troup County,Georgia,13,285,14388.0
Turner County,Georgia,13,287,2157.0
Twiggs County,Georgia,13,289,2504.0
Union County,Georgia,13,291,2822.0
Upson County,Georgia,13,293,5910.0
Walker County,Georgia,13,295,12273.0
Walton County,Georgia,13,297,11365.0
Ware County,Georgia,13,299,9310.0
Warren County,Georgia,13,301,1432.0
