County,State,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent
La Plata County,Colorado,8,67,39493.0,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,37363.0,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,25813.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,16753.0,,,,,,,,,,,,,,
Logan County,Colorado,8,75,26727.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,29596.0,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,29100.0,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,26072.0,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,28078.0,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,25064.0,,,,,,,,,,,,,,
Otero County,Colorado,8,89,21110.0,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,41160.0,,,,,,,,,,,,,,
Park County,Colorado,8,93,36500.0,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,26494.0,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,54875.0,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,23698.0,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,25051.0,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,26487.0,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,24582.0,,,,,,,,,,,,,,
Routt County,Colorado,8,107,43769.0,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,22511.0,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,47526.0,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,27527.0,,,,,,,,,,,,,,
Summit County,Colorado,8,117,41281.0,,,,,,,,,,,,,,
Teller County,Colorado,8,119,35703.0,,,,,,,,,,,,,,
Washington County,Colorado,8,121,27860.0,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,27955.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,30313.0,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,40443.0,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,46826.0,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,50863.0,,,,,,,,,,,,,,
Denver County,Colorado,8,31,43770.0,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,44119.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,31793.0,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,57263.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,40540.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,44480.0,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,46023.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,38009.0,,,,,,,,,,,,,,
New London County,Connecticut,9,11,39426.0,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,41371.0,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,32732.0,,,,,,,,,,,,,,
Kent County,Delaware,10,1,28845.0,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,37532.0,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,35491.0,,,,,,,,,,,,,,
Alachua County,Florida,12,1,28646.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,24686.0,,,,,,,,,,,,,,
Bay County,Florida,12,5,29290.0,,,,,,,,,,,,,,
Bradford County,Florida,12,7,20529.0,,,,,,,,,,,,,,
Brevard County,Florida,12,9,32176.0,,,,,,,,,,,,,,
Broward County,Florida,12,11,32909.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,19304.0,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,32144.0,,,,,,,,,,,,,,
Citrus County,Florida,12,17,26989.0,,,,,,,,,,,,,,
Clay County,Florida,12,19,30483.0,,,,,,,,,,,,,,
Collier County,Florida,12,21,45567.0,,,,,,,,,,,,,,
Columbia County,Florida,12,23,24275.0,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,28224.0,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,18503.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,21144.0,,,,,,,,,,,,,,
Duval County,Florida,12,31,31327.0,,,,,,,,,,,,,,
Escambia County,Florida,12,33,28022.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,29383.0,,,,,,,,,,,,,,
Franklin County,Florida,12,37,26574.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,20734.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,21578.0,,,,,,,,,,,,,,
Glades County,Florida,12,43,21953.0,,,,,,,,,,,,,,
Gulf County,Florida,12,45,23252.0,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,16136.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,17754.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,19167.0,,,,,,,,,,,,,,
Hernando County,Florida,12,53,25860.0,,,,,,,,,,,,,,
Highlands County,Florida,12,55,25752.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,32343.0,,,,,,,,,,,,,,
Holmes County,Florida,12,59,19201.0,,,,,,,,,,,,,,
Indian River County,Florida,12,61,36516.0,,,,,,,,,,,,,,
Jackson County,Florida,12,63,20019.0,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,24510.0,,,,,,,,,,,,,,
