County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Ouray County,Colorado,8,91,87.3,,,,,,,,,,,,,,
Park County,Colorado,8,93,85.9,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,80.9,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,86.4,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,76.4,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,78.5,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,77.3,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,78.5,,,,,,,,,,,,,,
Routt County,Colorado,8,107,83.9,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,80.5,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,83.9,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,83.1,,,,,,,,,,,,,,
Summit County,Colorado,8,117,84.2,,,,,,,,,,,,,,
Teller County,Colorado,8,119,84.5,,,,,,,,,,,,,,
Washington County,Colorado,8,121,79.3,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,75.9,,,,,,,,,,,,,,
Adams County,Colorado,8,1,74.6,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,77.2,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,81.7,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,77.8,,,,,,,,,,,,,,
Denver County,Colorado,8,31,80.8,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,81.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,75.2,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,78.3,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,80.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,82.3,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,82.6,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,80.5,,,,,,,,,,,,,,
New London County,Connecticut,9,11,81.7,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,83.9,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,81.2,,,,,,,,,,,,,,
Kent County,Delaware,10,1,77.6,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,79.4,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,81.8,,,,,,,,,,,,,,
Alachua County,Florida,12,1,83.1,,,,,,,,,,,,,,
Baker County,Florida,12,3,78.6,,,,,,,,,,,,,,
Bay County,Florida,12,5,80.4,,,,,,,,,,,,,,
Bradford County,Florida,12,7,82.3,,,,,,,,,,,,,,
Brevard County,Florida,12,9,82.9,,,,,,,,,,,,,,
Broward County,Florida,12,11,80.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,82.1,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,87.7,,,,,,,,,,,,,,
Citrus County,Florida,12,17,86.2,,,,,,,,,,,,,,
Clay County,Florida,12,19,77.7,,,,,,,,,,,,,,
Collier County,Florida,12,21,83.1,,,,,,,,,,,,,,
Columbia County,Florida,12,23,80.4,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,80.8,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,83.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,84.3,,,,,,,,,,,,,,
Duval County,Florida,12,31,78.4,,,,,,,,,,,,,,
Escambia County,Florida,12,33,81.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,82.9,,,,,,,,,,,,,,
Franklin County,Florida,12,37,86.7,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,79.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,83.4,,,,,,,,,,,,,,
Glades County,Florida,12,43,86.8,,,,,,,,,,,,,,
Gulf County,Florida,12,45,88.2,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,85.9,,,,,,,,,,,,,,
Hardee County,Florida,12,49,76.9,,,,,,,,,,,,,,
Hendry County,Florida,12,51,75.3,,,,,,,,,,,,,,
Hernando County,Florida,12,53,82.4,,,,,,,,,,,,,,
Highlands County,Florida,12,55,83.4,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,78.4,,,,,,,,,,,,,,
Holmes County,Florida,12,59,82.2,,,,,,,,,,,,,,
Indian River County,Florida,12,61,83.6,,,,,,,,,,,,,,
Jackson County,Florida,12,63,84.3,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,86.3,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,87.9,,,,,,,,,,,,,,
Lake County,Florida,12,69,81.3,,,,,,,,,,,,,,
Lee County,Florida,12,71,82.6,,,,,,,,,,,,,,
Leon County,Florida,12,73,82.3,,,,,,,,,,,,,,
Levy County,Florida,12,75,80.8,,,,,,,,,,,,,,
Liberty County,Florida,12,77,84.3,,,,,,,,,,,,,,
Madison County,Florida,12,79,81.9,,,,,,,,,,,,,,
Manatee County,Florida,12,81,81.9,,,,,,,,,,,,,,
Marion County,Florida,12,83,82.5,,,,,,,,,,,,,,
Martin County,Florida,12,85,84.9,,,,,,,,,,,,,,
Monroe County,Florida,12,87,86.8,,,,,,,,,,,,,,
Nassau County,Florida,12,89,81.2,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,80.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,81.1,,,,,,,,,,,,,,
Orange County,Florida,12,95,79.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,77.1,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,81.7,,,,,,,,,,,,,,
Pasco County,Florida,12,101,80.9,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,84.1,,,,,,,,,,,,,,
Polk County,Florida,12,105,78.9,,,,,,,,,,,,,,
Putnam County,Florida,12,107,79.5,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,80.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,80.6,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,79.8,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,85.9,,,,,,,,,,,,,,
Seminole County,Florida,12,117,80.1,,,,,,,,,,,,,,
Sumter County,Florida,12,119,93.2,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,82.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,85.3,,,,,,,,,,,,,,
Union County,Florida,12,125,87.7,,,,,,,,,,,,,,
Volusia County,Florida,12,127,83.5,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,82.7,,,,,,,,,,,,,,
Walton County,Florida,12,131,81.8,,,,,,,,,,,,,,
Washington County,Florida,12,133,84.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,79.6,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,72.7,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,77.2,,,,,,,,,,,,,,
Baker County,Georgia,13,7,84.0,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,83.0,,,,,,,,,,,,,,
Banks County,Georgia,13,11,78.1,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,74.7,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,76.7,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,75.3,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,77.3,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,75.7,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,80.0,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,76.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,80.2,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,72.7,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,81.6,,,,,,,,,,,,,,
Burke County,Georgia,13,33,74.9,,,,,,,,,,,,,,
Butts County,Georgia,13,35,82.9,,,,,,,,,,,,,,
Calhoun County,Georgia,13,37,84.9,,,,,,,,,,,,,,
Camden County,Georgia,13,39,77.0,,,,,,,,,,,,,,
Candler County,Georgia,13,43,75.6,,,,,,,,,,,,,,
Carroll County,Georgia,13,45,77.2,,,,,,,,,,,,,,
Catoosa County,Georgia,13,47,77.5,,,,,,,,,,,,,,
Charlton County,Georgia,13,49,83.9,,,,,,,,,,,,,,
Chatham County,Georgia,13,51,78.9,,,,,,,,,,,,,,
