County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage
Yolo County,California,6,113,134265.0,,,,,,,,,,,,,,
Yuba County,California,6,115,50907.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,12652.0,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,10827.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,3580.0,,,,,,,,,,,,,,
Bent County,Colorado,8,11,4985.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,16799.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,2056.0,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,8566.0,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,6857.0,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,2922.0,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,4777.0,,,,,,,,,,,,,,
Custer County,Colorado,8,27,4107.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,28977.0,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,1745.0,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,261685.0,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,46717.0,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,21930.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,508314.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,39965.0,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,50756.0,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,4983.0,,,,,,,,,,,,,,
Grand County,Colorado,8,49,13722.0,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,14660.0,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,4700.0,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,1351.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,1366.0,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,7668.0,,,,,,,,,,,,,,
Lake County,Colorado,8,65,5804.0,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,44963.0,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,274662.0,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,13203.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,4657.0,,,,,,,,,,,,,,
Logan County,Colorado,8,75,21164.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,132245.0,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,12550.0,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,21409.0,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,37310.0,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,25478.0,,,,,,,,,,,,,,
Otero County,Colorado,8,89,16837.0,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,4342.0,,,,,,,,,,,,,,
Park County,Colorado,8,93,15566.0,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,4180.0,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,16226.0,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,11707.0,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,130563.0,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,6406.0,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,9541.0,,,,,,,,,,,,,,
Routt County,Colorado,8,107,22494.0,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,5010.0,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,7181.0,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,2291.0,,,,,,,,,,,,,,
Summit County,Colorado,8,117,25241.0,,,,,,,,,,,,,,
Teller County,Colorado,8,119,21938.0,,,,,,,,,,,,,,
Washington County,Colorado,8,121,4643.0,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,9529.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,351099.0,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,432797.0,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,260736.0,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,48998.0,,,,,,,,,,,,,,
Denver County,Colorado,8,31,444522.0,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,484284.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,225338.0,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,699870.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,654726.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,178558.0,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,147872.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,649827.0,,,,,,,,,,,,,,
New London County,Connecticut,9,11,226453.0,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,136874.0,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,108037.0,,,,,,,,,,,,,,
Kent County,Delaware,10,1,112428.0,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,363926.0,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,157905.0,,,,,,,,,,,,,,
Alachua County,Florida,12,1,174623.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,22683.0,,,,,,,,,,,,,,
Bay County,Florida,12,5,139352.0,,,,,,,,,,,,,,
Bradford County,Florida,12,7,21868.0,,,,,,,,,,,,,,
Brevard County,Florida,12,9,455284.0,,,,,,,,,,,,,,
Broward County,Florida,12,11,1123976.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,11805.0,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,145582.0,,,,,,,,,,,,,,
Citrus County,Florida,12,17,131442.0,,,,,,,,,,,,,,
Clay County,Florida,12,19,158179.0,,,,,,,,,,,,,,
Collier County,Florida,12,21,282480.0,,,,,,,,,,,,,,
Columbia County,Florida,12,23,52458.0,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,1881017.0,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,27958.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,14248.0,,,,,,,,,,,,,,
Duval County,Florida,12,31,535374.0,,,,,,,,,,,,,,
Escambia County,Florida,12,33,207451.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,77586.0,,,,,,,,,,,,,,
Franklin County,Florida,12,37,9528.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,17330.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,15511.0,,,,,,,,,,,,,,
Glades County,Florida,12,43,10183.0,,,,,,,,,,,,,,
Gulf County,Florida,12,45,12293.0,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,8993.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,22546.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,25727.0,,,,,,,,,,,,,,
Hernando County,Florida,12,53,155885.0,,,,,,,,,,,,,,
Highlands County,Florida,12,55,83820.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,908147.0,,,,,,,,,,,,,,
Holmes County,Florida,12,59,18111.0,,,,,,,,,,,,,,
Indian River County,Florida,12,61,120601.0,,,,,,,,,,,,,,
Jackson County,Florida,12,63,34192.0,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,8769.0,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,6994.0,,,,,,,,,,,,,,
Lake County,Florida,12,69,249767.0,,,,,,,,,,,,,,
Lee County,Florida,12,71,526198.0,,,,,,,,,,,,,,
Leon County,Florida,12,73,174433.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,35253.0,,,,,,,,,,,,,,
Liberty County,Florida,12,77,6300.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,10866.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,271678.0,,,,,,,,,,,,,,
Marion County,Florida,12,83,270917.0,,,,,,,,,,,,,,
Martin County,Florida,12,85,128266.0,,,,,,,,,,,,,,
Monroe County,Florida,12,87,66362.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,66088.0,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,148726.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,33833.0,,,,,,,,,,,,,,
Orange County,Florida,12,95,752892.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,204701.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,1009367.0,,,,,,,,,,,,,,
Pasco County,Florida,12,101,416723.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,765829.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,475978.0,,,,,,,,,,,,,,
Putnam County,Florida,12,107,57520.0,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,171489.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,203117.0,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,134013.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,347224.0,,,,,,,,,,,,,,
Seminole County,Florida,12,117,341546.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,82441.0,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,35519.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,17081.0,,,,,,,,,,,,,,
Union County,Florida,12,125,11435.0,,,,,,,,,,,,,,
Volusia County,Florida,12,127,407410.0,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,25186.0,,,,,,,,,,,,,,
Walton County,Florida,12,131,48450.0,,,,,,,,,,,,,,
Washington County,Florida,12,133,19760.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,13655.0,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,5499.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,8608.0,,,,,,,,,,,,,,
