County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population
Walton County,Florida,12,131,81.9,,,,,,,,,,,,,,
Washington County,Florida,12,133,84.1,,,,,,,,,,,,,,
Appling County,Georgia,13,1,78.9,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,75.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,79.1,,,,,,,,,,,,,,
Baker County,Georgia,13,7,83.7,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,82.8,,,,,,,,,,,,,,
Banks County,Georgia,13,11,77.5,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,73.6,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,76.5,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,76.1,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,77.3,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,75.4,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,77.5,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,76.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,78.5,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,74.1,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,81.2,,,,,,,,,,,,,,
Burke County,Georgia,13,33,74.7,,,,,,,,,,,,,,
Butts County,Georgia,13,35,82.6,,,,,,,,,,,,,,
Calhoun County,Georgia,13,37,85.7,,,,,,,,,,,,,,
Camden County,Georgia,13,39,76.9,,,,,,,,,,,,,,
Candler County,Georgia,13,43,75.9,,,,,,,,,,,,,,
Carroll County,Georgia,13,45,77.2,,,,,,,,,,,,,,
Catoosa County,Georgia,13,47,77.3,,,,,,,,,,,,,,
Charlton County,Georgia,13,49,84.1,,,,,,,,,,,,,,
Chatham County,Georgia,13,51,78.9,,,,,,,,,,,,,,
