County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,median_household_income,native_american_population,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income
Sussex County,Delaware,10,5,992.0,,,,,,,,,,,,,,
Alachua County,Florida,12,1,916.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,755.0,,,,,,,,,,,,,,
Bay County,Florida,12,5,966.0,,,,,,,,,,,,,,
Bradford County,Florida,12,7,755.0,,,,,,,,,,,,,,
Brevard County,Florida,12,9,971.0,,,,,,,,,,,,,,
Broward County,Florida,12,11,1271.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,607.0,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,936.0,,,,,,,,,,,,,,
Citrus County,Florida,12,17,778.0,,,,,,,,,,,,,,
Clay County,Florida,12,19,1088.0,,,,,,,,,,,,,,
Collier County,Florida,12,21,1178.0,,,,,,,,,,,,,,
Columbia County,Florida,12,23,797.0,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,1195.0,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,672.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,661.0,,,,,,,,,,,,,,
Duval County,Florida,12,31,991.0,,,,,,,,,,,,,,
Escambia County,Florida,12,33,928.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,1118.0,,,,,,,,,,,,,,
Franklin County,Florida,12,37,719.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,684.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,632.0,,,,,,,,,,,,,,
Glades County,Florida,12,43,729.0,,,,,,,,,,,,,,
Gulf County,Florida,12,45,908.0,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,576.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,675.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,746.0,,,,,,,,,,,,,,
Hernando County,Florida,12,53,933.0,,,,,,,,,,,,,,
Highlands County,Florida,12,55,745.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,1040.0,,,,,,,,,,,,,,
Holmes County,Florida,12,59,656.0,,,,,,,,,,,,,,
Indian River County,Florida,12,61,928.0,,,,,,,,,,,,,,
Jackson County,Florida,12,63,650.0,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,809.0,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,645.0,,,,,,,,,,,,,,
Lake County,Florida,12,69,979.0,,,,,,,,,,,,,,
Lee County,Florida,12,71,1035.0,,,,,,,,,,,,,,
Leon County,Florida,12,73,968.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,691.0,,,,,,,,,,,,,,
Liberty County,Florida,12,77,578.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,654.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,1057.0,,,,,,,,,,,,,,
Marion County,Florida,12,83,839.0,,,,,,,,,,,,,,
Martin County,Florida,12,85,1043.0,,,,,,,,,,,,,,
Monroe County,Florida,12,87,1507.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,1084.0,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,1060.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,726.0,,,,,,,,,,,,,,
Orange County,Florida,12,95,1109.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,1129.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,1264.0,,,,,,,,,,,,,,
Pasco County,Florida,12,101,971.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,1007.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,913.0,,,,,,,,,,,,,,
Putnam County,Florida,12,107,679.0,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,1207.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,1088.0,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,1059.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,1116.0,,,,,,,,,,,,,,
Seminole County,Florida,12,117,1143.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,831.0,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,702.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,621.0,,,,,,,,,,,,,,
Union County,Florida,12,125,616.0,,,,,,,,,,,,,,
Volusia County,Florida,12,127,972.0,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,840.0,,,,,,,,,,,,,,
Walton County,Florida,12,131,936.0,,,,,,,,,,,,,,
Washington County,Florida,12,133,699.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,534.0,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,485.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,528.0,,,,,,,,,,,,,,
Baker County,Georgia,13,7,485.0,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,687.0,,,,,,,,,,,,,,
Banks County,Georgia,13,11,710.0,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,941.0,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,863.0,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,630.0,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,602.0,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,774.0,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,580.0,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,579.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,647.0,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,1229.0,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,787.0,,,,,,,,,,,,,,
Burke County,Georgia,13,33,581.0,,,,,,,,,,,,,,
Butts County,Georgia,13,35,796.0,,,,,,,,,,,,,,
Calhoun County,Georgia,13,37,543.0,,,,,,,,,,,,,,
Camden County,Georgia,13,39,957.0,,,,,,,,,,,,,,
Candler County,Georgia,13,43,577.0,,,,,,,,,,,,,,
Carroll County,Georgia,13,45,820.0,,,,,,,,,,,,,,
