County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income
Bent County,Colorado,8,11,706.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,817.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,600.0,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,795.0,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,538.0,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,614.0,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,600.0,,,,,,,,,,,,,,
Custer County,Colorado,8,27,692.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,810.0,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,643.0,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,1353.0,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,1231.0,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,1109.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,941.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,697.0,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,1111.0,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,1043.0,,,,,,,,,,,,,,
Grand County,Colorado,8,49,982.0,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,882.0,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,682.0,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,708.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,683.0,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,644.0,,,,,,,,,,,,,,
Lake County,Colorado,8,65,917.0,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,1026.0,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,1001.0,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,761.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,677.0,,,,,,,,,,,,,,
Logan County,Colorado,8,75,634.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,841.0,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,739.0,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,713.0,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,829.0,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,736.0,,,,,,,,,,,,,,
Otero County,Colorado,8,89,646.0,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,1053.0,,,,,,,,,,,,,,
Park County,Colorado,8,93,1087.0,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,615.0,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,1242.0,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,548.0,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,761.0,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,736.0,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,569.0,,,,,,,,,,,,,,
Routt County,Colorado,8,107,1150.0,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,639.0,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,1113.0,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,559.0,,,,,,,,,,,,,,
Summit County,Colorado,8,117,1143.0,,,,,,,,,,,,,,
Teller County,Colorado,8,119,961.0,,,,,,,,,,,,,,
Washington County,Colorado,8,121,580.0,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,626.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,1003.0,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,1029.0,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,1149.0,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,1248.0,,,,,,,,,,,,,,
Denver County,Colorado,8,31,913.0,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,1008.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,868.0,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,1327.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,983.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,946.0,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,1069.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,1064.0,,,,,,,,,,,,,,
New London County,Connecticut,9,11,1024.0,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,1041.0,,,,,,,,,,,,,,
