County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Graham County,Arizona,4,9,27973,37115,9.9,209,634,76.2,0.4281,5044,44421,16967,125500,776,12.4,2012,,
Greenlee County,Arizona,4,11,7410,8592,10.3,68,384,72.8,0.362,177,49692,20297,79300,84,8.1,2012,,
Maricopa County,Arizona,4,13,3114615,3841819,11.0,44938,944,75.9,0.4559,71329,54385,27552,193900,192883,10.3,2012,,
Mohave County,Arizona,4,15,179349,201216,23.0,1708,822,81.2,0.4307,3062,39383,20725,144700,2019,7.1,2012,,
Navajo County,Arizona,4,17,52280,107415,12.7,627,667,73.5,0.4617,45544,37683,16884,122000,916,10.0,2012,,
Pima County,Arizona,4,19,778258,981048,14.2,11178,782,79.1,0.4653,31265,46443,25525,177500,35850,11.3,2012,,
Pinal County,Arizona,4,21,284721,368374,13.3,2308,945,77.1,0.3987,19809,50164,20901,123300,16664,8.7,2012,,
Santa Cruz County,Arizona,4,23,34441,47057,12.6,290,662,70.8,0.4713,134,37692,17116,145700,262,9.2,2012,,
Yavapai County,Arizona,4,25,193691,211280,23.4,2400,832,82.5,0.461,4176,43652,26335,199200,1182,7.8,2012,,
La Paz County,Arizona,4,12,14643,20460,34.8,159,579,85.3,0.4178,2621,35093,21854,96300,181,5.5,2012,,
Yuma County,Arizona,4,27,149922,196420,15.4,1801,808,75.2,0.4211,2705,41156,18467,125300,4084,12.4,2012,,
Arkansas County,Arkansas,5,1,13791,19029,14.9,260,597,77.8,0.4681,27,39883,23570,76700,4656,8.2,2012,,
Ashley County,Arkansas,5,3,15143,21811,15.0,33,521,77.7,0.4505,49,38069,20300,63600,5613,7.8,2012,,
Baxter County,Arkansas,5,5,40189,41387,27.7,256,608,82.9,0.442,231,35209,21409,119700,123,6.0,2012,,
Benton County,Arkansas,5,7,191672,222028,11.1,2205,748,73.8,0.4368,3325,53515,26199,150700,2557,8.6,2012,,
Boone County,Arkansas,5,9,35767,37032,16.6,229,559,78.5,0.4584,240,38364,22333,105300,114,7.9,2012,,
Bradley County,Arkansas,5,11,7005,11510,15.1,58,533,77.4,0.4698,118,32321,19429,63900,3193,9.3,2012,,
Calhoun County,Arkansas,5,13,3972,5373,14.7,46,590,82.5,0.4133,0,31425,17478,57600,1307,11.2,2012,,
Carroll County,Arkansas,5,15,25062,27321,17.6,161,592,80.2,0.4364,227,35558,19964,117200,46,8.1,2012,,
Chicot County,Arkansas,5,17,4875,11759,15.3,180,516,78.8,0.4877,6,25188,15975,55600,6404,9.5,2012,,
Clark County,Arkansas,5,19,16982,23050,13.2,294,573,81.9,0.4838,85,32393,18322,86700,5494,22.8,2012,,
Clay County,Arkansas,5,21,15623,15981,17.4,184,454,79.8,0.433,52,32695,18943,61200,38,8.2,2012,,
Cleburne County,Arkansas,5,23,25198,25849,22.5,197,627,82.8,0.4555,82,39410,22576,118800,102,7.4,2012,,
Cleveland County,Arkansas,5,25,7469,8685,15.1,34,617,76.9,0.4493,0,38060,20093,67800,1043,8.2,2012,,
Columbia County,Arkansas,5,27,14864,24644,13.5,186,542,79.0,0.4583,48,34895,18999,78200,9072,16.3,2012,,
Conway County,Arkansas,5,29,18103,21203,15.4,153,564,79.6,0.4768,153,32625,19833,84500,2490,8.8,2012,,
Craighead County,Arkansas,5,31,80792,96709,10.3,1087,638,76.6,0.4835,318,41054,22806,116500,12750,13.1,2012,,
Crawford County,Arkansas,5,33,56227,61670,12.2,532,590,75.7,0.4099,811,39981,18737,101100,859,8.7,2012,,
Crittenden County,Arkansas,5,35,23299,50618,9.2,795,679,71.9,0.4596,35,36521,19548,100200,25831,9.3,2012,,
Cross County,Arkansas,5,37,13350,17891,13.8,86,643,77.1,0.4241,47,39665,19282,75900,4123,8.0,2012,,
Dallas County,Arkansas,5,39,4504,8122,15.1,162,436,74.5,0.4748,6,30309,17056,54500,3495,6.9,2012,,
Desha County,Arkansas,5,41,6203,12922,14.1,149,531,76.3,0.5046,37,29504,19107,59300,6201,6.5,2012,,
Drew County,Arkansas,5,43,12943,18615,13.4,219,599,78.9,0.4603,12,32087,17790,80700,5271,13.9,2012,,
Faulkner County,Arkansas,5,45,97018,113730,8.9,1161,704,76.8,0.4309,499,49008,23763,135300,11872,15.3,2012,,
Franklin County,Arkansas,5,47,17262,18110,15.2,81,578,78.7,0.4375,126,35918,18694,92500,156,9.5,2012,,
Fulton County,Arkansas,5,49,11946,12301,22.5,66,491,80.8,0.4103,41,35059,18243,89700,36,6.6,2012,,
Garland County,Arkansas,5,51,82114,96249,18.9,1137,711,80.6,0.4672,599,38680,23249,131500,8043,8.1,2012,,
Grant County,Arkansas,5,53,17058,17852,13.2,31,658,77.4,0.3863,43,49063,22190,100200,364,8.1,2012,,
Greene County,Arkansas,5,55,40966,42224,12.4,329,613,76.7,0.4293,170,38481,19415,95200,279,9.4,2012,,
Hempstead County,Arkansas,5,57,14623,22548,13.5,138,562,75.1,0.4489,40,31193,17493,71800,6811,8.6,2012,,
Hot Spring County,Arkansas,5,59,28582,33011,13.9,326,603,79.5,0.3924,120,39652,18344,81600,3602,8.8,2012,,
Howard County,Arkansas,5,61,9609,13790,13.5,204,524,75.5,0.4562,152,35236,18531,72900,2943,8.6,2012,,
Independence County,Arkansas,5,63,34681,36572,13.4,321,584,77.0,0.4734,237,34374,19863,85900,996,8.9,2012,,
Izard County,Arkansas,5,65,13053,13614,21.5,110,520,83.0,0.4266,24,31011,17422,75800,163,7.3,2012,,
Jackson County,Arkansas,5,67,14355,17885,13.8,124,529,81.4,0.4563,77,31692,16095,57600,2945,9.0,2012,,
Jefferson County,Arkansas,5,69,32332,76836,11.5,623,651,77.7,0.4649,101,37561,19300,81100,42307,11.0,2012,,
Johnson County,Arkansas,5,71,24127,25554,13.2,378,581,77.7,0.4924,174,32198,19422,85000,413,11.0,2012,,
Lafayette County,Arkansas,5,73,4683,7618,18.3,59,484,79.0,0.4774,11,28633,16865,51600,2846,9.8,2012,,
Lawrence County,Arkansas,5,75,16894,17314,16.0,101,532,78.6,0.4081,32,32205,15243,57400,114,9.7,2012,,
Lee County,Arkansas,5,77,4408,10430,12.2,117,536,83.4,0.4493,34,26098,12475,52100,5888,11.9,2012,,
Lincoln County,Arkansas,5,79,9410,14167,8.9,81,578,85.3,0.4876,27,34107,15161,64100,4182,12.6,2012,,
Little River County,Arkansas,5,81,9722,13068,15.5,72,485,77.5,0.4026,70,39042,20081,78600,2863,8.1,2012,,
Logan County,Arkansas,5,83,20969,22352,16.0,143,504,78.0,0.4308,234,37237,19587,82400,308,8.2,2012,,
Lonoke County,Arkansas,5,85,61297,68274,9.9,510,681,74.0,0.3874,478,51499,22791,119100,4248,8.4,2012,,
Madison County,Arkansas,5,87,14975,15674,14.1,36,569,80.1,0.4503,80,33481,17718,95000,27,8.6,2012,,
Marion County,Arkansas,5,89,16183,16712,23.7,83,557,84.8,0.4196,72,33497,18935,91600,39,6.7,2012,,
Miller County,Arkansas,5,91,31577,43449,12.0,305,678,77.0,0.4252,158,40314,19908,89400,10581,9.7,2012,,
Mississippi County,Arkansas,5,93,29435,46388,10.6,535,596,74.6,0.4656,78,35651,18912,75600,15855,9.7,2012,,
Monroe County,Arkansas,5,95,4612,8145,16.6,109,506,80.2,0.4762,30,28075,17368,52500,3422,9.0,2012,,
Montgomery County,Arkansas,5,97,8996,9453,21.4,48,486,81.5,0.4733,129,33240,19298,75500,47,7.6,2012,,
Nevada County,Arkansas,5,99,6034,9003,16.2,93,585,76.7,0.4736,33,35578,19786,64700,2857,6.8,2012,,
Newton County,Arkansas,5,101,7862,8286,18.7,50,365,78.9,0.4736,64,27790,17469,74900,38,7.3,2012,,
Ouachita County,Arkansas,5,103,14835,25894,14.8,180,524,78.0,0.4447,61,32032,19417,68600,10423,8.5,2012,,
Perry County,Arkansas,5,105,9893,10413,16.2,50,599,80.8,0.4439,58,42738,22045,78400,237,8.2,2012,,
Phillips County,Arkansas,5,107,7776,21646,13.1,222,585,73.0,0.4849,16,27219,16455,59200,13587,9.3,2012,,
Pike County,Arkansas,5,109,10126,11261,15.1,107,480,76.9,0.4401,96,32087,18316,74200,397,9.0,2012,,
Poinsett County,Arkansas,5,111,22270,24506,14.5,274,497,77.4,0.4518,49,31743,16880,67200,1782,9.0,2012,,
Polk County,Arkansas,5,113,19127,20535,18.3,177,527,77.7,0.4608,364,33479,19192,84100,19,7.1,2012,,
Pope County,Arkansas,5,115,55942,61853,11.3,396,620,78.5,0.4263,505,40948,19779,107700,2098,15.2,2012,,
Prairie County,Arkansas,5,117,7455,8659,18.3,85,502,79.7,0.4188,0,35806,18312,74900,1119,6.8,2012,,
Pulaski County,Arkansas,5,119,227501,383185,10.3,4813,757,77.4,0.4863,1116,46102,27744,140600,134065,9.9,2012,,
Randolph County,Arkansas,5,121,17475,17992,16.2,93,503,79.1,0.4599,30,32539,18533,68100,54,8.8,2012,,
Saint Francis County,Arkansas,5,123,12627,28089,9.8,363,568,80.9,0.4728,62,30104,15308,67800,14580,8.5,2012,,
Saline County,Arkansas,5,125,98384,107498,14.3,732,769,77.4,0.3889,602,53817,25843,137700,5011,7.7,2012,,
Scott County,Arkansas,5,127,10037,11170,16.4,94,550,75.8,0.4397,158,38130,18766,79100,22,9.6,2012,,
Searcy County,Arkansas,5,129,7858,8146,19.3,35,394,80.6,0.4084,69,30301,15508,85200,26,6.9,2012,,
Sebastian County,Arkansas,5,131,104479,125795,11.2,1640,609,76.6,0.4779,1144,40247,22613,113100,7356,9.9,2012,,
Sevier County,Arkansas,5,133,11668,16978,10.9,136,509,72.1,0.4156,320,32081,15888,70000,749,9.1,2012,,
Sharp County,Arkansas,5,135,16633,17278,22.6,103,587,80.7,0.3976,115,30240,15883,75700,50,6.8,2012,,
Stone County,Arkansas,5,137,12119,12480,21.2,71,489,81.8,0.4366,17,32834,18361,90400,9,6.7,2012,,
Union County,Arkansas,5,139,26841,41594,13.4,245,606,77.6,0.4665,128,39349,21208,74200,13703,8.6,2012,,
Van Buren County,Arkansas,5,141,16554,17223,21.8,93,562,81.4,0.4401,163,33900,19108,83500,173,7.1,2012,,
Washington County,Arkansas,5,143,163956,204057,8.4,2918,676,76.5,0.4786,2239,41429,23211,150000,6970,14.9,2012,,
White County,Arkansas,5,145,70618,77007,12.6,658,597,78.3,0.4553,186,41410,21597,98600,3246,12.8,2012,,
Woodruff County,Arkansas,5,147,5034,7262,15.5,81,401,78.8,0.5209,13,28061,18897,58600,2086,8.8,2012,,
Yell County,Arkansas,5,149,18553,22033,13.3,195,543,75.9,0.4197,37,38245,17447,84300,273,8.6,2012,,
Alameda County,California,6,1,695847,1515136,9.8,21987,1265,79.2,0.4634,8456,71516,35434,514900,185614,10.2,2012,,
Alpine County,California,6,3,852,1197,11.4,5,755,80.3,0.4279,236,59931,27135,371300,0,8.4,2012,,
Amador County,California,6,5,33302,37764,18.5,293,1039,87.6,0.4384,778,53462,26969,286500,985,7.5,2012,,
Butte County,California,6,7,184653,220101,13.7,3045,885,81.4,0.4538,2276,43339,23556,237400,3206,15.8,2012,,
Calaveras County,California,6,9,41343,45507,21.1,396,1043,82.9,0.4284,438,54686,28892,276200,476,7.1,2012,,
Colusa County,California,6,11,15448,21329,11.3,224,904,72.8,0.4131,259,52165,21601,210300,177,10.0,2012,,
Contra Costa County,California,6,13,670524,1052047,11.2,10863,1340,77.2,0.4564,4656,78187,38106,433800,96210,8.9,2012,,
Del Norte County,California,6,15,21248,28496,12.4,316,865,83.1,0.4618,1545,39626,20197,227700,1085,10.5,2012,,
El Dorado County,California,6,17,157401,180441,14.0,1754,1109,80.1,0.4248,1790,70117,34571,378400,1354,8.1,2012,,
