County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
LaSalle County,Illinois,17,99,,,25.2,1098.0,756.0,36.0,0.4307,266.0,56243.0,29093.0,126000.0,2787.0,21.8,2018,102932.0,110401.0
Lawrence County,Illinois,17,101,,,23.2,192.0,621.0,40.0,0.403,39.0,45654.0,22099.0,73800.0,1445.0,19.4,2018,14092.0,16189.0
Lee County,Illinois,17,103,,,25.5,155.0,696.0,35.9,0.4344,92.0,57901.0,29249.0,117600.0,1769.0,19.9,2018,31228.0,34527.0
Livingston County,Illinois,17,105,,,25.4,194.0,690.0,35.9,0.4291,3.0,56200.0,28236.0,109700.0,1454.0,21.6,2018,33736.0,36324.0
Logan County,Illinois,17,107,,,24.2,174.0,680.0,40.0,0.4073,44.0,57899.0,27187.0,102900.0,1849.0,19.3,2018,25806.0,29207.0
McDonough County,Illinois,17,109,,,22.7,160.0,628.0,47.6,0.4652,57.0,43724.0,23299.0,94200.0,1458.0,16.7,2018,27867.0,30875.0
McHenry County,Illinois,17,111,,,19.7,2007.0,1175.0,37.2,0.4062,298.0,84803.0,38047.0,219600.0,4473.0,24.2,2018,284366.0,307789.0
McLean County,Illinois,17,113,,,17.8,1244.0,830.0,46.4,0.4645,296.0,65813.0,33665.0,166700.0,14618.0,21.8,2018,143774.0,173219.0
Macon County,Illinois,17,115,,,26.2,1125.0,676.0,36.0,0.4646,293.0,50444.0,28925.0,96800.0,15291.0,22.3,2018,83045.0,106512.0
Macoupin County,Illinois,17,117,,,26.9,364.0,681.0,34.6,0.4213,82.0,53778.0,28050.0,99600.0,422.0,21.4,2018,44291.0,45719.0
Madison County,Illinois,17,119,,,23.2,2584.0,815.0,37.8,0.4396,536.0,57890.0,30802.0,132300.0,22659.0,22.0,2018,232485.0,265670.0
Marion County,Illinois,17,121,,,26.0,382.0,619.0,34.6,0.4296,86.0,46102.0,24727.0,74900.0,1330.0,22.9,2018,35266.0,38084.0
Marshall County,Illinois,17,123,,,30.4,47.0,652.0,31.8,0.4158,18.0,55901.0,29827.0,104800.0,49.0,20.1,2018,11471.0,11794.0
Mason County,Illinois,17,125,,,28.1,100.0,636.0,32.9,0.4354,14.0,45596.0,27111.0,79600.0,130.0,20.7,2018,13386.0,13778.0
Massac County,Illinois,17,127,,,28.4,218.0,640.0,33.0,0.4359,7.0,42604.0,23768.0,83700.0,901.0,22.2,2018,13127.0,14430.0
Menard County,Illinois,17,129,,,25.9,59.0,749.0,33.4,0.4011,16.0,69102.0,34495.0,137400.0,58.0,22.1,2018,12017.0,12367.0
Mercer County,Illinois,17,131,,,27.5,94.0,648.0,32.8,0.3958,16.0,58011.0,28995.0,106000.0,92.0,21.6,2018,15215.0,15693.0
Monroe County,Illinois,17,133,,,23.2,88.0,843.0,34.6,0.4289,17.0,81268.0,39988.0,209100.0,76.0,22.6,2018,33170.0,33936.0
Montgomery County,Illinois,17,135,,,26.1,153.0,619.0,35.8,0.4325,45.0,50304.0,24816.0,82200.0,1458.0,19.8,2018,27074.0,29009.0
Morgan County,Illinois,17,137,,,26.1,330.0,686.0,38.5,0.4355,73.0,48508.0,26295.0,104800.0,2369.0,19.1,2018,31072.0,34426.0
Moultrie County,Illinois,17,139,,,24.7,121.0,699.0,34.9,0.3951,40.0,59623.0,28391.0,109000.0,78.0,25.3,2018,14410.0,14703.0
Ogle County,Illinois,17,141,,,24.4,460.0,743.0,35.0,0.4099,178.0,59707.0,30595.0,143100.0,501.0,22.8,2018,48328.0,51328.0
Peoria County,Illinois,17,143,,,22.4,1917.0,778.0,38.9,0.4756,522.0,54770.0,30753.0,129900.0,32473.0,23.8,2018,134449.0,184463.0
Perry County,Illinois,17,145,,,24.6,126.0,522.0,39.0,0.4686,22.0,48298.0,24511.0,85400.0,1918.0,19.1,2018,18870.0,21384.0
Piatt County,Illinois,17,147,,,25.2,88.0,816.0,34.0,0.3953,10.0,69271.0,33967.0,130300.0,90.0,22.5,2018,15955.0,16427.0
Pike County,Illinois,17,149,,,26.7,167.0,566.0,33.8,0.4355,43.0,42664.0,24162.0,78800.0,243.0,22.5,2018,15249.0,15754.0
Pope County,Illinois,17,151,,,40.4,10.0,371.0,24.5,0.3977,10.0,40671.0,22343.0,87200.0,223.0,14.3,2018,3910.0,4249.0
Pulaski County,Illinois,17,153,,,28.8,37.0,501.0,32.7,0.4624,7.0,33799.0,20317.0,63600.0,1685.0,21.5,2018,3674.0,5611.0
Putnam County,Illinois,17,155,,,30.5,32.0,684.0,31.4,0.4115,0.0,65034.0,34144.0,124500.0,34.0,19.8,2018,5572.0,5746.0
Randolph County,Illinois,17,157,,,25.3,273.0,663.0,37.9,0.43,47.0,52107.0,25340.0,104700.0,3311.0,19.4,2018,28300.0,32546.0
Richland County,Illinois,17,159,,,25.8,110.0,565.0,34.0,0.4361,52.0,48724.0,26038.0,87700.0,141.0,22.7,2018,15311.0,15881.0
Rock Island County,Illinois,17,161,,,25.0,1542.0,733.0,36.8,0.4353,474.0,52630.0,28595.0,117000.0,14645.0,22.4,2018,117544.0,145275.0
Saint Clair County,Illinois,17,163,,,21.5,3038.0,844.0,38.5,0.4706,444.0,53681.0,29541.0,124700.0,79351.0,23.7,2018,168903.0,263463.0
Saline County,Illinois,17,165,,,27.0,238.0,629.0,35.1,0.4732,40.0,41167.0,23690.0,73100.0,683.0,21.7,2018,22485.0,24231.0
Sangamon County,Illinois,17,167,,,23.4,1731.0,799.0,37.3,0.4627,230.0,60466.0,34548.0,138100.0,25260.0,22.6,2018,161828.0,197661.0
Schuyler County,Illinois,17,169,,,28.2,68.0,641.0,33.6,0.3868,7.0,46151.0,23068.0,85900.0,518.0,19.0,2018,6429.0,7064.0
Scott County,Illinois,17,171,,,25.9,12.0,543.0,33.1,0.4337,15.0,53973.0,27218.0,85000.0,8.0,22.4,2018,4956.0,5047.0
Shelby County,Illinois,17,173,,,28.9,244.0,604.0,33.0,0.3856,19.0,51157.0,25320.0,90100.0,203.0,21.4,2018,21459.0,21832.0
Stark County,Illinois,17,175,,,28.4,19.0,596.0,32.5,0.4734,0.0,52260.0,30225.0,85400.0,38.0,21.8,2018,5353.0,5500.0
Stephenson County,Illinois,17,177,,,29.5,698.0,639.0,32.1,0.4446,52.0,48016.0,27453.0,97000.0,4469.0,21.6,2018,39059.0,45433.0
Tazewell County,Illinois,17,179,,,24.6,996.0,731.0,36.3,0.4247,211.0,62342.0,33077.0,139700.0,1747.0,22.9,2018,128237.0,133852.0
Union County,Illinois,17,181,,,26.8,58.0,570.0,34.2,0.4472,19.0,49182.0,25416.0,101500.0,237.0,20.9,2018,16114.0,17127.0
Vermilion County,Illinois,17,183,,,24.7,675.0,684.0,35.5,0.4467,211.0,45384.0,24272.0,78900.0,10975.0,23.8,2018,64497.0,78407.0
Wabash County,Illinois,17,185,,,27.1,88.0,634.0,33.4,0.4286,14.0,51432.0,26850.0,80500.0,93.0,22.2,2018,11133.0,11573.0
Warren County,Illinois,17,187,,,24.0,90.0,633.0,38.6,0.4346,40.0,49607.0,26082.0,84300.0,453.0,22.4,2018,15267.0,17338.0
Washington County,Illinois,17,189,,,26.1,65.0,680.0,33.8,0.422,18.0,59469.0,32394.0,109400.0,117.0,21.6,2018,13683.0,14155.0
Wayne County,Illinois,17,191,,,27.8,201.0,625.0,33.3,0.4151,38.0,49764.0,26362.0,82000.0,290.0,22.7,2018,15938.0,16487.0
White County,Illinois,17,193,,,28.0,85.0,551.0,32.8,0.4198,11.0,47773.0,25859.0,69700.0,101.0,22.0,2018,13729.0,14025.0
Whiteside County,Illinois,17,195,,,27.3,405.0,679.0,34.0,0.4306,76.0,53828.0,29167.0,103400.0,986.0,22.4,2018,52677.0,56396.0
Will County,Illinois,17,197,,,17.7,3884.0,1167.0,39.7,0.4111,1892.0,83504.0,35259.0,224800.0,77224.0,25.7,2018,505669.0,688697.0
Williamson County,Illinois,17,199,,,24.7,604.0,721.0,36.7,0.4456,164.0,49053.0,26756.0,111800.0,2843.0,21.9,2018,61474.0,67299.0
Winnebago County,Illinois,17,201,,,23.3,3114.0,777.0,36.9,0.4501,846.0,52743.0,28250.0,117000.0,36833.0,23.6,2018,226087.0,286174.0
Woodford County,Illinois,17,203,,,23.9,170.0,768.0,35.3,0.422,14.0,71867.0,35104.0,162700.0,250.0,24.7,2018,37567.0,38817.0
Adams County,Indiana,18,1,,,20.9,141.0,607.0,35.6,0.4149,23.0,51713.0,22514.0,122400.0,392.0,31.3,2018,34060.0,35195.0
Allen County,Indiana,18,3,,,19.8,3803.0,744.0,39.6,0.4521,692.0,53402.0,28239.0,123800.0,42187.0,26.0,2018,293212.0,370016.0
Bartholomew County,Indiana,18,5,,,21.2,648.0,898.0,39.1,0.4319,173.0,59045.0,30515.0,143800.0,1625.0,24.0,2018,69835.0,81893.0
Benton County,Indiana,18,7,,,23.4,97.0,689.0,34.9,0.3892,1.0,46188.0,23322.0,87900.0,49.0,25.0,2018,8457.0,8667.0
Blackford County,Indiana,18,9,,,27.4,74.0,623.0,33.1,0.439,40.0,42217.0,24663.0,71300.0,17.0,21.3,2018,11803.0,12129.0
Boone County,Indiana,18,11,,,18.4,460.0,985.0,37.2,0.4771,75.0,80567.0,44712.0,222500.0,1024.0,26.8,2018,59975.0,64321.0
Brown County,Indiana,18,13,,,32.1,91.0,860.0,30.0,0.4596,0.0,61455.0,33617.0,186000.0,157.0,18.3,2018,14556.0,15034.0
Carroll County,Indiana,18,15,,,26.2,120.0,678.0,34.6,0.4056,56.0,56429.0,28430.0,131600.0,89.0,22.7,2018,19154.0,19994.0
Cass County,Indiana,18,17,,,23.5,255.0,654.0,36.6,0.4185,187.0,47545.0,23918.0,85500.0,463.0,23.4,2018,31935.0,38084.0
Clark County,Indiana,18,19,,,21.7,1187.0,813.0,39.3,0.4191,117.0,54240.0,28525.0,137800.0,7981.0,22.9,2018,101426.0,115702.0
Clay County,Indiana,18,21,,,24.6,149.0,678.0,36.1,0.3865,25.0,53021.0,25290.0,102000.0,202.0,23.1,2018,25360.0,26268.0
Clinton County,Indiana,18,23,,,22.8,300.0,707.0,36.4,0.3888,91.0,52488.0,24276.0,104000.0,355.0,26.2,2018,30202.0,32301.0
Crawford County,Indiana,18,25,,,26.6,39.0,653.0,33.7,0.4118,51.0,43875.0,21021.0,89700.0,33.0,22.2,2018,10296.0,10581.0
Daviess County,Indiana,18,27,,,20.4,185.0,677.0,36.6,0.4137,10.0,51032.0,22548.0,121500.0,577.0,29.3,2018,31356.0,32937.0
Dearborn County,Indiana,18,29,,,23.6,311.0,737.0,35.3,0.4104,151.0,65096.0,29891.0,165400.0,433.0,22.8,2018,48080.0,49501.0
Decatur County,Indiana,18,31,,,22.4,260.0,796.0,36.9,0.4022,112.0,54622.0,26515.0,124700.0,167.0,24.5,2018,25609.0,26552.0
DeKalb County,Indiana,18,33,,,21.9,212.0,686.0,36.6,0.4132,35.0,53808.0,27036.0,118100.0,114.0,24.6,2018,41541.0,42704.0
Delaware County,Indiana,18,35,,,22.4,1075.0,714.0,44.5,0.4746,98.0,42705.0,24234.0,90900.0,8440.0,18.7,2018,102188.0,115616.0
Dubois County,Indiana,18,37,,,24.1,356.0,661.0,35.3,0.4216,113.0,58994.0,28932.0,149500.0,189.0,24.7,2018,40206.0,42418.0
Elkhart County,Indiana,18,39,,,19.5,1508.0,777.0,38.5,0.4183,440.0,55399.0,25075.0,137900.0,10720.0,27.8,2018,178022.0,203604.0
Fayette County,Indiana,18,41,,,26.8,328.0,696.0,35.0,0.4309,0.0,43317.0,23627.0,82400.0,588.0,22.2,2018,22408.0,23259.0
Floyd County,Indiana,18,43,,,22.0,648.0,786.0,37.7,0.4452,290.0,61754.0,32299.0,165700.0,4122.0,23.0,2018,69224.0,76809.0
Fountain County,Indiana,18,45,,,26.3,185.0,656.0,34.6,0.4429,27.0,49887.0,26721.0,94900.0,60.0,22.2,2018,16079.0,16486.0
Franklin County,Indiana,18,47,,,24.1,176.0,741.0,34.8,0.4089,3.0,58382.0,27557.0,151900.0,25.0,23.7,2018,22717.0,22842.0
Fulton County,Indiana,18,49,,,26.0,179.0,653.0,34.5,0.4182,93.0,49333.0,25106.0,97200.0,204.0,23.5,2018,18947.0,20212.0
Gibson County,Indiana,18,51,,,23.1,275.0,670.0,36.2,0.4148,18.0,52620.0,27137.0,110300.0,660.0,23.4,2018,31952.0,33596.0
Grant County,Indiana,18,53,,,25.3,742.0,682.0,37.9,0.414,119.0,42593.0,21739.0,89500.0,5072.0,20.8,2018,59055.0,66944.0
Greene County,Indiana,18,55,,,26.3,293.0,617.0,34.4,0.3986,13.0,49177.0,24309.0,95600.0,125.0,22.1,2018,31579.0,32295.0
Hamilton County,Indiana,18,57,,,16.4,2430.0,1152.0,39.4,0.4378,386.0,94644.0,46597.0,249400.0,11845.0,27.8,2018,275246.0,316095.0
Hancock County,Indiana,18,59,,,21.6,355.0,887.0,37.2,0.3752,80.0,73142.0,32730.0,165200.0,1549.0,23.6,2018,70053.0,73830.0
Harrison County,Indiana,18,61,,,24.4,115.0,710.0,35.2,0.4131,110.0,57132.0,27211.0,143500.0,319.0,22.5,2018,38347.0,39712.0
Hendricks County,Indiana,18,63,,,18.8,1086.0,1051.0,39.7,0.3853,284.0,78355.0,34689.0,179600.0,10623.0,25.6,2018,141209.0,160940.0
Henry County,Indiana,18,65,,,25.1,477.0,710.0,37.0,0.4234,133.0,48235.0,23851.0,96200.0,1189.0,20.7,2018,45945.0,48483.0
Howard County,Indiana,18,67,,,25.6,791.0,699.0,35.3,0.4345,447.0,50869.0,27297.0,106300.0,5968.0,22.7,2018,72036.0,82387.0
Huntington County,Indiana,18,69,,,23.0,474.0,693.0,37.4,0.3827,148.0,52208.0,25386.0,105000.0,357.0,21.8,2018,34924.0,36378.0
Jackson County,Indiana,18,71,,,21.8,227.0,741.0,37.6,0.4203,157.0,49506.0,24522.0,116700.0,471.0,24.6,2018,40171.0,43938.0
Jasper County,Indiana,18,73,,,23.5,179.0,771.0,36.9,0.3775,30.0,59574.0,26415.0,158300.0,254.0,23.9,2018,31547.0,33449.0
Jay County,Indiana,18,75,,,24.1,222.0,643.0,34.9,0.4218,13.0,44772.0,22470.0,85400.0,90.0,25.9,2018,20417.0,20993.0
Jefferson County,Indiana,18,77,,,23.1,236.0,741.0,38.4,0.4321,98.0,51119.0,26060.0,123700.0,704.0,20.8,2018,30728.0,32237.0
Jennings County,Indiana,18,79,,,22.7,130.0,742.0,36.4,0.3877,97.0,49801.0,23490.0,103900.0,314.0,23.5,2018,26917.0,27727.0
Johnson County,Indiana,18,81,,,20.1,1339.0,927.0,39.6,0.4135,239.0,68712.0,32475.0,158200.0,3743.0,25.1,2018,139101.0,151564.0
Knox County,Indiana,18,83,,,23.4,313.0,651.0,39.4,0.4347,36.0,46457.0,24581.0,88700.0,1082.0,21.6,2018,35235.0,37409.0
Kosciusko County,Indiana,18,85,,,22.2,606.0,778.0,37.8,0.4112,272.0,58402.0,28740.0,146000.0,553.0,24.3,2018,73999.0,78806.0
LaGrange County,Indiana,18,87,,,19.5,105.0,726.0,37.4,0.4023,19.0,60675.0,23626.0,179200.0,31.0,32.9,2018,38112.0,38942.0
Lake County,Indiana,18,89,,,22.2,4234.0,873.0,38.0,0.4473,1279.0,54249.0,27660.0,143500.0,116708.0,23.9,2018,299802.0,486849.0
LaPorte County,Indiana,18,91,,,23.6,792.0,738.0,37.6,0.4395,349.0,51101.0,25865.0,127700.0,12278.0,21.7,2018,91514.0,110552.0
Lawrence County,Indiana,18,93,,,26.1,417.0,684.0,34.6,0.4067,263.0,52092.0,25590.0,115700.0,163.0,22.2,2018,44038.0,45619.0
Madison County,Indiana,18,95,,,24.1,1313.0,772.0,37.5,0.4313,295.0,47436.0,24625.0,93700.0,10183.0,21.9,2018,113768.0,129505.0
Marion County,Indiana,18,97,,,17.6,14471.0,862.0,42.8,0.4804,2447.0,46692.0,27251.0,129200.0,261724.0,24.8,2018,588161.0,944523.0
Marshall County,Indiana,18,99,,,23.8,190.0,706.0,35.9,0.4281,69.0,54229.0,25537.0,134500.0,443.0,25.2,2018,43323.0,46595.0
Martin County,Indiana,18,101,,,25.0,67.0,559.0,34.8,0.4123,34.0,51224.0,25676.0,111100.0,80.0,22.5,2018,10017.0,10210.0
Miami County,Indiana,18,103,,,22.5,381.0,712.0,38.9,0.4072,267.0,47460.0,22871.0,87200.0,1864.0,21.5,2018,32567.0,35901.0
Monroe County,Indiana,18,105,,,17.2,1817.0,893.0,54.5,0.4998,344.0,47075.0,27461.0,167900.0,4362.0,15.8,2018,125310.0,145403.0
Montgomery County,Indiana,18,107,,,23.8,407.0,670.0,36.2,0.3897,75.0,53610.0,26184.0,120500.0,303.0,22.8,2018,36645.0,38276.0
Morgan County,Indiana,18,109,,,22.8,481.0,809.0,35.5,0.3873,46.0,62462.0,28633.0,154300.0,212.0,23.1,2018,67980.0,69727.0
Newton County,Indiana,18,111,,,25.7,76.0,687.0,35.3,0.3766,14.0,53146.0,25366.0,115300.0,37.0,21.7,2018,13576.0,14018.0
Noble County,Indiana,18,113,,,21.7,377.0,709.0,37.0,0.4026,21.0,55033.0,26063.0,118100.0,243.0,25.3,2018,45932.0,47451.0
Ohio County,Indiana,18,115,,,27.5,5.0,771.0,31.7,0.3683,5.0,61148.0,29368.0,148100.0,68.0,19.2,2018,5725.0,5887.0
Orange County,Indiana,18,117,,,24.9,168.0,613.0,34.5,0.4297,22.0,45341.0,23317.0,92200.0,260.0,23.2,2018,18842.0,19547.0
Owen County,Indiana,18,119,,,26.1,120.0,691.0,32.8,0.3936,50.0,48667.0,24129.0,113500.0,159.0,21.4,2018,20258.0,20878.0
Parke County,Indiana,18,121,,,25.5,72.0,588.0,35.8,0.4321,33.0,48788.0,23052.0,91300.0,67.0,21.6,2018,16216.0,16996.0
Perry County,Indiana,18,123,,,25.2,68.0,564.0,36.6,0.4086,34.0,51064.0,24540.0,108800.0,577.0,21.5,2018,18131.0,19141.0
Pike County,Indiana,18,125,,,27.0,50.0,575.0,33.2,0.3817,0.0,52527.0,26584.0,96700.0,125.0,22.6,2018,12025.0,12411.0
Porter County,Indiana,18,127,,,22.2,952.0,922.0,38.8,0.4274,287.0,68044.0,32943.0,178100.0,6134.0,22.5,2018,153164.0,168041.0
Posey County,Indiana,18,129,,,24.4,55.0,708.0,35.0,0.4065,7.0,62583.0,30572.0,141000.0,504.0,22.2,2018,24637.0,25589.0
Pulaski County,Indiana,18,131,,,26.2,102.0,690.0,34.6,0.3966,26.0,48370.0,24695.0,98700.0,61.0,22.9,2018,12085.0,12660.0
Putnam County,Indiana,18,133,,,21.9,234.0,784.0,41.5,0.3973,56.0,56169.0,24627.0,121300.0,1020.0,19.3,2018,35020.0,37559.0
Randolph County,Indiana,18,135,,,26.4,226.0,645.0,34.4,0.4096,45.0,45601.0,23539.0,79600.0,170.0,23.3,2018,24059.0,25076.0
Ripley County,Indiana,18,137,,,23.1,167.0,691.0,35.7,0.4111,116.0,56295.0,27423.0,149800.0,144.0,23.8,2018,27593.0,28425.0
Rush County,Indiana,18,139,,,24.0,157.0,708.0,35.4,0.4305,0.0,50535.0,24900.0,104300.0,264.0,22.7,2018,16223.0,16704.0
Saint Joseph County,Indiana,18,141,,,21.7,2391.0,767.0,40.1,0.4691,1255.0,50938.0,27338.0,123900.0,34965.0,23.8,2018,211730.0,269240.0
Scott County,Indiana,18,143,,,22.5,320.0,783.0,36.7,0.4046,66.0,47123.0,22688.0,99600.0,60.0,23.0,2018,23149.0,23743.0
Shelby County,Indiana,18,145,,,23.1,509.0,783.0,35.9,0.3978,57.0,59214.0,28491.0,130100.0,481.0,22.9,2018,41895.0,44399.0
Spencer County,Indiana,18,147,,,25.9,115.0,706.0,33.7,0.4218,46.0,56998.0,29999.0,121000.0,149.0,22.3,2018,19870.0,20526.0
Starke County,Indiana,18,149,,,25.2,167.0,685.0,35.3,0.4155,49.0,48895.0,23282.0,108000.0,84.0,23.5,2018,22196.0,22941.0
Steuben County,Indiana,18,151,,,26.4,436.0,766.0,35.3,0.3964,35.0,56101.0,28429.0,140600.0,93.0,20.8,2018,33484.0,34474.0
Sullivan County,Indiana,18,153,,,22.0,242.0,693.0,38.7,0.4359,11.0,46517.0,22976.0,85500.0,826.0,20.1,2018,19382.0,20792.0
Switzerland County,Indiana,18,155,,,24.6,54.0,769.0,34.6,0.4274,0.0,47929.0,23347.0,110800.0,99.0,25.2,2018,10277.0,10628.0
Tippecanoe County,Indiana,18,157,,,15.6,2762.0,837.0,52.3,0.4688,430.0,51844.0,26262.0,148800.0,9645.0,20.6,2018,155740.0,189294.0
Tipton County,Indiana,18,159,,,26.4,178.0,744.0,34.0,0.4109,1.0,55479.0,30026.0,106200.0,25.0,20.6,2018,14641.0,15218.0
Union County,Indiana,18,161,,,25.8,103.0,815.0,34.3,0.3792,0.0,48227.0,24040.0,112100.0,5.0,21.8,2018,6966.0,7153.0
Vanderburgh County,Indiana,18,163,,,22.9,2291.0,770.0,39.5,0.4751,206.0,46943.0,28320.0,126400.0,17062.0,21.7,2018,154849.0,181313.0
Vermillion County,Indiana,18,165,,,27.0,116.0,653.0,34.6,0.4169,48.0,48377.0,25143.0,77400.0,219.0,21.9,2018,15066.0,15560.0
Vigo County,Indiana,18,167,,,21.4,1354.0,729.0,43.1,0.4653,193.0,43859.0,24254.0,92400.0,7037.0,20.6,2018,93885.0,107693.0
Wabash County,Indiana,18,169,,,27.0,267.0,693.0,36.1,0.3999,195.0,50637.0,25228.0,97200.0,314.0,21.1,2018,30263.0,31631.0
Warren County,Indiana,18,171,,,26.6,32.0,736.0,32.4,0.3765,18.0,61148.0,29408.0,115400.0,53.0,22.0,2018,8062.0,8247.0
Warrick County,Indiana,18,173,,,23.1,457.0,854.0,35.6,0.4347,88.0,70648.0,35915.0,162700.0,1072.0,24.2,2018,58029.0,61928.0
Washington County,Indiana,18,175,,,24.2,188.0,667.0,35.8,0.4237,77.0,47078.0,24048.0,113200.0,24.0,23.0,2018,27299.0,27827.0
Wayne County,Indiana,18,177,,,25.8,1049.0,674.0,36.1,0.4702,130.0,44228.0,25460.0,97400.0,3497.0,22.1,2018,59997.0,66613.0
Wells County,Indiana,18,179,,,23.9,86.0,674.0,34.7,0.3979,37.0,56265.0,27106.0,120700.0,202.0,24.9,2018,26858.0,27947.0
White County,Indiana,18,181,,,26.9,183.0,716.0,33.5,0.3929,71.0,55086.0,27621.0,110300.0,106.0,23.5,2018,22199.0,24217.0
Whitley County,Indiana,18,183,,,24.4,258.0,688.0,35.3,0.3994,126.0,61153.0,30144.0,138700.0,139.0,23.2,2018,32608.0,33649.0
Adair County,Iowa,19,1,,,30.9,74.0,588.0,31.7,0.4293,0.0,51859.0,29984.0,100100.0,27.0,21.7,2018,6967.0,7124.0
Adams County,Iowa,19,3,,,31.1,27.0,531.0,30.8,0.4265,3.0,49229.0,27824.0,86100.0,16.0,20.9,2018,3662.0,3726.0
Allamakee County,Iowa,19,5,,,29.4,82.0,598.0,31.0,0.4274,25.0,51057.0,27741.0,124900.0,174.0,22.9,2018,13432.0,13880.0
Appanoose County,Iowa,19,7,,,31.2,121.0,599.0,31.3,0.5136,22.0,41111.0,27546.0,78000.0,74.0,22.0,2018,12156.0,12510.0
Audubon County,Iowa,19,9,,,32.4,55.0,567.0,29.6,0.392,4.0,50397.0,28957.0,71100.0,20.0,19.5,2018,5478.0,5637.0
Benton County,Iowa,19,11,,,24.3,100.0,611.0,33.8,0.4254,47.0,65475.0,32764.0,157800.0,155.0,23.7,2018,24977.0,25626.0
Black Hawk County,Iowa,19,13,,,21.6,1404.0,769.0,42.8,0.4616,622.0,52688.0,29100.0,143100.0,12103.0,21.7,2018,111684.0,133009.0
Boone County,Iowa,19,15,,,25.5,224.0,732.0,36.7,0.4076,132.0,61111.0,31686.0,131900.0,135.0,22.0,2018,25448.0,26399.0
Bremer County,Iowa,19,17,,,25.3,144.0,647.0,38.2,0.4128,81.0,68023.0,32512.0,162100.0,258.0,22.1,2018,23847.0,24782.0
Buchanan County,Iowa,19,19,,,23.6,92.0,689.0,34.4,0.457,72.0,61409.0,31495.0,138000.0,22.0,27.0,2018,20574.0,21125.0
Buena Vista County,Iowa,19,21,,,21.1,160.0,685.0,39.0,0.4201,3.0,54556.0,26607.0,112700.0,551.0,25.4,2018,15684.0,20260.0
Butler County,Iowa,19,23,,,29.3,73.0,614.0,31.8,0.417,28.0,55999.0,29654.0,115800.0,84.0,22.9,2018,14375.0,14735.0
Calhoun County,Iowa,19,25,,,30.9,71.0,565.0,32.7,0.446,64.0,50800.0,27908.0,80000.0,121.0,20.7,2018,9361.0,9780.0
Carroll County,Iowa,19,27,,,26.6,196.0,598.0,33.0,0.4338,4.0,57674.0,30658.0,132700.0,35.0,24.4,2018,20151.0,20344.0
Cass County,Iowa,19,29,,,29.6,177.0,646.0,32.0,0.4255,54.0,48178.0,27853.0,97800.0,40.0,22.0,2018,12811.0,13191.0
Cedar County,Iowa,19,31,,,26.5,72.0,711.0,33.9,0.3785,45.0,65791.0,32010.0,150700.0,136.0,22.8,2018,17924.0,18445.0
Cerro Gordo County,Iowa,19,33,,,28.6,499.0,693.0,33.7,0.4437,208.0,52902.0,31304.0,124400.0,745.0,20.6,2018,40492.0,42984.0
Cherokee County,Iowa,19,35,,,32.4,58.0,551.0,30.2,0.4298,51.0,54658.0,32667.0,95200.0,269.0,21.4,2018,10871.0,11468.0
Chickasaw County,Iowa,19,37,,,27.6,92.0,565.0,32.0,0.4034,34.0,55385.0,29752.0,112000.0,62.0,23.1,2018,11858.0,12099.0
Clarke County,Iowa,19,39,,,24.7,25.0,751.0,34.3,0.4185,23.0,51571.0,26706.0,104700.0,6.0,25.1,2018,9026.0,9282.0
Clay County,Iowa,19,41,,,28.5,134.0,666.0,33.5,0.4223,5.0,47874.0,27811.0,120600.0,108.0,22.6,2018,15558.0,16313.0
Clayton County,Iowa,19,43,,,30.9,145.0,658.0,30.1,0.4078,36.0,52828.0,28486.0,121000.0,181.0,21.6,2018,17215.0,17672.0
Clinton County,Iowa,19,45,,,25.8,457.0,664.0,34.0,0.4241,171.0,50156.0,27942.0,114900.0,1262.0,22.8,2018,44275.0,47218.0
Crawford County,Iowa,19,47,,,22.6,44.0,625.0,37.0,0.4883,93.0,53609.0,28700.0,90700.0,438.0,24.8,2018,14699.0,17132.0
Dallas County,Iowa,19,49,,,15.9,636.0,1012.0,41.5,0.4323,88.0,84790.0,43583.0,231000.0,1361.0,28.2,2018,76545.0,84002.0
Davis County,Iowa,19,51,,,23.5,51.0,639.0,33.9,0.4107,0.0,58464.0,26503.0,114000.0,5.0,29.3,2018,8705.0,8885.0
Decatur County,Iowa,19,53,,,26.4,138.0,543.0,39.5,0.4448,30.0,42614.0,22037.0,76800.0,127.0,21.8,2018,7631.0,8044.0
Delaware County,Iowa,19,55,,,27.1,87.0,600.0,32.2,0.4256,55.0,61179.0,31300.0,134200.0,48.0,23.8,2018,16865.0,17258.0
Des Moines County,Iowa,19,57,,,27.2,378.0,770.0,34.3,0.4452,58.0,49977.0,28234.0,103600.0,2351.0,22.8,2018,35758.0,39600.0
Dickinson County,Iowa,19,59,,,33.4,112.0,771.0,30.7,0.4363,43.0,58099.0,38031.0,179300.0,111.0,18.9,2018,16614.0,17056.0
Dubuque County,Iowa,19,61,,,23.6,828.0,763.0,37.7,0.4385,181.0,61321.0,31096.0,160900.0,3326.0,23.0,2018,89972.0,96802.0
