County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Okaloosa County,Florida,12,091,11.2
Okeechobee County,Florida,12,093,9.1
Orange County,Florida,12,095,11.7
Osceola County,Florida,12,097,10.2
Palm Beach County,Florida,12,099,8.4
Pasco County,Florida,12,101,7.5
Pinellas County,Florida,12,103,7.5
Polk County,Florida,12,105,9.0
Putnam County,Florida,12,107,8.2
Saint Johns County,Florida,12,109,7.9
Saint Lucie County,Florida,12,111,8.1
Santa Rosa County,Florida,12,113,9.6
Sarasota County,Florida,12,115,6.5
Seminole County,Florida,12,117,9.5
Sumter County,Florida,12,119,3.8
Suwannee County,Florida,12,121,8.3
Taylor County,Florida,12,123,9.3
Union County,Florida,12,125,8.5
Volusia County,Florida,12,127,9.3
Wakulla County,Florida,12,129,8.3
Walton County,Florida,12,131,7.4
Washington County,Florida,12,133,9.2
Appling County,Georgia,13,001,8.5
Atkinson County,Georgia,13,003,7.8
Bacon County,Georgia,13,005,10.6
Baker County,Georgia,13,007,8.6
Baldwin County,Georgia,13,009,18.9
Banks County,Georgia,13,011,8.2
Barrow County,Georgia,13,013,8.3
Bartow County,Georgia,13,015,9.0
Ben Hill County,Georgia,13,017,9.6
Berrien County,Georgia,13,019,8.8
Bibb County,Georgia,13,021,10.2
Bleckley County,Georgia,13,023,16.2
Brantley County,Georgia,13,025,8.7
Brooks County,Georgia,13,027,9.8
Bryan County,Georgia,13,029,8.6
Bulloch County,Georgia,13,031,26.9
Burke County,Georgia,13,033,9.8
Butts County,Georgia,13,035,10.8
Calhoun County,Georgia,13,037,7.4
Camden County,Georgia,13,039,16.0
Candler County,Georgia,13,043,9.4
Carroll County,Georgia,13,045,13.0
Catoosa County,Georgia,13,047,8.7
Charlton County,Georgia,13,049,10.2
Chatham County,Georgia,13,051,12.3
Chattahoochee County,Georgia,13,053,42.7
Chattooga County,Georgia,13,055,10.2
Cherokee County,Georgia,13,057,8.3
Clarke County,Georgia,13,059,27.6
Clay County,Georgia,13,061,6.5
Clayton County,Georgia,13,063,11.0
Clinch County,Georgia,13,065,6.4
Cobb County,Georgia,13,067,9.7
Coffee County,Georgia,13,069,11.4
Colquitt County,Georgia,13,071,9.9
Columbia County,Georgia,13,073,9.1
Cook County,Georgia,13,075,8.8
Coweta County,Georgia,13,077,8.6
Crawford County,Georgia,13,079,5.3
Crisp County,Georgia,13,081,10.5
Dade County,Georgia,13,083,12.7
Dawson County,Georgia,13,085,7.8
Decatur County,Georgia,13,087,10.1
DeKalb County,Georgia,13,089,9.4
Dodge County,Georgia,13,091,11.3
Dooly County,Georgia,13,093,10.3
Dougherty County,Georgia,13,095,12.1
Douglas County,Georgia,13,097,9.5
Early County,Georgia,13,099,9.0
Echols County,Georgia,13,101,11.9
Effingham County,Georgia,13,103,8.9
Elbert County,Georgia,13,105,9.1
Emanuel County,Georgia,13,107,10.2
Evans County,Georgia,13,109,8.8
Fannin County,Georgia,13,111,7.2
Fayette County,Georgia,13,113,9.4
Floyd County,Georgia,13,115,9.8
Forsyth County,Georgia,13,117,7.1
Franklin County,Georgia,13,119,9.8
Fulton County,Georgia,13,121,11.0
Gilmer County,Georgia,13,123,7.8
Glascock County,Georgia,13,125,7.5
Glynn County,Georgia,13,127,8.5
Gordon County,Georgia,13,129,8.8
Grady County,Georgia,13,131,8.0
Greene County,Georgia,13,133,7.2
Gwinnett County,Georgia,13,135,9.5
Habersham County,Georgia,13,137,10.5
Hall County,Georgia,13,139,9.3
Hancock County,Georgia,13,141,12.4
Haralson County,Georgia,13,143,8.7
Harris County,Georgia,13,145,8.6
Hart County,Georgia,13,147,9.2
Heard County,Georgia,13,149,8.0
Henry County,Georgia,13,151,9.8
Houston County,Georgia,13,153,10.3
Irwin County,Georgia,13,155,10.0
