County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Forsyth County,Georgia,13,117,72.3
Franklin County,Georgia,13,119,79.3
Fulton County,Georgia,13,121,78.0
Gilmer County,Georgia,13,123,80.0
Glascock County,Georgia,13,125,75.6
Glynn County,Georgia,13,127,77.8
Gordon County,Georgia,13,129,75.5
Grady County,Georgia,13,131,76.1
Greene County,Georgia,13,133,81.3
Gwinnett County,Georgia,13,135,73.6
Habersham County,Georgia,13,137,78.0
Hall County,Georgia,13,139,74.6
Hancock County,Georgia,13,141,86.6
Haralson County,Georgia,13,143,78.5
Harris County,Georgia,13,145,79.2
Hart County,Georgia,13,147,80.0
Heard County,Georgia,13,149,77.1
Henry County,Georgia,13,151,73.3
Houston County,Georgia,13,153,75.5
Irwin County,Georgia,13,155,76.9
Jackson County,Georgia,13,157,76.2
Jasper County,Georgia,13,159,78.3
Jeff Davis County,Georgia,13,161,73.2
Jefferson County,Georgia,13,163,73.0
Jenkins County,Georgia,13,165,77.6
Johnson County,Georgia,13,167,84.0
Jones County,Georgia,13,169,76.8
Lamar County,Georgia,13,171,80.8
Lanier County,Georgia,13,173,77.3
Laurens County,Georgia,13,175,76.1
Lee County,Georgia,13,177,74.4
Liberty County,Georgia,13,179,72.2
Lincoln County,Georgia,13,181,81.4
Long County,Georgia,13,183,74.4
Lowndes County,Georgia,13,185,76.8
Lumpkin County,Georgia,13,187,81.7
McDuffie County,Georgia,13,189,74.8
McIntosh County,Georgia,13,191,83.9
Macon County,Georgia,13,193,81.6
Madison County,Georgia,13,195,78.3
Marion County,Georgia,13,197,77.7
Meriwether County,Georgia,13,199,78.9
Miller County,Georgia,13,201,78.7
Mitchell County,Georgia,13,205,77.5
Monroe County,Georgia,13,207,80.4
Montgomery County,Georgia,13,209,81.2
Morgan County,Georgia,13,211,77.7
Murray County,Georgia,13,213,76.2
Muscogee County,Georgia,13,215,76.7
Newton County,Georgia,13,217,73.9
Oconee County,Georgia,13,219,74.3
Oglethorpe County,Georgia,13,221,78.6
Paulding County,Georgia,13,223,72.9
Peach County,Georgia,13,225,79.6
Pickens County,Georgia,13,227,79.7
Pierce County,Georgia,13,229,76.0
Pike County,Georgia,13,231,75.9
Polk County,Georgia,13,233,76.0
Pulaski County,Georgia,13,235,77.5
Putnam County,Georgia,13,237,81.3
Quitman County,Georgia,13,239,78.9
Rabun County,Georgia,13,241,82.2
Randolph County,Georgia,13,243,78.2
Richmond County,Georgia,13,245,77.0
Rockdale County,Georgia,13,247,75.3
Schley County,Georgia,13,249,76.9
Screven County,Georgia,13,251,75.9
Seminole County,Georgia,13,253,79.5
Spalding County,Georgia,13,255,75.9
Stephens County,Georgia,13,257,78.8
Stewart County,Georgia,13,259,88.5
Sumter County,Georgia,13,261,76.8
Talbot County,Georgia,13,263,81.1
Taliaferro County,Georgia,13,265,82.9
Tattnall County,Georgia,13,267,83.3
Taylor County,Georgia,13,269,77.8
Telfair County,Georgia,13,271,86.9
Terrell County,Georgia,13,273,76.0
Thomas County,Georgia,13,275,75.2
Tift County,Georgia,13,277,76.1
Toombs County,Georgia,13,279,74.2
Towns County,Georgia,13,281,85.4
Treutlen County,Georgia,13,283,76.8
Troup County,Georgia,13,285,75.4
Turner County,Georgia,13,287,75.6
Twiggs County,Georgia,13,289,80.7
Union County,Georgia,13,291,82.9
Upson County,Georgia,13,293,79.0
Walker County,Georgia,13,295,78.4
Walton County,Georgia,13,297,74.8
Ware County,Georgia,13,299,79.0
Warren County,Georgia,13,301,79.0
Washington County,Georgia,13,303,78.8
Wayne County,Georgia,13,305,78.0
Webster County,Georgia,13,307,78.1
Wheeler County,Georgia,13,309,90.0
White County,Georgia,13,311,79.0
Whitfield County,Georgia,13,313,74.2
Wilcox County,Georgia,13,315,85.9
Wilkes County,Georgia,13,317,78.8
Wilkinson County,Georgia,13,319,75.5
Worth County,Georgia,13,321,77.7
Hawaii County,Hawaii,15,001,79.3
