County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Moffat County,Colorado,08,081,1516
Montezuma County,Colorado,08,083,3241
Montrose County,Colorado,08,085,4294
Morgan County,Colorado,08,087,3072
Otero County,Colorado,08,089,2198
Ouray County,Colorado,08,091,661
Park County,Colorado,08,093,2812
Phillips County,Colorado,08,095,421
Pitkin County,Colorado,08,097,2424
Prowers County,Colorado,08,099,1405
Pueblo County,Colorado,08,101,18652
Rio Blanco County,Colorado,08,103,832
Rio Grande County,Colorado,08,105,1379
Routt County,Colorado,08,107,2703
Saguache County,Colorado,08,109,697
San Miguel County,Colorado,08,113,893
Sedgwick County,Colorado,08,115,245
Summit County,Colorado,08,117,3920
Teller County,Colorado,08,119,3195
Washington County,Colorado,08,121,553
Yuma County,Colorado,08,125,1397
Adams County,Colorado,08,001,44392
Arapahoe County,Colorado,08,005,65509
Boulder County,Colorado,08,013,25488
Broomfield County,Colorado,08,014,6500
Denver County,Colorado,08,031,59848
Jefferson County,Colorado,08,059,62084
Weld County,Colorado,08,123,26616
Fairfield County,Connecticut,09,001,70100
Hartford County,Connecticut,09,003,75667
Litchfield County,Connecticut,09,005,18113
Middlesex County,Connecticut,09,007,14752
New Haven County,Connecticut,09,009,71646
New London County,Connecticut,09,011,26162
Tolland County,Connecticut,09,013,12129
Windham County,Connecticut,09,015,10471
Kent County,Delaware,10,001,16131
New Castle County,Delaware,10,003,48644
Sussex County,Delaware,10,005,18354
Alachua County,Florida,12,001,19458
Baker County,Florida,12,003,1798
Bay County,Florida,12,005,18618
Bradford County,Florida,12,007,2966
Brevard County,Florida,12,009,60053
Broward County,Florida,12,011,192287
Calhoun County,Florida,12,013,1375
Charlotte County,Florida,12,015,19777
Citrus County,Florida,12,017,16171
Clay County,Florida,12,019,22582
Collier County,Florida,12,021,32912
Columbia County,Florida,12,023,7828
Miami-Dade County,Florida,12,086,204273
DeSoto County,Florida,12,027,2563
Dixie County,Florida,12,029,1988
Duval County,Florida,12,031,92374
Escambia County,Florida,12,033,32423
Flagler County,Florida,12,035,12127
Franklin County,Florida,12,037,1302
Gadsden County,Florida,12,039,4392
Gilchrist County,Florida,12,041,1770
Glades County,Florida,12,043,1203
Gulf County,Florida,12,045,1842
Hamilton County,Florida,12,047,1201
Hardee County,Florida,12,049,1679
Hendry County,Florida,12,051,2746
Hernando County,Florida,12,053,19083
Highlands County,Florida,12,055,9968
Hillsborough County,Florida,12,057,119196
Holmes County,Florida,12,059,1988
Indian River County,Florida,12,061,15396
Jackson County,Florida,12,063,4663
Jefferson County,Florida,12,065,1826
Lafayette County,Florida,12,067,975
Lake County,Florida,12,069,33129
Lee County,Florida,12,071,66223
Leon County,Florida,12,073,21710
Levy County,Florida,12,075,4173
Liberty County,Florida,12,077,647
Madison County,Florida,12,079,1805
Manatee County,Florida,12,081,34173
Marion County,Florida,12,083,35123
Martin County,Florida,12,085,16971
Monroe County,Florida,12,087,8992
Nassau County,Florida,12,089,8150
Okaloosa County,Florida,12,091,21930
Okeechobee County,Florida,12,093,3240
Orange County,Florida,12,095,107874
Osceola County,Florida,12,097,26976
Palm Beach County,Florida,12,099,142578
Pasco County,Florida,12,101,48659
Pinellas County,Florida,12,103,101633
Polk County,Florida,12,105,57020
Putnam County,Florida,12,107,6532
Saint Johns County,Florida,12,109,20269
Saint Lucie County,Florida,12,111,29129
Santa Rosa County,Florida,12,113,17144
Sarasota County,Florida,12,115,44300
Seminole County,Florida,12,117,48481
Sumter County,Florida,12,119,11739
Suwannee County,Florida,12,121,3541
Taylor County,Florida,12,123,2182
Union County,Florida,12,125,1343
Volusia County,Florida,12,127,60559
Wakulla County,Florida,12,129,3357
Walton County,Florida,12,131,6131
Washington County,Florida,12,133,2230
Appling County,Georgia,13,001,1264
Atkinson County,Georgia,13,003,643
Bacon County,Georgia,13,005,689
Baker County,Georgia,13,007,195
Baldwin County,Georgia,13,009,4336
Banks County,Georgia,13,011,1168
Barrow County,Georgia,13,013,6743
Bartow County,Georgia,13,015,8625
Ben Hill County,Georgia,13,017,1427
Berrien County,Georgia,13,019,1829
Bibb County,Georgia,13,021,15481
Bleckley County,Georgia,13,023,1030
Brantley County,Georgia,13,025,1740
Brooks County,Georgia,13,027,1842
Bryan County,Georgia,13,029,3026
Bulloch County,Georgia,13,031,6134
Burke County,Georgia,13,033,2488
Butts County,Georgia,13,035,2051
Calhoun County,Georgia,13,037,627
Camden County,Georgia,13,039,5764
Candler County,Georgia,13,043,878
Carroll County,Georgia,13,045,9615
Catoosa County,Georgia,13,047,6806
Charlton County,Georgia,13,049,1419
Chatham County,Georgia,13,051,32060
Chattahoochee County,Georgia,13,053,1128
Chattooga County,Georgia,13,055,2022
Cherokee County,Georgia,13,057,24072
Clarke County,Georgia,13,059,8511
Clay County,Georgia,13,061,416
Clayton County,Georgia,13,063,29191
Clinch County,Georgia,13,065,478
Cobb County,Georgia,13,067,70565
Coffee County,Georgia,13,069,3184
Colquitt County,Georgia,13,071,3096
Columbia County,Georgia,13,073,13914
Cook County,Georgia,13,075,1385
Coweta County,Georgia,13,077,11907
Crawford County,Georgia,13,079,1375
Crisp County,Georgia,13,081,2145
Dade County,Georgia,13,083,1779
Dawson County,Georgia,13,085,2543
Decatur County,Georgia,13,087,2994
DeKalb County,Georgia,13,089,73566
Dodge County,Georgia,13,091,1325
Dooly County,Georgia,13,093,1181
Dougherty County,Georgia,13,095,12319
Douglas County,Georgia,13,097,14451
Early County,Georgia,13,099,944
Echols County,Georgia,13,101,312
Effingham County,Georgia,13,103,4920
Elbert County,Georgia,13,105,1749
Emanuel County,Georgia,13,107,1908
Evans County,Georgia,13,109,782
Fannin County,Georgia,13,111,1935
Fayette County,Georgia,13,113,11999
Floyd County,Georgia,13,115,9383
Forsyth County,Georgia,13,117,15797
Franklin County,Georgia,13,119,1958
Fulton County,Georgia,13,121,89989
Gilmer County,Georgia,13,123,2993
Glascock County,Georgia,13,125,323
Glynn County,Georgia,13,127,8821
Gordon County,Georgia,13,129,4587
Grady County,Georgia,13,131,1734
Greene County,Georgia,13,133,1189
Gwinnett County,Georgia,13,135,78607
Habersham County,Georgia,13,137,4028
Hall County,Georgia,13,139,16468
Hancock County,Georgia,13,141,711
Haralson County,Georgia,13,143,2357
Harris County,Georgia,13,145,3854
Hart County,Georgia,13,147,2365
Heard County,Georgia,13,149,1057
Henry County,Georgia,13,151,22204
Houston County,Georgia,13,153,16855
Irwin County,Georgia,13,155,1063
Jackson County,Georgia,13,157,5313
Jasper County,Georgia,13,159,1227
Jeff Davis County,Georgia,13,161,1268
Jefferson County,Georgia,13,163,1493
Jenkins County,Georgia,13,165,569
Johnson County,Georgia,13,167,964
Jones County,Georgia,13,169,3009
Lamar County,Georgia,13,171,1793
Lanier County,Georgia,13,173,1172
Laurens County,Georgia,13,175,3620
Lee County,Georgia,13,177,3029
Liberty County,Georgia,13,179,7505
Lincoln County,Georgia,13,181,668
Long County,Georgia,13,183,1438
Lowndes County,Georgia,13,185,10760
Lumpkin County,Georgia,13,187,3262
McDuffie County,Georgia,13,189,1839
McIntosh County,Georgia,13,191,1749
Macon County,Georgia,13,193,1515
Madison County,Georgia,13,195,2665
Marion County,Georgia,13,197,832
Meriwether County,Georgia,13,199,1880
Miller County,Georgia,13,201,635
Mitchell County,Georgia,13,205,2093
Monroe County,Georgia,13,207,2532
Montgomery County,Georgia,13,209,662
Morgan County,Georgia,13,211,1523
Murray County,Georgia,13,213,3151
Muscogee County,Georgia,13,215,24476
Newton County,Georgia,13,217,11005
Oconee County,Georgia,13,219,3177
Oglethorpe County,Georgia,13,221,1395
Paulding County,Georgia,13,223,14755
Peach County,Georgia,13,225,2946
Pickens County,Georgia,13,227,2923
Pierce County,Georgia,13,229,1912
Pike County,Georgia,13,231,1993
Polk County,Georgia,13,233,3421
Pulaski County,Georgia,13,235,1047
Putnam County,Georgia,13,237,1880
Quitman County,Georgia,13,239,277
Rabun County,Georgia,13,241,1865
Randolph County,Georgia,13,243,562
Richmond County,Georgia,13,245,22469
Rockdale County,Georgia,13,247,9787
Schley County,Georgia,13,249,496
Screven County,Georgia,13,251,1180
Seminole County,Georgia,13,253,979
Spalding County,Georgia,13,255,6111
Stephens County,Georgia,13,257,2065
Stewart County,Georgia,13,259,342
Sumter County,Georgia,13,261,2681
Talbot County,Georgia,13,263,553
Taliaferro County,Georgia,13,265,91
Tattnall County,Georgia,13,267,2126
Taylor County,Georgia,13,269,759
Telfair County,Georgia,13,271,890
Terrell County,Georgia,13,273,802
Thomas County,Georgia,13,275,4408
Tift County,Georgia,13,277,3401
Toombs County,Georgia,13,279,2251
Towns County,Georgia,13,281,792
Treutlen County,Georgia,13,283,488
Troup County,Georgia,13,285,7045
Turner County,Georgia,13,287,648
Twiggs County,Georgia,13,289,664
Union County,Georgia,13,291,2360
Upson County,Georgia,13,293,2941
Walker County,Georgia,13,295,7444
Walton County,Georgia,13,297,9301
Ware County,Georgia,13,299,3378
Warren County,Georgia,13,301,417
Washington County,Georgia,13,303,1805
Wayne County,Georgia,13,305,3073
Webster County,Georgia,13,307,168
Wheeler County,Georgia,13,309,333
White County,Georgia,13,311,3257
Whitfield County,Georgia,13,313,9491
Wilcox County,Georgia,13,315,910
Wilkes County,Georgia,13,317,809
Wilkinson County,Georgia,13,319,949
Worth County,Georgia,13,321,1732
Hawaii County,Hawaii,15,001,22923
Honolulu County,Hawaii,15,003,105831
Kauai County,Hawaii,15,007,9040
Kalawao County,Hawaii,15,005,2
Maui County,Hawaii,15,009,20574
Ada County,Idaho,16,001,50226
Adams County,Idaho,16,003,588
Bannock County,Idaho,16,005,10269
Bear Lake County,Idaho,16,007,729
Benewah County,Idaho,16,009,1010
Bingham County,Idaho,16,011,5035
Blaine County,Idaho,16,013,2698
Boise County,Idaho,16,015,899
Bonner County,Idaho,16,017,6160
Bonneville County,Idaho,16,019,11234
Boundary County,Idaho,16,021,1384
Butte County,Idaho,16,023,387
Camas County,Idaho,16,025,179
Canyon County,Idaho,16,027,20006
Caribou County,Idaho,16,029,791
Cassia County,Idaho,16,031,2287
Clearwater County,Idaho,16,035,1115
Custer County,Idaho,16,037,452
Elmore County,Idaho,16,039,3102
Franklin County,Idaho,16,041,1426
Fremont County,Idaho,16,043,1546
Gem County,Idaho,16,045,2155
Gooding County,Idaho,16,047,1413
Idaho County,Idaho,16,049,2092
Jefferson County,Idaho,16,051,2728
Jerome County,Idaho,16,053,2004
Kootenai County,Idaho,16,055,18290
Latah County,Idaho,16,057,3839
Lemhi County,Idaho,16,059,1017
Lewis County,Idaho,16,061,550
Lincoln County,Idaho,16,063,534
Madison County,Idaho,16,065,3463
Minidoka County,Idaho,16,067,2090
Nez Perce County,Idaho,16,069,5182
Oneida County,Idaho,16,071,600
Owyhee County,Idaho,16,073,1012
Payette County,Idaho,16,075,2080
Power County,Idaho,16,077,786
Shoshone County,Idaho,16,079,1979
Teton County,Idaho,16,081,996
Twin Falls County,Idaho,16,083,9437
Valley County,Idaho,16,085,1237
Washington County,Idaho,16,087,1385
Adams County,Illinois,17,001,6958
Alexander County,Illinois,17,003,924
Bond County,Illinois,17,005,1477
Boone County,Illinois,17,007,4796
Brown County,Illinois,17,009,730
Bureau County,Illinois,17,011,3885
Calhoun County,Illinois,17,013,436
Carroll County,Illinois,17,015,1579
Cass County,Illinois,17,017,1109
Champaign County,Illinois,17,019,16717
Christian County,Illinois,17,021,3408
Clark County,Illinois,17,023,1454
Clay County,Illinois,17,025,1088
Clinton County,Illinois,17,027,3669
Coles County,Illinois,17,029,4499
Cook County,Illinois,17,031,497759
Crawford County,Illinois,17,033,1877
Cumberland County,Illinois,17,035,1001
DeKalb County,Illinois,17,037,9989
De Witt County,Illinois,17,039,1828
Douglas County,Illinois,17,041,1871
DuPage County,Illinois,17,043,85029
Edgar County,Illinois,17,045,1747
Edwards County,Illinois,17,047,553
Effingham County,Illinois,17,049,2987
Fayette County,Illinois,17,051,1750
Ford County,Illinois,17,053,1471
Franklin County,Illinois,17,055,4800
Fulton County,Illinois,17,057,4111
Gallatin County,Illinois,17,059,614
Greene County,Illinois,17,061,1373
Grundy County,Illinois,17,063,5611
Hamilton County,Illinois,17,065,966
Hancock County,Illinois,17,067,2142
Hardin County,Illinois,17,069,482
Henderson County,Illinois,17,071,827
Henry County,Illinois,17,073,5024
Iroquois County,Illinois,17,075,3115
Jackson County,Illinois,17,077,5526
Jasper County,Illinois,17,079,908
Jefferson County,Illinois,17,081,4383
Jersey County,Illinois,17,083,2715
Jo Daviess County,Illinois,17,085,2272
Johnson County,Illinois,17,087,1529
Kane County,Illinois,17,089,45561
Kankakee County,Illinois,17,091,12788
Kendall County,Illinois,17,093,12155
Knox County,Illinois,17,095,5118
Lake County,Illinois,17,097,61922
LaSalle County,Illinois,17,099,12632
Lawrence County,Illinois,17,101,1585
Lee County,Illinois,17,103,4025
Livingston County,Illinois,17,105,4216
Logan County,Illinois,17,107,3433
McDonough County,Illinois,17,109,2640
McHenry County,Illinois,17,111,32271
McLean County,Illinois,17,113,13577
Macon County,Illinois,17,115,10810
Macoupin County,Illinois,17,117,5417
Madison County,Illinois,17,119,28855
Marion County,Illinois,17,121,4092
Marshall County,Illinois,17,123,1349
Mason County,Illinois,17,125,1543
Massac County,Illinois,17,127,1688
Menard County,Illinois,17,129,1167
Mercer County,Illinois,17,131,1783
Monroe County,Illinois,17,133,3254
Montgomery County,Illinois,17,135,2878
Morgan County,Illinois,17,137,2964
Moultrie County,Illinois,17,139,1179
Ogle County,Illinois,17,141,5625
Peoria County,Illinois,17,143,18220
Perry County,Illinois,17,145,2282
Piatt County,Illinois,17,147,1743
Pike County,Illinois,17,149,1506
Pope County,Illinois,17,151,482
Pulaski County,Illinois,17,153,632
Putnam County,Illinois,17,155,697
Randolph County,Illinois,17,157,3438
Richland County,Illinois,17,159,1415
Rock Island County,Illinois,17,161,15706
Saint Clair County,Illinois,17,163,31441
Saline County,Illinois,17,165,3080
Sangamon County,Illinois,17,167,19372
Schuyler County,Illinois,17,169,814
Scott County,Illinois,17,171,498
Shelby County,Illinois,17,173,1879
Stark County,Illinois,17,175,607
Stephenson County,Illinois,17,177,5169
Tazewell County,Illinois,17,179,14371
Union County,Illinois,17,181,1769
Vermilion County,Illinois,17,183,7377
Wabash County,Illinois,17,185,963
Warren County,Illinois,17,187,1623
Washington County,Illinois,17,189,1506
Wayne County,Illinois,17,191,1661
White County,Illinois,17,193,1509
Whiteside County,Illinois,17,195,5845
Will County,Illinois,17,197,66726
Williamson County,Illinois,17,199,8391
Winnebago County,Illinois,17,201,28537
Woodford County,Illinois,17,203,4019
Adams County,Indiana,18,001,2437
Allen County,Indiana,18,003,36157
Bartholomew County,Indiana,18,005,6590
Benton County,Indiana,18,007,727
Blackford County,Indiana,18,009,1126
Boone County,Indiana,18,011,4366
Brown County,Indiana,18,013,1500
Carroll County,Indiana,18,015,1812
Cass County,Indiana,18,017,3207
Clark County,Indiana,18,019,11819
Clay County,Indiana,18,021,2207
Clinton County,Indiana,18,023,2568
Crawford County,Indiana,18,025,796
Daviess County,Indiana,18,027,2011
Dearborn County,Indiana,18,029,5017
Decatur County,Indiana,18,031,1833
DeKalb County,Indiana,18,033,4007
Delaware County,Indiana,18,035,10057
Dubois County,Indiana,18,037,3014
Elkhart County,Indiana,18,039,15081
Fayette County,Indiana,18,041,1974
Floyd County,Indiana,18,043,7856
Fountain County,Indiana,18,045,1718
Franklin County,Indiana,18,047,1492
