County,State,State_FIPS,County_FIPS,high_school_grads
Tattnall County,Georgia,13,267,4667.0
Taylor County,Georgia,13,269,1637.0
Telfair County,Georgia,13,271,4528.0
Terrell County,Georgia,13,273,1589.0
Thomas County,Georgia,13,275,8153.0
Tift County,Georgia,13,277,7648.0
Toombs County,Georgia,13,279,5564.0
Towns County,Georgia,13,281,2081.0
Treutlen County,Georgia,13,283,1485.0
Troup County,Georgia,13,285,12399.0
Turner County,Georgia,13,287,1694.0
Twiggs County,Georgia,13,289,1864.0
Union County,Georgia,13,291,5055.0
Upson County,Georgia,13,293,4711.0
Walker County,Georgia,13,295,11824.0
Walton County,Georgia,13,297,16942.0
Ware County,Georgia,13,299,7513.0
Warren County,Georgia,13,301,1546.0
Washington County,Georgia,13,303,4487.0
Wayne County,Georgia,13,305,5953.0
Webster County,Georgia,13,307,713.0
Wheeler County,Georgia,13,309,2183.0
White County,Georgia,13,311,4828.0
Whitfield County,Georgia,13,313,14706.0
Wilcox County,Georgia,13,315,2165.0
Wilkes County,Georgia,13,317,2455.0
Wilkinson County,Georgia,13,319,2763.0
Worth County,Georgia,13,321,4779.0
Hawaii County,Hawaii,15,001,40267.0
Honolulu County,Hawaii,15,003,161040.0
Kauai County,Hawaii,15,007,14203.0
Kalawao County,Hawaii,15,005,26.0
Maui County,Hawaii,15,009,32570.0
Ada County,Idaho,16,001,48688.0
Adams County,Idaho,16,003,929.0
Bannock County,Idaho,16,005,11336.0
Bear Lake County,Idaho,16,007,1386.0
Benewah County,Idaho,16,009,2139.0
Bingham County,Idaho,16,011,7055.0
Blaine County,Idaho,16,013,2685.0
Boise County,Idaho,16,015,1209.0
Bonner County,Idaho,16,017,7618.0
Bonneville County,Idaho,16,019,14322.0
Boundary County,Idaho,16,021,2341.0
Butte County,Idaho,16,023,565.0
Camas County,Idaho,16,025,177.0
Canyon County,Idaho,16,027,30537.0
Caribou County,Idaho,16,029,1366.0
Cassia County,Idaho,16,031,3162.0
Clearwater County,Idaho,16,035,1873.0
Custer County,Idaho,16,037,890.0
Elmore County,Idaho,16,039,3632.0
Franklin County,Idaho,16,041,2214.0
Fremont County,Idaho,16,043,2247.0
Gem County,Idaho,16,045,3812.0
Gooding County,Idaho,16,047,2708.0
Idaho County,Idaho,16,049,3717.0
Jefferson County,Idaho,16,051,3866.0
Jerome County,Idaho,16,053,3450.0
Kootenai County,Idaho,16,055,23014.0
Latah County,Idaho,16,057,3596.0
Lemhi County,Idaho,16,059,1583.0
Lewis County,Idaho,16,061,743.0
Lincoln County,Idaho,16,063,1042.0
Madison County,Idaho,16,065,2140.0
Minidoka County,Idaho,16,067,3239.0
Nez Perce County,Idaho,16,069,7335.0
Oneida County,Idaho,16,071,854.0
Owyhee County,Idaho,16,073,2274.0
Payette County,Idaho,16,075,3803.0
Power County,Idaho,16,077,1399.0
Shoshone County,Idaho,16,079,2629.0
Teton County,Idaho,16,081,1121.0
Twin Falls County,Idaho,16,083,12338.0
Valley County,Idaho,16,085,1578.0
Washington County,Idaho,16,087,1873.0
Adams County,Illinois,17,001,14330.0
Alexander County,Illinois,17,003,1294.0
Bond County,Illinois,17,005,3824.0
Boone County,Illinois,17,007,9910.0
Brown County,Illinois,17,009,1686.0
Bureau County,Illinois,17,011,8169.0
Calhoun County,Illinois,17,013,1452.0
Carroll County,Illinois,17,015,3904.0
Cass County,Illinois,17,017,3564.0
Champaign County,Illinois,17,019,22528.0
Christian County,Illinois,17,021,8660.0
Clark County,Illinois,17,023,3667.0
Clay County,Illinois,17,025,2947.0
Clinton County,Illinois,17,027,7115.0
Coles County,Illinois,17,029,8292.0
Cook County,Illinois,17,031,742747.0
Crawford County,Illinois,17,033,3882.0
Cumberland County,Illinois,17,035,2535.0
DeKalb County,Illinois,17,037,13336.0
