County,State,State_FIPS,County_FIPS,high_school_only_percentage
Idaho County,Idaho,16,049,41.8
Jefferson County,Idaho,16,051,30.0
Jerome County,Idaho,16,053,31.8
Kootenai County,Idaho,16,055,28.7
Latah County,Idaho,16,057,21.1
Lemhi County,Idaho,16,059,30.9
Lewis County,Idaho,16,061,32.2
Lincoln County,Idaho,16,063,30.9
Madison County,Idaho,16,065,15.3
Minidoka County,Idaho,16,067,33.6
Nez Perce County,Idaho,16,069,36.1
Oneida County,Idaho,16,071,34.6
Owyhee County,Idaho,16,073,37.9
Payette County,Idaho,16,075,36.0
Power County,Idaho,16,077,33.7
Shoshone County,Idaho,16,079,38.2
Teton County,Idaho,16,081,22.7
Twin Falls County,Idaho,16,083,30.3
Valley County,Idaho,16,085,28.9
Washington County,Idaho,16,087,25.9
Adams County,Illinois,17,001,42.2
Alexander County,Illinois,17,003,39.9
Bond County,Illinois,17,005,34.7
Boone County,Illinois,17,007,38.3
Brown County,Illinois,17,009,37.9
Bureau County,Illinois,17,011,43.2
Calhoun County,Illinois,17,013,42.6
Carroll County,Illinois,17,015,44.8
Cass County,Illinois,17,017,46.4
Champaign County,Illinois,17,019,22.4
Christian County,Illinois,17,021,46.0
Clark County,Illinois,17,023,40.8
Clay County,Illinois,17,025,44.7
Clinton County,Illinois,17,027,34.2
Coles County,Illinois,17,029,35.2
Cook County,Illinois,17,031,25.1
Crawford County,Illinois,17,033,35.6
Cumberland County,Illinois,17,035,41.6
DeKalb County,Illinois,17,037,30.2
De Witt County,Illinois,17,039,43.8
Douglas County,Illinois,17,041,39.8
DuPage County,Illinois,17,043,18.3
Edgar County,Illinois,17,045,44.1
Edwards County,Illinois,17,047,31.9
Effingham County,Illinois,17,049,37.2
Fayette County,Illinois,17,051,45.4
Ford County,Illinois,17,053,40.7
Franklin County,Illinois,17,055,31.5
Fulton County,Illinois,17,057,38.1
Gallatin County,Illinois,17,059,37.4
Greene County,Illinois,17,061,46.0
Grundy County,Illinois,17,063,38.4
Hamilton County,Illinois,17,065,31.6
Hancock County,Illinois,17,067,42.2
Hardin County,Illinois,17,069,40.3
Henderson County,Illinois,17,071,38.2
Henry County,Illinois,17,073,37.1
Iroquois County,Illinois,17,075,43.3
Jackson County,Illinois,17,077,26.1
Jasper County,Illinois,17,079,43.2
Jefferson County,Illinois,17,081,34.3
Jersey County,Illinois,17,083,39.2
Jo Daviess County,Illinois,17,085,38.4
Johnson County,Illinois,17,087,35.6
Kane County,Illinois,17,089,23.1
Kankakee County,Illinois,17,091,35.8
Kendall County,Illinois,17,093,25.4
Knox County,Illinois,17,095,38.7
Lake County,Illinois,17,097,20.8
LaSalle County,Illinois,17,099,39.5
Lawrence County,Illinois,17,101,33.6
Lee County,Illinois,17,103,38.5
Livingston County,Illinois,17,105,42.7
Logan County,Illinois,17,107,36.2
McDonough County,Illinois,17,109,30.7
McHenry County,Illinois,17,111,26.4
McLean County,Illinois,17,113,25.2
Macon County,Illinois,17,115,35.0
Macoupin County,Illinois,17,117,41.1
Madison County,Illinois,17,119,33.8
Marion County,Illinois,17,121,38.3
Marshall County,Illinois,17,123,44.7
Mason County,Illinois,17,125,42.3
Massac County,Illinois,17,127,35.2
