County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
McDuffie County,Georgia,13,189,11.2
McIntosh County,Georgia,13,191,11.7
Macon County,Georgia,13,193,12.8
Madison County,Georgia,13,195,8.2
Marion County,Georgia,13,197,8.8
Meriwether County,Georgia,13,199,10.3
Miller County,Georgia,13,201,13.6
Mitchell County,Georgia,13,205,11.9
Monroe County,Georgia,13,207,7.6
Montgomery County,Georgia,13,209,7.0
Morgan County,Georgia,13,211,10.5
Murray County,Georgia,13,213,14.3
Muscogee County,Georgia,13,215,5.2
Newton County,Georgia,13,217,5.2
Oconee County,Georgia,13,219,2.4
Oglethorpe County,Georgia,13,221,3.6
Paulding County,Georgia,13,223,3.5
Peach County,Georgia,13,225,8.7
Pickens County,Georgia,13,227,8.4
Pierce County,Georgia,13,229,10.5
Pike County,Georgia,13,231,3.6
Polk County,Georgia,13,233,10.5
Pulaski County,Georgia,13,235,5.7
Putnam County,Georgia,13,237,8.0
Quitman County,Georgia,13,239,13.5
Rabun County,Georgia,13,241,6.6
Randolph County,Georgia,13,243,7.9
Richmond County,Georgia,13,245,5.6
Rockdale County,Georgia,13,247,6.9
Schley County,Georgia,13,249,10.0
Screven County,Georgia,13,251,13.6
Seminole County,Georgia,13,253,3.2
Spalding County,Georgia,13,255,7.9
Stephens County,Georgia,13,257,6.5
Stewart County,Georgia,13,259,17.0
Sumter County,Georgia,13,261,12.2
Talbot County,Georgia,13,263,8.7
Taliaferro County,Georgia,13,265,17.9
Tattnall County,Georgia,13,267,11.8
Taylor County,Georgia,13,269,10.9
Telfair County,Georgia,13,271,13.2
Terrell County,Georgia,13,273,8.5
Thomas County,Georgia,13,275,4.3
Tift County,Georgia,13,277,10.6
Toombs County,Georgia,13,279,7.6
Towns County,Georgia,13,281,5.1
Treutlen County,Georgia,13,283,15.7
Troup County,Georgia,13,285,5.8
Turner County,Georgia,13,287,8.6
Twiggs County,Georgia,13,289,10.9
Union County,Georgia,13,291,6.0
Upson County,Georgia,13,293,8.1
Walker County,Georgia,13,295,8.6
Walton County,Georgia,13,297,5.6
Ware County,Georgia,13,299,7.0
Warren County,Georgia,13,301,16.8
Washington County,Georgia,13,303,8.9
Wayne County,Georgia,13,305,8.2
Webster County,Georgia,13,307,8.9
Wheeler County,Georgia,13,309,10.0
White County,Georgia,13,311,4.9
Whitfield County,Georgia,13,313,16.9
Wilcox County,Georgia,13,315,9.7
Wilkes County,Georgia,13,317,12.0
Wilkinson County,Georgia,13,319,6.7
Worth County,Georgia,13,321,10.0
Hawaii County,Hawaii,15,001,3.2
Honolulu County,Hawaii,15,003,3.8
Kauai County,Hawaii,15,007,5.9
Kalawao County,Hawaii,15,005,11.4
Maui County,Hawaii,15,009,4.0
Ada County,Idaho,16,001,2.1
Adams County,Idaho,16,003,2.2
Bannock County,Idaho,16,005,2.2
Bear Lake County,Idaho,16,007,1.3
Benewah County,Idaho,16,009,2.9
Bingham County,Idaho,16,011,7.4
Blaine County,Idaho,16,013,6.8
Boise County,Idaho,16,015,3.6
Bonner County,Idaho,16,017,1.8
Bonneville County,Idaho,16,019,3.7
Boundary County,Idaho,16,021,5.2
Butte County,Idaho,16,023,3.3
Camas County,Idaho,16,025,4.5
Canyon County,Idaho,16,027,8.9
Caribou County,Idaho,16,029,3.6
Cassia County,Idaho,16,031,13.2
Clearwater County,Idaho,16,035,6.9
Custer County,Idaho,16,037,2.7
Elmore County,Idaho,16,039,6.8
Franklin County,Idaho,16,041,2.6
Fremont County,Idaho,16,043,6.6
Gem County,Idaho,16,045,6.7
Gooding County,Idaho,16,047,15.8
Idaho County,Idaho,16,049,6.4
Jefferson County,Idaho,16,051,4.8
Jerome County,Idaho,16,053,16.6
Kootenai County,Idaho,16,055,2.2
Latah County,Idaho,16,057,1.7
Lemhi County,Idaho,16,059,2.9
Lewis County,Idaho,16,061,3.7
Lincoln County,Idaho,16,063,16.1
Madison County,Idaho,16,065,1.7
Minidoka County,Idaho,16,067,14.4
Nez Perce County,Idaho,16,069,3.9
Oneida County,Idaho,16,071,0.6
Owyhee County,Idaho,16,073,17.1
Payette County,Idaho,16,075,7.2
Power County,Idaho,16,077,11.3
Shoshone County,Idaho,16,079,3.3
Teton County,Idaho,16,081,5.2
