County,State,State_FIPS,County_FIPS,ged_or_alternative
Lumpkin County,Georgia,13,187,1222.0
McDuffie County,Georgia,13,189,1050.0
McIntosh County,Georgia,13,191,995.0
Macon County,Georgia,13,193,813.0
Madison County,Georgia,13,195,1234.0
Marion County,Georgia,13,197,410.0
Meriwether County,Georgia,13,199,1328.0
Miller County,Georgia,13,201,239.0
Mitchell County,Georgia,13,205,1314.0
Monroe County,Georgia,13,207,1116.0
Montgomery County,Georgia,13,209,347.0
Morgan County,Georgia,13,211,523.0
Murray County,Georgia,13,213,2878.0
Muscogee County,Georgia,13,215,7015.0
Newton County,Georgia,13,217,4131.0
Oconee County,Georgia,13,219,743.0
Oglethorpe County,Georgia,13,221,764.0
Paulding County,Georgia,13,223,5785.0
Peach County,Georgia,13,225,881.0
Pickens County,Georgia,13,227,1411.0
Pierce County,Georgia,13,229,878.0
Pike County,Georgia,13,231,851.0
Polk County,Georgia,13,233,2135.0
Pulaski County,Georgia,13,235,1085.0
Putnam County,Georgia,13,237,716.0
Quitman County,Georgia,13,239,146.0
Rabun County,Georgia,13,241,653.0
Randolph County,Georgia,13,243,196.0
Richmond County,Georgia,13,245,7262.0
Rockdale County,Georgia,13,247,2115.0
Schley County,Georgia,13,249,220.0
Screven County,Georgia,13,251,494.0
Seminole County,Georgia,13,253,575.0
Spalding County,Georgia,13,255,3112.0
Stephens County,Georgia,13,257,1220.0
Stewart County,Georgia,13,259,133.0
Sumter County,Georgia,13,261,1088.0
Talbot County,Georgia,13,263,264.0
Taliaferro County,Georgia,13,265,83.0
Tattnall County,Georgia,13,267,2173.0
Taylor County,Georgia,13,269,410.0
Telfair County,Georgia,13,271,1450.0
Terrell County,Georgia,13,273,273.0
Thomas County,Georgia,13,275,1779.0
Tift County,Georgia,13,277,1327.0
Toombs County,Georgia,13,279,1083.0
Towns County,Georgia,13,281,473.0
Treutlen County,Georgia,13,283,423.0
Troup County,Georgia,13,285,3409.0
Turner County,Georgia,13,287,382.0
Twiggs County,Georgia,13,289,336.0
Union County,Georgia,13,291,895.0
Upson County,Georgia,13,293,1676.0
Walker County,Georgia,13,295,5549.0
Walton County,Georgia,13,297,3776.0
Ware County,Georgia,13,299,2424.0
Warren County,Georgia,13,301,245.0
Washington County,Georgia,13,303,1242.0
Wayne County,Georgia,13,305,2203.0
Webster County,Georgia,13,307,99.0
Wheeler County,Georgia,13,309,1105.0
White County,Georgia,13,311,1392.0
Whitfield County,Georgia,13,313,4073.0
Wilcox County,Georgia,13,315,928.0
Wilkes County,Georgia,13,317,495.0
Wilkinson County,Georgia,13,319,444.0
Worth County,Georgia,13,321,884.0
Hawaii County,Hawaii,15,001,2913.0
Honolulu County,Hawaii,15,003,14847.0
Kauai County,Hawaii,15,007,1242.0
Kalawao County,Hawaii,15,005,3.0
Maui County,Hawaii,15,009,3372.0
Ada County,Idaho,16,001,11743.0
Adams County,Idaho,16,003,191.0
Bannock County,Idaho,16,005,2714.0
Bear Lake County,Idaho,16,007,133.0
Benewah County,Idaho,16,009,377.0
Bingham County,Idaho,16,011,1303.0
Blaine County,Idaho,16,013,168.0
Boise County,Idaho,16,015,230.0
Bonner County,Idaho,16,017,1522.0
Bonneville County,Idaho,16,019,3330.0
Boundary County,Idaho,16,021,523.0
Butte County,Idaho,16,023,103.0
Camas County,Idaho,16,025,17.0
Canyon County,Idaho,16,027,8734.0
Caribou County,Idaho,16,029,222.0
Cassia County,Idaho,16,031,547.0
Clearwater County,Idaho,16,035,506.0
Custer County,Idaho,16,037,164.0
Elmore County,Idaho,16,039,702.0
Franklin County,Idaho,16,041,233.0
Fremont County,Idaho,16,043,563.0
Gem County,Idaho,16,045,760.0
Gooding County,Idaho,16,047,501.0
Idaho County,Idaho,16,049,665.0
Jefferson County,Idaho,16,051,615.0
Jerome County,Idaho,16,053,637.0
Kootenai County,Idaho,16,055,5060.0
Latah County,Idaho,16,057,676.0
Lemhi County,Idaho,16,059,388.0
Lewis County,Idaho,16,061,170.0
Lincoln County,Idaho,16,063,94.0
Madison County,Idaho,16,065,318.0
Minidoka County,Idaho,16,067,500.0
Nez Perce County,Idaho,16,069,1387.0
Oneida County,Idaho,16,071,142.0
Owyhee County,Idaho,16,073,427.0
Payette County,Idaho,16,075,1318.0
Power County,Idaho,16,077,400.0
Shoshone County,Idaho,16,079,728.0
Teton County,Idaho,16,081,128.0
Twin Falls County,Idaho,16,083,2625.0
Valley County,Idaho,16,085,436.0
Washington County,Idaho,16,087,587.0
Adams County,Illinois,17,001,2013.0
Alexander County,Illinois,17,003,361.0
Bond County,Illinois,17,005,1096.0
Boone County,Illinois,17,007,2030.0
Brown County,Illinois,17,009,422.0
Bureau County,Illinois,17,011,1145.0
Calhoun County,Illinois,17,013,167.0
Carroll County,Illinois,17,015,629.0
Cass County,Illinois,17,017,475.0
Champaign County,Illinois,17,019,3804.0
Christian County,Illinois,17,021,1813.0
Clark County,Illinois,17,023,686.0
Clay County,Illinois,17,025,625.0
Clinton County,Illinois,17,027,1208.0
Coles County,Illinois,17,029,1828.0
Cook County,Illinois,17,031,94419.0
Crawford County,Illinois,17,033,864.0
Cumberland County,Illinois,17,035,390.0
DeKalb County,Illinois,17,037,2380.0
De Witt County,Illinois,17,039,666.0
Douglas County,Illinois,17,041,760.0
DuPage County,Illinois,17,043,11497.0
Edgar County,Illinois,17,045,990.0
Edwards County,Illinois,17,047,179.0
Effingham County,Illinois,17,049,1007.0
Fayette County,Illinois,17,051,1072.0
Ford County,Illinois,17,053,446.0
Franklin County,Illinois,17,055,1508.0
Fulton County,Illinois,17,057,1394.0
Gallatin County,Illinois,17,059,331.0
Greene County,Illinois,17,061,560.0
Grundy County,Illinois,17,063,1710.0
Hamilton County,Illinois,17,065,302.0
Hancock County,Illinois,17,067,549.0
Hardin County,Illinois,17,069,159.0
Henderson County,Illinois,17,071,316.0
Henry County,Illinois,17,073,1712.0
Iroquois County,Illinois,17,075,1026.0
Jackson County,Illinois,17,077,1563.0
Jasper County,Illinois,17,079,289.0
Jefferson County,Illinois,17,081,1640.0
Jersey County,Illinois,17,083,777.0
Jo Daviess County,Illinois,17,085,662.0
Johnson County,Illinois,17,087,715.0
Kane County,Illinois,17,089,11494.0
Kankakee County,Illinois,17,091,3135.0
Kendall County,Illinois,17,093,2098.0
Knox County,Illinois,17,095,2330.0
Lake County,Illinois,17,097,13323.0
LaSalle County,Illinois,17,099,4040.0
Lawrence County,Illinois,17,101,1202.0
Lee County,Illinois,17,103,1264.0
Livingston County,Illinois,17,105,1814.0
Logan County,Illinois,17,107,1729.0
McDonough County,Illinois,17,109,717.0
McHenry County,Illinois,17,111,5901.0
McLean County,Illinois,17,113,4083.0
Macon County,Illinois,17,115,4570.0
Macoupin County,Illinois,17,117,1982.0
Madison County,Illinois,17,119,9952.0
Marion County,Illinois,17,121,1810.0
Marshall County,Illinois,17,123,316.0
Mason County,Illinois,17,125,703.0
Massac County,Illinois,17,127,643.0
Menard County,Illinois,17,129,563.0
Mercer County,Illinois,17,131,545.0
Monroe County,Illinois,17,133,858.0
Montgomery County,Illinois,17,135,1859.0
Morgan County,Illinois,17,137,1338.0
Moultrie County,Illinois,17,139,757.0
Ogle County,Illinois,17,141,1741.0
Peoria County,Illinois,17,143,5613.0
Perry County,Illinois,17,145,1164.0
Piatt County,Illinois,17,147,419.0
Pike County,Illinois,17,149,619.0
Pope County,Illinois,17,151,200.0
Pulaski County,Illinois,17,153,177.0
Putnam County,Illinois,17,155,149.0
Randolph County,Illinois,17,157,1885.0
Richland County,Illinois,17,159,710.0
Rock Island County,Illinois,17,161,5017.0
Saint Clair County,Illinois,17,163,8236.0
Saline County,Illinois,17,165,1297.0
Sangamon County,Illinois,17,167,5864.0
Schuyler County,Illinois,17,169,293.0
Scott County,Illinois,17,171,130.0
Shelby County,Illinois,17,173,806.0
Stark County,Illinois,17,175,184.0
Stephenson County,Illinois,17,177,1639.0
Tazewell County,Illinois,17,179,4949.0
Union County,Illinois,17,181,615.0
Vermilion County,Illinois,17,183,4630.0
Wabash County,Illinois,17,185,558.0
Warren County,Illinois,17,187,546.0
Washington County,Illinois,17,189,544.0
Wayne County,Illinois,17,191,665.0
