County,State,State_FIPS,County_FIPS,doctorate_degree
DeKalb County,Georgia,13,089,12170.0
Dodge County,Georgia,13,091,89.0
Dooly County,Georgia,13,093,28.0
Dougherty County,Georgia,13,095,572.0
Douglas County,Georgia,13,097,535.0
Early County,Georgia,13,099,14.0
Echols County,Georgia,13,101,11.0
Effingham County,Georgia,13,103,58.0
Elbert County,Georgia,13,105,34.0
Emanuel County,Georgia,13,107,120.0
Evans County,Georgia,13,109,80.0
Fannin County,Georgia,13,111,124.0
Fayette County,Georgia,13,113,1084.0
Floyd County,Georgia,13,115,558.0
Forsyth County,Georgia,13,117,1584.0
Franklin County,Georgia,13,119,68.0
Fulton County,Georgia,13,121,12864.0
Gilmer County,Georgia,13,123,122.0
Glascock County,Georgia,13,125,7.0
Glynn County,Georgia,13,127,515.0
Gordon County,Georgia,13,129,267.0
Grady County,Georgia,13,131,47.0
Greene County,Georgia,13,133,99.0
Gwinnett County,Georgia,13,135,7262.0
Habersham County,Georgia,13,137,262.0
Hall County,Georgia,13,139,1098.0
Hancock County,Georgia,13,141,9.0
Haralson County,Georgia,13,143,158.0
Harris County,Georgia,13,145,195.0
Hart County,Georgia,13,147,128.0
Heard County,Georgia,13,149,38.0
Henry County,Georgia,13,151,1300.0
Houston County,Georgia,13,153,508.0
Irwin County,Georgia,13,155,73.0
Jackson County,Georgia,13,157,220.0
Jasper County,Georgia,13,159,56.0
Jeff Davis County,Georgia,13,161,50.0
Jefferson County,Georgia,13,163,4.0
Jenkins County,Georgia,13,165,0.0
Johnson County,Georgia,13,167,72.0
Jones County,Georgia,13,169,114.0
Lamar County,Georgia,13,171,156.0
Lanier County,Georgia,13,173,17.0
Laurens County,Georgia,13,175,188.0
Lee County,Georgia,13,177,130.0
Liberty County,Georgia,13,179,237.0
Lincoln County,Georgia,13,181,22.0
Long County,Georgia,13,183,23.0
Lowndes County,Georgia,13,185,856.0
Lumpkin County,Georgia,13,187,319.0
McDuffie County,Georgia,13,189,77.0
McIntosh County,Georgia,13,191,91.0
Macon County,Georgia,13,193,54.0
Madison County,Georgia,13,195,131.0
Marion County,Georgia,13,197,9.0
Meriwether County,Georgia,13,199,39.0
Miller County,Georgia,13,201,24.0
Mitchell County,Georgia,13,205,68.0
Monroe County,Georgia,13,207,231.0
Montgomery County,Georgia,13,209,48.0
Morgan County,Georgia,13,211,55.0
Murray County,Georgia,13,213,150.0
Muscogee County,Georgia,13,215,1490.0
Newton County,Georgia,13,217,503.0
Oconee County,Georgia,13,219,1167.0
Oglethorpe County,Georgia,13,221,76.0
Paulding County,Georgia,13,223,503.0
Peach County,Georgia,13,225,154.0
Pickens County,Georgia,13,227,121.0
Pierce County,Georgia,13,229,145.0
Pike County,Georgia,13,231,114.0
Polk County,Georgia,13,233,78.0
Pulaski County,Georgia,13,235,70.0
Putnam County,Georgia,13,237,85.0
Quitman County,Georgia,13,239,0.0
Rabun County,Georgia,13,241,295.0
Randolph County,Georgia,13,243,38.0
Richmond County,Georgia,13,245,1696.0
Rockdale County,Georgia,13,247,574.0
Schley County,Georgia,13,249,27.0
Screven County,Georgia,13,251,47.0
Seminole County,Georgia,13,253,48.0
Spalding County,Georgia,13,255,418.0
Stephens County,Georgia,13,257,75.0
Stewart County,Georgia,13,259,2.0
Sumter County,Georgia,13,261,339.0
Talbot County,Georgia,13,263,42.0
Taliaferro County,Georgia,13,265,7.0
Tattnall County,Georgia,13,267,44.0
Taylor County,Georgia,13,269,11.0
Telfair County,Georgia,13,271,49.0
Terrell County,Georgia,13,273,57.0
Thomas County,Georgia,13,275,506.0
Tift County,Georgia,13,277,370.0
Toombs County,Georgia,13,279,92.0
Towns County,Georgia,13,281,109.0
Treutlen County,Georgia,13,283,38.0
Troup County,Georgia,13,285,374.0
Turner County,Georgia,13,287,14.0
Twiggs County,Georgia,13,289,0.0
Union County,Georgia,13,291,161.0
Upson County,Georgia,13,293,87.0
Walker County,Georgia,13,295,267.0
Walton County,Georgia,13,297,300.0
Ware County,Georgia,13,299,150.0
Warren County,Georgia,13,301,5.0
Washington County,Georgia,13,303,13.0
Wayne County,Georgia,13,305,117.0
Webster County,Georgia,13,307,2.0
Wheeler County,Georgia,13,309,0.0
White County,Georgia,13,311,158.0
Whitfield County,Georgia,13,313,208.0
Wilcox County,Georgia,13,315,25.0
Wilkes County,Georgia,13,317,101.0
Wilkinson County,Georgia,13,319,13.0
Worth County,Georgia,13,321,43.0
Hawaii County,Hawaii,15,001,1981.0
Honolulu County,Hawaii,15,003,10111.0
Kauai County,Hawaii,15,007,591.0
Kalawao County,Hawaii,15,005,2.0
Maui County,Hawaii,15,009,1040.0
Ada County,Idaho,16,001,4010.0
Adams County,Idaho,16,003,8.0
Bannock County,Idaho,16,005,962.0
Bear Lake County,Idaho,16,007,25.0
Benewah County,Idaho,16,009,30.0
Bingham County,Idaho,16,011,84.0
Blaine County,Idaho,16,013,278.0
Boise County,Idaho,16,015,72.0
Bonner County,Idaho,16,017,318.0
Bonneville County,Idaho,16,019,850.0
Boundary County,Idaho,16,021,35.0
Butte County,Idaho,16,023,5.0
Camas County,Idaho,16,025,7.0
Canyon County,Idaho,16,027,828.0
Caribou County,Idaho,16,029,74.0
Cassia County,Idaho,16,031,49.0
Clearwater County,Idaho,16,035,28.0
Custer County,Idaho,16,037,10.0
Elmore County,Idaho,16,039,71.0
Franklin County,Idaho,16,041,49.0
Fremont County,Idaho,16,043,55.0
Gem County,Idaho,16,045,17.0
Gooding County,Idaho,16,047,18.0
Idaho County,Idaho,16,049,81.0
Jefferson County,Idaho,16,051,55.0
Jerome County,Idaho,16,053,49.0
Kootenai County,Idaho,16,055,881.0
Latah County,Idaho,16,057,979.0
Lemhi County,Idaho,16,059,40.0
Lewis County,Idaho,16,061,5.0
Lincoln County,Idaho,16,063,10.0
Madison County,Idaho,16,065,445.0
Minidoka County,Idaho,16,067,22.0
Nez Perce County,Idaho,16,069,166.0
Oneida County,Idaho,16,071,10.0
Owyhee County,Idaho,16,073,14.0
Payette County,Idaho,16,075,138.0
Power County,Idaho,16,077,29.0
Shoshone County,Idaho,16,079,65.0
Teton County,Idaho,16,081,70.0
Twin Falls County,Idaho,16,083,300.0
Valley County,Idaho,16,085,63.0
Washington County,Idaho,16,087,0.0
Adams County,Illinois,17,001,347.0
Alexander County,Illinois,17,003,7.0
Bond County,Illinois,17,005,108.0
Boone County,Illinois,17,007,291.0
Brown County,Illinois,17,009,4.0
Bureau County,Illinois,17,011,145.0
Calhoun County,Illinois,17,013,12.0
Carroll County,Illinois,17,015,54.0
Cass County,Illinois,17,017,15.0
Champaign County,Illinois,17,019,6165.0
Christian County,Illinois,17,021,116.0
Clark County,Illinois,17,023,47.0
Clay County,Illinois,17,025,34.0
Clinton County,Illinois,17,027,77.0
Coles County,Illinois,17,029,728.0
Cook County,Illinois,17,031,50581.0
Crawford County,Illinois,17,033,53.0
Cumberland County,Illinois,17,035,30.0
DeKalb County,Illinois,17,037,1080.0
De Witt County,Illinois,17,039,37.0
Douglas County,Illinois,17,041,52.0
DuPage County,Illinois,17,043,11002.0
Edgar County,Illinois,17,045,14.0
Edwards County,Illinois,17,047,11.0
Effingham County,Illinois,17,049,85.0
Fayette County,Illinois,17,051,17.0
Ford County,Illinois,17,053,23.0
Franklin County,Illinois,17,055,98.0
Fulton County,Illinois,17,057,93.0
Gallatin County,Illinois,17,059,18.0
Greene County,Illinois,17,061,25.0
Grundy County,Illinois,17,063,78.0
Hamilton County,Illinois,17,065,28.0
Hancock County,Illinois,17,067,149.0
Hardin County,Illinois,17,069,0.0
Henderson County,Illinois,17,071,5.0
Henry County,Illinois,17,073,104.0
Iroquois County,Illinois,17,075,82.0
Jackson County,Illinois,17,077,1349.0
Jasper County,Illinois,17,079,28.0
Jefferson County,Illinois,17,081,177.0
Jersey County,Illinois,17,083,86.0
Jo Daviess County,Illinois,17,085,78.0
Johnson County,Illinois,17,087,48.0
Kane County,Illinois,17,089,2884.0
Kankakee County,Illinois,17,091,342.0
Kendall County,Illinois,17,093,466.0
Knox County,Illinois,17,095,233.0
Lake County,Illinois,17,097,7564.0
LaSalle County,Illinois,17,099,456.0
Lawrence County,Illinois,17,101,9.0
Lee County,Illinois,17,103,122.0
Livingston County,Illinois,17,105,179.0
Logan County,Illinois,17,107,104.0
McDonough County,Illinois,17,109,788.0
McHenry County,Illinois,17,111,1568.0
McLean County,Illinois,17,113,2264.0
Macon County,Illinois,17,115,579.0
Macoupin County,Illinois,17,117,119.0
Madison County,Illinois,17,119,1836.0
Marion County,Illinois,17,121,47.0
Marshall County,Illinois,17,123,36.0
Mason County,Illinois,17,125,56.0
Massac County,Illinois,17,127,17.0
Menard County,Illinois,17,129,82.0
Mercer County,Illinois,17,131,37.0
Monroe County,Illinois,17,133,185.0
Montgomery County,Illinois,17,135,145.0
Morgan County,Illinois,17,137,191.0
Moultrie County,Illinois,17,139,40.0
Ogle County,Illinois,17,141,129.0
Peoria County,Illinois,17,143,1246.0
Perry County,Illinois,17,145,41.0
Piatt County,Illinois,17,147,112.0
Pike County,Illinois,17,149,42.0
Pope County,Illinois,17,151,5.0
Pulaski County,Illinois,17,153,0.0
Putnam County,Illinois,17,155,11.0
Randolph County,Illinois,17,157,88.0
Richland County,Illinois,17,159,22.0
Rock Island County,Illinois,17,161,713.0
Saint Clair County,Illinois,17,163,1108.0
Saline County,Illinois,17,165,75.0
Sangamon County,Illinois,17,167,1406.0
Schuyler County,Illinois,17,169,74.0
Scott County,Illinois,17,171,7.0
Shelby County,Illinois,17,173,20.0
Stark County,Illinois,17,175,12.0
Stephenson County,Illinois,17,177,153.0
Tazewell County,Illinois,17,179,477.0
Union County,Illinois,17,181,86.0
Vermilion County,Illinois,17,183,92.0
Wabash County,Illinois,17,185,25.0
Warren County,Illinois,17,187,180.0
Washington County,Illinois,17,189,48.0
Wayne County,Illinois,17,191,27.0
White County,Illinois,17,193,38.0
Whiteside County,Illinois,17,195,105.0
Will County,Illinois,17,197,4486.0
Williamson County,Illinois,17,199,441.0
Winnebago County,Illinois,17,201,1198.0
Woodford County,Illinois,17,203,301.0
Adams County,Indiana,18,001,64.0
Allen County,Indiana,18,003,1694.0
Bartholomew County,Indiana,18,005,632.0
Benton County,Indiana,18,007,12.0
Blackford County,Indiana,18,009,42.0
Boone County,Indiana,18,011,1084.0
Brown County,Indiana,18,013,105.0
Carroll County,Indiana,18,015,47.0
Cass County,Indiana,18,017,135.0
Clark County,Indiana,18,019,502.0
Clay County,Indiana,18,021,67.0
Clinton County,Indiana,18,023,40.0
Crawford County,Indiana,18,025,11.0
Daviess County,Indiana,18,027,52.0
Dearborn County,Indiana,18,029,60.0
Decatur County,Indiana,18,031,56.0
DeKalb County,Indiana,18,033,77.0
Delaware County,Indiana,18,035,1128.0
Dubois County,Indiana,18,037,106.0
Elkhart County,Indiana,18,039,478.0
Fayette County,Indiana,18,041,20.0
Floyd County,Indiana,18,043,421.0
Fountain County,Indiana,18,045,22.0
Franklin County,Indiana,18,047,179.0
Fulton County,Indiana,18,049,9.0
Gibson County,Indiana,18,051,103.0
Grant County,Indiana,18,053,348.0
Greene County,Indiana,18,055,43.0
Hamilton County,Indiana,18,057,4886.0
Hancock County,Indiana,18,059,232.0
