County,State,State_FIPS,County_FIPS,some_college_less_1_year
New Haven County,Connecticut,09,009,29866.0
New London County,Connecticut,09,011,12336.0
Tolland County,Connecticut,09,013,5954.0
Windham County,Connecticut,09,015,6657.0
Kent County,Delaware,10,001,7895.0
New Castle County,Delaware,10,003,21955.0
Sussex County,Delaware,10,005,9984.0
Alachua County,Florida,12,001,8129.0
Baker County,Florida,12,003,1616.0
Bay County,Florida,12,005,10990.0
Bradford County,Florida,12,007,1270.0
Brevard County,Florida,12,009,32019.0
Broward County,Florida,12,011,78483.0
Calhoun County,Florida,12,013,798.0
Charlotte County,Florida,12,015,12575.0
Citrus County,Florida,12,017,9996.0
Clay County,Florida,12,019,12322.0
Collier County,Florida,12,021,13997.0
Columbia County,Florida,12,023,4232.0
Miami-Dade County,Florida,12,086,80448.0
DeSoto County,Florida,12,027,1433.0
Dixie County,Florida,12,029,681.0
Duval County,Florida,12,031,47015.0
Escambia County,Florida,12,033,13773.0
Flagler County,Florida,12,035,7264.0
Franklin County,Florida,12,037,508.0
Gadsden County,Florida,12,039,1817.0
Gilchrist County,Florida,12,041,759.0
Glades County,Florida,12,043,581.0
Gulf County,Florida,12,045,1273.0
Hamilton County,Florida,12,047,632.0
Hardee County,Florida,12,049,933.0
Hendry County,Florida,12,051,1314.0
Hernando County,Florida,12,053,10673.0
Highlands County,Florida,12,055,6123.0
Hillsborough County,Florida,12,057,52833.0
Holmes County,Florida,12,059,975.0
Indian River County,Florida,12,061,8469.0
Jackson County,Florida,12,063,2790.0
Jefferson County,Florida,12,065,771.0
Lafayette County,Florida,12,067,488.0
Lake County,Florida,12,069,19450.0
Lee County,Florida,12,071,37553.0
Leon County,Florida,12,073,10663.0
Levy County,Florida,12,075,2084.0
Liberty County,Florida,12,077,321.0
Madison County,Florida,12,079,929.0
Manatee County,Florida,12,081,20646.0
Marion County,Florida,12,083,20921.0
Martin County,Florida,12,085,8606.0
Monroe County,Florida,12,087,3929.0
Nassau County,Florida,12,089,4579.0
Okaloosa County,Florida,12,091,10824.0
Okeechobee County,Florida,12,093,2003.0
Orange County,Florida,12,095,47517.0
Osceola County,Florida,12,097,14617.0
Palm Beach County,Florida,12,099,59399.0
Pasco County,Florida,12,101,27441.0
Pinellas County,Florida,12,103,54836.0
Polk County,Florida,12,105,30554.0
Putnam County,Florida,12,107,3130.0
Saint Johns County,Florida,12,109,11768.0
Saint Lucie County,Florida,12,111,16817.0
Santa Rosa County,Florida,12,113,9424.0
Sarasota County,Florida,12,115,22175.0
Seminole County,Florida,12,117,17949.0
Sumter County,Florida,12,119,10104.0
Suwannee County,Florida,12,121,2633.0
Taylor County,Florida,12,123,1105.0
Union County,Florida,12,125,788.0
Volusia County,Florida,12,127,33175.0
Wakulla County,Florida,12,129,1691.0
Walton County,Florida,12,131,4006.0
Washington County,Florida,12,133,1405.0
Appling County,Georgia,13,001,845.0
Atkinson County,Georgia,13,003,192.0
Bacon County,Georgia,13,005,572.0
Baker County,Georgia,13,007,84.0
Baldwin County,Georgia,13,009,1371.0
Banks County,Georgia,13,011,895.0
Barrow County,Georgia,13,013,4714.0
Bartow County,Georgia,13,015,4841.0
Ben Hill County,Georgia,13,017,679.0
Berrien County,Georgia,13,019,632.0
Bibb County,Georgia,13,021,4987.0
Bleckley County,Georgia,13,023,413.0
Brantley County,Georgia,13,025,976.0
Brooks County,Georgia,13,027,773.0
Bryan County,Georgia,13,029,1616.0
Bulloch County,Georgia,13,031,2635.0
Burke County,Georgia,13,033,671.0
Butts County,Georgia,13,035,884.0
Calhoun County,Georgia,13,037,206.0
Camden County,Georgia,13,039,2774.0
Candler County,Georgia,13,043,552.0
Carroll County,Georgia,13,045,4898.0
Catoosa County,Georgia,13,047,3376.0
Charlton County,Georgia,13,049,355.0
Chatham County,Georgia,13,051,12256.0
Chattahoochee County,Georgia,13,053,439.0
Chattooga County,Georgia,13,055,842.0
Cherokee County,Georgia,13,057,10945.0
Clarke County,Georgia,13,059,2750.0
Clay County,Georgia,13,061,97.0
Clayton County,Georgia,13,063,9931.0
Clinch County,Georgia,13,065,325.0
Cobb County,Georgia,13,067,23095.0
Coffee County,Georgia,13,069,1243.0
Colquitt County,Georgia,13,071,1633.0
Columbia County,Georgia,13,073,6190.0
Cook County,Georgia,13,075,520.0
Coweta County,Georgia,13,077,6451.0
Crawford County,Georgia,13,079,579.0
Crisp County,Georgia,13,081,1110.0
Dade County,Georgia,13,083,626.0
Dawson County,Georgia,13,085,1026.0
Decatur County,Georgia,13,087,899.0
DeKalb County,Georgia,13,089,20199.0
Dodge County,Georgia,13,091,654.0
Dooly County,Georgia,13,093,607.0
Dougherty County,Georgia,13,095,3690.0
Douglas County,Georgia,13,097,5966.0
Early County,Georgia,13,099,287.0
Echols County,Georgia,13,101,167.0
Effingham County,Georgia,13,103,2326.0
Elbert County,Georgia,13,105,816.0
Emanuel County,Georgia,13,107,692.0
Evans County,Georgia,13,109,423.0
Fannin County,Georgia,13,111,1548.0
Fayette County,Georgia,13,113,4213.0
Floyd County,Georgia,13,115,3328.0
Forsyth County,Georgia,13,117,6749.0
Franklin County,Georgia,13,119,1001.0
Fulton County,Georgia,13,121,24207.0
Gilmer County,Georgia,13,123,1172.0
Glascock County,Georgia,13,125,138.0
Glynn County,Georgia,13,127,4254.0
Gordon County,Georgia,13,129,2869.0
Grady County,Georgia,13,131,1218.0
Greene County,Georgia,13,133,764.0
Gwinnett County,Georgia,13,135,28081.0
Habersham County,Georgia,13,137,2126.0
Hall County,Georgia,13,139,8887.0
Hancock County,Georgia,13,141,194.0
Haralson County,Georgia,13,143,1640.0
Harris County,Georgia,13,145,1887.0
Hart County,Georgia,13,147,1062.0
Heard County,Georgia,13,149,528.0
Henry County,Georgia,13,151,9173.0
Houston County,Georgia,13,153,6739.0
Irwin County,Georgia,13,155,337.0
Jackson County,Georgia,13,157,3186.0
Jasper County,Georgia,13,159,817.0
Jeff Davis County,Georgia,13,161,581.0
Jefferson County,Georgia,13,163,355.0
Jenkins County,Georgia,13,165,415.0
Johnson County,Georgia,13,167,340.0
Jones County,Georgia,13,169,1323.0
Lamar County,Georgia,13,171,867.0
Lanier County,Georgia,13,173,322.0
Laurens County,Georgia,13,175,1453.0
Lee County,Georgia,13,177,1351.0
Liberty County,Georgia,13,179,3052.0
Lincoln County,Georgia,13,181,337.0
Long County,Georgia,13,183,921.0
Lowndes County,Georgia,13,185,3817.0
Lumpkin County,Georgia,13,187,1300.0
McDuffie County,Georgia,13,189,697.0
McIntosh County,Georgia,13,191,664.0
Macon County,Georgia,13,193,601.0
Madison County,Georgia,13,195,1154.0
Marion County,Georgia,13,197,308.0
Meriwether County,Georgia,13,199,862.0
Miller County,Georgia,13,201,187.0
Mitchell County,Georgia,13,205,994.0
Monroe County,Georgia,13,207,900.0
Montgomery County,Georgia,13,209,363.0
Morgan County,Georgia,13,211,639.0
Murray County,Georgia,13,213,1400.0
Muscogee County,Georgia,13,215,8998.0
Newton County,Georgia,13,217,4600.0
Oconee County,Georgia,13,219,1294.0
Oglethorpe County,Georgia,13,221,556.0
Paulding County,Georgia,13,223,7351.0
Peach County,Georgia,13,225,1049.0
Pickens County,Georgia,13,227,1418.0
Pierce County,Georgia,13,229,1008.0
Pike County,Georgia,13,231,818.0
Polk County,Georgia,13,233,1754.0
Pulaski County,Georgia,13,235,592.0
Putnam County,Georgia,13,237,902.0
Quitman County,Georgia,13,239,91.0
Rabun County,Georgia,13,241,796.0
Randolph County,Georgia,13,243,275.0
Richmond County,Georgia,13,245,8017.0
Rockdale County,Georgia,13,247,3420.0
Schley County,Georgia,13,249,193.0
Screven County,Georgia,13,251,381.0
Seminole County,Georgia,13,253,502.0
Spalding County,Georgia,13,255,2556.0
Stephens County,Georgia,13,257,992.0
Stewart County,Georgia,13,259,199.0
Sumter County,Georgia,13,261,1025.0
Talbot County,Georgia,13,263,272.0
Taliaferro County,Georgia,13,265,62.0
Tattnall County,Georgia,13,267,1065.0
Taylor County,Georgia,13,269,351.0
Telfair County,Georgia,13,271,268.0
Terrell County,Georgia,13,273,391.0
Thomas County,Georgia,13,275,2070.0
Tift County,Georgia,13,277,1558.0
Toombs County,Georgia,13,279,766.0
Towns County,Georgia,13,281,539.0
Treutlen County,Georgia,13,283,269.0
Troup County,Georgia,13,285,2956.0
Turner County,Georgia,13,287,297.0
Twiggs County,Georgia,13,289,362.0
Union County,Georgia,13,291,1795.0
Upson County,Georgia,13,293,939.0
Walker County,Georgia,13,295,3046.0
Walton County,Georgia,13,297,4194.0
Ware County,Georgia,13,299,1609.0
Warren County,Georgia,13,301,135.0
Washington County,Georgia,13,303,922.0
Wayne County,Georgia,13,305,1430.0
Webster County,Georgia,13,307,97.0
Wheeler County,Georgia,13,309,143.0
White County,Georgia,13,311,1473.0
Whitfield County,Georgia,13,313,3625.0
Wilcox County,Georgia,13,315,250.0
Wilkes County,Georgia,13,317,374.0
Wilkinson County,Georgia,13,319,315.0
Worth County,Georgia,13,321,837.0
Hawaii County,Hawaii,15,001,7604.0
Honolulu County,Hawaii,15,003,38624.0
Kauai County,Hawaii,15,007,2113.0
Kalawao County,Hawaii,15,005,5.0
Maui County,Hawaii,15,009,7396.0
Ada County,Idaho,16,001,26021.0
Adams County,Idaho,16,003,249.0
Bannock County,Idaho,16,005,4757.0
Bear Lake County,Idaho,16,007,311.0
Benewah County,Idaho,16,009,525.0
Bingham County,Idaho,16,011,2478.0
Blaine County,Idaho,16,013,698.0
Boise County,Idaho,16,015,557.0
Bonner County,Idaho,16,017,2621.0
Bonneville County,Idaho,16,019,5507.0
Boundary County,Idaho,16,021,658.0
Butte County,Idaho,16,023,191.0
Camas County,Idaho,16,025,40.0
Canyon County,Idaho,16,027,12557.0
Caribou County,Idaho,16,029,379.0
Cassia County,Idaho,16,031,1019.0
Clearwater County,Idaho,16,035,676.0
Custer County,Idaho,16,037,239.0
Elmore County,Idaho,16,039,1635.0
Franklin County,Idaho,16,041,817.0
Fremont County,Idaho,16,043,591.0
Gem County,Idaho,16,045,1022.0
Gooding County,Idaho,16,047,602.0
Idaho County,Idaho,16,049,1178.0
Jefferson County,Idaho,16,051,1406.0
Jerome County,Idaho,16,053,1137.0
Kootenai County,Idaho,16,055,9598.0
Latah County,Idaho,16,057,1278.0
Lemhi County,Idaho,16,059,574.0
Lewis County,Idaho,16,061,203.0
Lincoln County,Idaho,16,063,276.0
Madison County,Idaho,16,065,1090.0
Minidoka County,Idaho,16,067,940.0
Nez Perce County,Idaho,16,069,2495.0
Oneida County,Idaho,16,071,332.0
Owyhee County,Idaho,16,073,581.0
Payette County,Idaho,16,075,1527.0
Power County,Idaho,16,077,375.0
Shoshone County,Idaho,16,079,575.0
Teton County,Idaho,16,081,383.0
Twin Falls County,Idaho,16,083,4503.0
Valley County,Idaho,16,085,590.0
Washington County,Idaho,16,087,698.0
Adams County,Illinois,17,001,4507.0
Alexander County,Illinois,17,003,361.0
Bond County,Illinois,17,005,1027.0
Boone County,Illinois,17,007,2685.0
Brown County,Illinois,17,009,470.0
Bureau County,Illinois,17,011,2040.0
Calhoun County,Illinois,17,013,194.0
Carroll County,Illinois,17,015,944.0
Cass County,Illinois,17,017,713.0
Champaign County,Illinois,17,019,8182.0
Christian County,Illinois,17,021,1940.0
Clark County,Illinois,17,023,961.0
Clay County,Illinois,17,025,992.0
Clinton County,Illinois,17,027,2310.0
Coles County,Illinois,17,029,2929.0
Cook County,Illinois,17,031,176070.0
Crawford County,Illinois,17,033,1140.0
Cumberland County,Illinois,17,035,701.0
DeKalb County,Illinois,17,037,5404.0
De Witt County,Illinois,17,039,1005.0
Douglas County,Illinois,17,041,1112.0
DuPage County,Illinois,17,043,36927.0
Edgar County,Illinois,17,045,1073.0
Edwards County,Illinois,17,047,437.0
Effingham County,Illinois,17,049,1871.0
Fayette County,Illinois,17,051,1079.0
Ford County,Illinois,17,053,702.0
Franklin County,Illinois,17,055,3040.0
Fulton County,Illinois,17,057,2600.0
Gallatin County,Illinois,17,059,408.0
Greene County,Illinois,17,061,717.0
Grundy County,Illinois,17,063,2792.0
Hamilton County,Illinois,17,065,525.0
Hancock County,Illinois,17,067,964.0
Hardin County,Illinois,17,069,302.0
Henderson County,Illinois,17,071,437.0
Henry County,Illinois,17,073,2796.0
Iroquois County,Illinois,17,075,1720.0
Jackson County,Illinois,17,077,2334.0
Jasper County,Illinois,17,079,451.0
Jefferson County,Illinois,17,081,2626.0
Jersey County,Illinois,17,083,1061.0
Jo Daviess County,Illinois,17,085,1123.0
Johnson County,Illinois,17,087,912.0
Kane County,Illinois,17,089,24100.0
Kankakee County,Illinois,17,091,5704.0
