County,State,State_FIPS,County_FIPS,bachelors_degree
Holmes County,Florida,12,059,892.0
Indian River County,Florida,12,061,17760.0
Jackson County,Florida,12,063,3197.0
Jefferson County,Florida,12,065,1264.0
Lafayette County,Florida,12,067,475.0
Lake County,Florida,12,069,30933.0
Lee County,Florida,12,071,75812.0
Leon County,Florida,12,073,40965.0
Levy County,Florida,12,075,1973.0
Liberty County,Florida,12,077,506.0
Madison County,Florida,12,079,857.0
Manatee County,Florida,12,081,40817.0
Marion County,Florida,12,083,27759.0
Martin County,Florida,12,085,21956.0
Monroe County,Florida,12,087,10495.0
Nassau County,Florida,12,089,8185.0
Okaloosa County,Florida,12,091,21633.0
Okeechobee County,Florida,12,093,1915.0
Orange County,Florida,12,095,158712.0
Osceola County,Florida,12,097,23639.0
Palm Beach County,Florida,12,099,199944.0
Pasco County,Florida,12,101,48578.0
Pinellas County,Florida,12,103,129420.0
Polk County,Florida,12,105,53596.0
Putnam County,Florida,12,107,3835.0
Saint Johns County,Florida,12,109,38920.0
Saint Lucie County,Florida,12,111,24922.0
Santa Rosa County,Florida,12,113,19039.0
Sarasota County,Florida,12,115,55967.0
Seminole County,Florida,12,117,68513.0
Sumter County,Florida,12,119,14182.0
Suwannee County,Florida,12,121,2599.0
Taylor County,Florida,12,123,981.0
Union County,Florida,12,125,699.0
Volusia County,Florida,12,127,49225.0
Wakulla County,Florida,12,129,2576.0
Walton County,Florida,12,131,7288.0
Washington County,Florida,12,133,1166.0
Appling County,Georgia,13,001,998.0
Atkinson County,Georgia,13,003,265.0
Bacon County,Georgia,13,005,543.0
Baker County,Georgia,13,007,152.0
Baldwin County,Georgia,13,009,2728.0
Banks County,Georgia,13,011,923.0
Barrow County,Georgia,13,013,5329.0
Bartow County,Georgia,13,015,7290.0
Ben Hill County,Georgia,13,017,842.0
Berrien County,Georgia,13,019,1019.0
Bibb County,Georgia,13,021,14438.0
Bleckley County,Georgia,13,023,594.0
Brantley County,Georgia,13,025,449.0
Brooks County,Georgia,13,027,862.0
Bryan County,Georgia,13,029,4362.0
Bulloch County,Georgia,13,031,6317.0
Burke County,Georgia,13,033,893.0
Butts County,Georgia,13,035,1044.0
Calhoun County,Georgia,13,037,269.0
Camden County,Georgia,13,039,4073.0
Candler County,Georgia,13,043,756.0
Carroll County,Georgia,13,045,7834.0
Catoosa County,Georgia,13,047,5384.0
Charlton County,Georgia,13,049,636.0
