County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Gila County,Arizona,74.3478336675243,4,7,528.0,8.8,21945.0,10038.0,702.0,53546.0,41171.0,1243.0,43524.0,764.0,0.4427,50.2,18.7,14112.0,21.5,5364.0,21.6,375.0,86.3,2019
Graham County,Arizona,77.2067923381599,4,9,324.0,8.3,11017.0,12543.0,643.0,37996.0,30366.0,972.0,51353.0,331.0,0.4196,33.6,15.2,7786.0,11.3,3276.0,22.6,744.0,85.3,2019
Greenlee County,Arizona,78.4893303009505,4,11,10.0,5.7,3132.0,4456.0,43.0,9522.0,8715.0,110.0,63473.0,42.0,0.3805,34.5,13.5,2339.0,11.9,1609.0,13.3,209.0,88.1,2019
Maricopa County,Arizona,79.7635827048315,4,13,71855.0,5.0,1552096.0,1341560.0,126546.0,4328810.0,3360305.0,102168.0,64468.0,20335.0,0.4641,36.4,32.7,1018723.0,11.2,586804.0,13.8,243640.0,87.7,2019
Mohave County,Arizona,75.2291349289979,4,15,3365.0,8.0,86889.0,34160.0,4554.0,207695.0,187413.0,4381.0,45587.0,1354.0,0.4456,51.6,12.9,55462.0,22.6,26697.0,16.4,2217.0,86.1,2019
Navajo County,Arizona,73.6982428819168,4,17,1667.0,12.7,34990.0,12479.0,1887.0,109270.0,51496.0,3076.0,40067.0,1635.0,0.4739,37.3,15.3,24355.0,18.3,10923.0,27.9,1005.0,83.4,2019
Pima County,Arizona,78.8273378145992,4,19,25881.0,7.0,404739.0,382585.0,35562.0,1027207.0,781004.0,26664.0,53379.0,7131.0,0.4694,38.5,32.4,248813.0,15.3,149062.0,16.8,36581.0,88.4,2019
Pinal County,Arizona,81.4701445906188,4,21,2886.0,7.1,141300.0,130511.0,6454.0,432793.0,345754.0,8089.0,58174.0,2997.0,0.4204,39.3,19.5,99077.0,15.4,32898.0,13.2,18915.0,85.8,2019
Santa Cruz County,Arizona,82.039463073111,4,23,559.0,7.7,15853.0,38793.0,1131.0,46480.0,39840.0,1351.0,41259.0,252.0,0.4997,36.7,20.4,12016.0,13.2,5128.0,23.3,301.0,76.6,2019
Yavapai County,Arizona,78.1846564541411,4,25,2658.0,5.7,98386.0,33166.0,5855.0,228067.0,208248.0,3170.0,52451.0,1345.0,0.4435,53.4,25.9,61412.0,18.0,27565.0,13.0,1495.0,91.0,2019
La Paz County,Arizona,81.4353901669475,4,12,377.0,8.9,9346.0,5735.0,353.0,20793.0,16035.0,474.0,34643.0,264.0,0.4879,56.5,12.0,5930.0,26.0,2660.0,22.4,200.0,76.9,2019
Yuma County,Arizona,81.4353901669475,4,27,2855.0,10.0,73098.0,133549.0,4890.0,209468.0,159864.0,6115.0,45243.0,1370.0,0.4429,34.6,15.0,54046.0,12.0,24050.0,19.4,4533.0,73.3,2019
Arkansas County,Arkansas,74.0251497586038,5,1,478.0,5.8,7491.0,572.0,485.0,17914.0,12921.0,550.0,46696.0,125.0,0.4807,40.7,15.8,4723.0,22.1,2608.0,17.3,4636.0,83.9,2019
Ashley County,Arkansas,74.2895051923306,5,3,295.0,5.4,7757.0,1101.0,444.0,20270.0,14682.0,447.0,44744.0,228.0,0.4694,41.7,12.3,5454.0,20.7,1747.0,16.7,5150.0,83.3,2019
Baxter County,Arkansas,76.2501239643624,5,5,429.0,4.6,18435.0,987.0,609.0,41427.0,40058.0,499.0,42260.0,284.0,0.4517,52.2,17.9,11964.0,20.5,4397.0,13.1,67.0,88.7,2019
