County,State,State_FIPS,County_FIPS,median_household_income
Grady County,Georgia,13,131,34187.0
Greene County,Georgia,13,133,42408.0
Gwinnett County,Georgia,13,135,60289.0
Habersham County,Georgia,13,137,40907.0
Hall County,Georgia,13,139,51202.0
Hancock County,Georgia,13,141,24925.0
Haralson County,Georgia,13,143,41910.0
Harris County,Georgia,13,145,63824.0
Hart County,Georgia,13,147,37653.0
Heard County,Georgia,13,149,41525.0
Henry County,Georgia,13,151,60424.0
Houston County,Georgia,13,153,53270.0
Irwin County,Georgia,13,155,34156.0
Jackson County,Georgia,13,157,53379.0
Jasper County,Georgia,13,159,42368.0
Jeff Davis County,Georgia,13,161,36385.0
Jefferson County,Georgia,13,163,26557.0
Jenkins County,Georgia,13,165,24604.0
Johnson County,Georgia,13,167,34438.0
Jones County,Georgia,13,169,51857.0
Lamar County,Georgia,13,171,40344.0
Lanier County,Georgia,13,173,37605.0
Laurens County,Georgia,13,175,32356.0
Lee County,Georgia,13,177,61537.0
Liberty County,Georgia,13,179,42201.0
Lincoln County,Georgia,13,181,34243.0
Long County,Georgia,13,183,48863.0
Lowndes County,Georgia,13,185,36834.0
Lumpkin County,Georgia,13,187,43804.0
McDuffie County,Georgia,13,189,36656.0
McIntosh County,Georgia,13,191,42988.0
Macon County,Georgia,13,193,28684.0
Madison County,Georgia,13,195,41912.0
Marion County,Georgia,13,197,36242.0
Meriwether County,Georgia,13,199,35832.0
Miller County,Georgia,13,201,33983.0
Mitchell County,Georgia,13,205,31915.0
Monroe County,Georgia,13,207,48744.0
Montgomery County,Georgia,13,209,34672.0
Morgan County,Georgia,13,211,51820.0
Murray County,Georgia,13,213,35539.0
Muscogee County,Georgia,13,215,42306.0
Newton County,Georgia,13,217,49179.0
Oconee County,Georgia,13,219,72182.0
Oglethorpe County,Georgia,13,221,44226.0
Paulding County,Georgia,13,223,60109.0
Peach County,Georgia,13,225,41588.0
Pickens County,Georgia,13,227,54123.0
Pierce County,Georgia,13,229,40247.0
Pike County,Georgia,13,231,51338.0
Polk County,Georgia,13,233,37853.0
Pulaski County,Georgia,13,235,38750.0
Putnam County,Georgia,13,237,44299.0
Quitman County,Georgia,13,239,31487.0
Rabun County,Georgia,13,241,35211.0
Randolph County,Georgia,13,243,28377.0
Richmond County,Georgia,13,245,37424.0
Rockdale County,Georgia,13,247,50455.0
Schley County,Georgia,13,249,39375.0
Screven County,Georgia,13,251,34466.0
Seminole County,Georgia,13,253,34905.0
Spalding County,Georgia,13,255,40246.0
Stephens County,Georgia,13,257,40315.0
Stewart County,Georgia,13,259,21118.0
Sumter County,Georgia,13,261,32758.0
Talbot County,Georgia,13,263,34078.0
Taliaferro County,Georgia,13,265,26306.0
Tattnall County,Georgia,13,267,33980.0
Taylor County,Georgia,13,269,28143.0
Telfair County,Georgia,13,271,26449.0
Terrell County,Georgia,13,273,28688.0
Thomas County,Georgia,13,275,36641.0
Tift County,Georgia,13,277,37653.0
Toombs County,Georgia,13,279,33679.0
Towns County,Georgia,13,281,37000.0
Treutlen County,Georgia,13,283,38596.0
Troup County,Georgia,13,285,41489.0
Turner County,Georgia,13,287,31806.0
Twiggs County,Georgia,13,289,30468.0
Union County,Georgia,13,291,40799.0
Upson County,Georgia,13,293,35774.0
Walker County,Georgia,13,295,41632.0
Walton County,Georgia,13,297,54453.0
Ware County,Georgia,13,299,34909.0
Warren County,Georgia,13,301,29176.0
Washington County,Georgia,13,303,37932.0
Wayne County,Georgia,13,305,38955.0
Webster County,Georgia,13,307,37063.0
Wheeler County,Georgia,13,309,27620.0
White County,Georgia,13,311,40888.0
Whitfield County,Georgia,13,313,40596.0
Wilcox County,Georgia,13,315,32043.0
Wilkes County,Georgia,13,317,32727.0
Wilkinson County,Georgia,13,319,38485.0
Worth County,Georgia,13,321,37974.0
Hawaii County,Hawaii,15,001,52108.0
Honolulu County,Hawaii,15,003,74460.0
Kauai County,Hawaii,15,007,65101.0
Kalawao County,Hawaii,15,005,66250.0
Maui County,Hawaii,15,009,66476.0
Ada County,Idaho,16,001,56356.0
Adams County,Idaho,16,003,39565.0
Bannock County,Idaho,16,005,43779.0
Bear Lake County,Idaho,16,007,48654.0
Benewah County,Idaho,16,009,39863.0
Bingham County,Idaho,16,011,50155.0
Blaine County,Idaho,16,013,60088.0
Boise County,Idaho,16,015,44238.0
Bonner County,Idaho,16,017,42171.0
Bonneville County,Idaho,16,019,50762.0
Boundary County,Idaho,16,021,38961.0
Butte County,Idaho,16,023,37891.0
Camas County,Idaho,16,025,42614.0
Canyon County,Idaho,16,027,42888.0
Caribou County,Idaho,16,029,58021.0
Cassia County,Idaho,16,031,45695.0
Clearwater County,Idaho,16,035,38837.0
Custer County,Idaho,16,037,39457.0
Elmore County,Idaho,16,039,43848.0
Franklin County,Idaho,16,041,48133.0
Fremont County,Idaho,16,043,47988.0
Gem County,Idaho,16,045,40828.0
Gooding County,Idaho,16,047,39930.0
Idaho County,Idaho,16,049,38191.0
Jefferson County,Idaho,16,051,51171.0
Jerome County,Idaho,16,053,41630.0
Kootenai County,Idaho,16,055,49403.0
Latah County,Idaho,16,057,42439.0
Lemhi County,Idaho,16,059,34329.0
Lewis County,Idaho,16,061,36505.0
Lincoln County,Idaho,16,063,43273.0
Madison County,Idaho,16,065,32233.0
Minidoka County,Idaho,16,067,44853.0
Nez Perce County,Idaho,16,069,48160.0
Oneida County,Idaho,16,071,41338.0
Owyhee County,Idaho,16,073,33440.0
Payette County,Idaho,16,075,44257.0
Power County,Idaho,16,077,44779.0
Shoshone County,Idaho,16,079,37665.0
Teton County,Idaho,16,081,53474.0
Twin Falls County,Idaho,16,083,44048.0
Valley County,Idaho,16,085,48384.0
Washington County,Idaho,16,087,34775.0
Adams County,Illinois,17,001,45965.0
Alexander County,Illinois,17,003,27265.0
Bond County,Illinois,17,005,47946.0
Boone County,Illinois,17,007,58248.0
Brown County,Illinois,17,009,50739.0
Bureau County,Illinois,17,011,50423.0
Calhoun County,Illinois,17,013,53869.0
Carroll County,Illinois,17,015,48631.0
Cass County,Illinois,17,017,47434.0
Champaign County,Illinois,17,019,46495.0
Christian County,Illinois,17,021,45334.0
Clark County,Illinois,17,023,50517.0
Clay County,Illinois,17,025,44209.0
Clinton County,Illinois,17,027,63236.0
Coles County,Illinois,17,029,39588.0
Cook County,Illinois,17,031,55251.0
Crawford County,Illinois,17,033,47468.0
Cumberland County,Illinois,17,035,46061.0
DeKalb County,Illinois,17,037,54101.0
De Witt County,Illinois,17,039,53959.0
Douglas County,Illinois,17,041,51810.0
DuPage County,Illinois,17,043,79658.0
Edgar County,Illinois,17,045,45691.0
Edwards County,Illinois,17,047,44497.0
Effingham County,Illinois,17,049,52224.0
Fayette County,Illinois,17,051,43944.0
Ford County,Illinois,17,053,49947.0
Franklin County,Illinois,17,055,39512.0
Fulton County,Illinois,17,057,46083.0
Gallatin County,Illinois,17,059,39636.0
Greene County,Illinois,17,061,42565.0
Grundy County,Illinois,17,063,65887.0
Hamilton County,Illinois,17,065,44159.0
