County,State,State_FIPS,County_FIPS,health_insurance_rate
Sarasota County,Florida,12,115,16.8
Seminole County,Florida,12,117,17.5
Sumter County,Florida,12,119,11.2
Suwannee County,Florida,12,121,21.6
Taylor County,Florida,12,123,18.2
Union County,Florida,12,125,18.5
Volusia County,Florida,12,127,18.3
Wakulla County,Florida,12,129,11.9
Walton County,Florida,12,131,18.5
Washington County,Florida,12,133,17.5
Appling County,Georgia,13,001,22.5
Atkinson County,Georgia,13,003,32.5
Bacon County,Georgia,13,005,24.6
Baker County,Georgia,13,007,21.5
Baldwin County,Georgia,13,009,15.4
Banks County,Georgia,13,011,18.0
Barrow County,Georgia,13,013,20.0
Bartow County,Georgia,13,015,18.3
Ben Hill County,Georgia,13,017,20.6
Berrien County,Georgia,13,019,23.3
Bibb County,Georgia,13,021,17.2
Bleckley County,Georgia,13,023,12.5
Brantley County,Georgia,13,025,27.9
Brooks County,Georgia,13,027,26.7
Bryan County,Georgia,13,029,14.9
Bulloch County,Georgia,13,031,18.6
Burke County,Georgia,13,033,17.0
Butts County,Georgia,13,035,17.9
Calhoun County,Georgia,13,037,25.7
Camden County,Georgia,13,039,14.2
Candler County,Georgia,13,043,31.8
Carroll County,Georgia,13,045,18.1
Catoosa County,Georgia,13,047,15.7
Charlton County,Georgia,13,049,24.7
Chatham County,Georgia,13,051,19.0
Chattahoochee County,Georgia,13,053,12.1
Chattooga County,Georgia,13,055,19.4
Cherokee County,Georgia,13,057,14.7
Clarke County,Georgia,13,059,17.7
Clay County,Georgia,13,061,22.1
Clayton County,Georgia,13,063,26.1
Clinch County,Georgia,13,065,19.0
Cobb County,Georgia,13,067,17.7
Coffee County,Georgia,13,069,25.2
Colquitt County,Georgia,13,071,27.0
Columbia County,Georgia,13,073,12.5
Cook County,Georgia,13,075,27.2
Coweta County,Georgia,13,077,13.7
Crawford County,Georgia,13,079,19.3
Crisp County,Georgia,13,081,20.5
Dade County,Georgia,13,083,16.7
Dawson County,Georgia,13,085,17.4
Decatur County,Georgia,13,087,23.3
DeKalb County,Georgia,13,089,21.9
Dodge County,Georgia,13,091,17.5
Dooly County,Georgia,13,093,20.4
Dougherty County,Georgia,13,095,20.0
Douglas County,Georgia,13,097,17.4
Early County,Georgia,13,099,16.5
Echols County,Georgia,13,101,39.9
Effingham County,Georgia,13,103,15.6
Elbert County,Georgia,13,105,17.3
Emanuel County,Georgia,13,107,23.2
Evans County,Georgia,13,109,22.1
Fannin County,Georgia,13,111,19.0
Fayette County,Georgia,13,113,8.8
Floyd County,Georgia,13,115,19.0
Forsyth County,Georgia,13,117,12.8
Franklin County,Georgia,13,119,18.2
Fulton County,Georgia,13,121,17.5
Gilmer County,Georgia,13,123,23.8
Glascock County,Georgia,13,125,23.1
Glynn County,Georgia,13,127,20.8
Gordon County,Georgia,13,129,21.3
Grady County,Georgia,13,131,24.9
Greene County,Georgia,13,133,19.6
Gwinnett County,Georgia,13,135,22.4
Habersham County,Georgia,13,137,20.9
Hall County,Georgia,13,139,20.7
Hancock County,Georgia,13,141,18.5
Haralson County,Georgia,13,143,19.1
Harris County,Georgia,13,145,11.0
Hart County,Georgia,13,147,17.5
Heard County,Georgia,13,149,17.0
Henry County,Georgia,13,151,14.7
Houston County,Georgia,13,153,14.0
Irwin County,Georgia,13,155,21.3
Jackson County,Georgia,13,157,18.3
Jasper County,Georgia,13,159,17.4
Jeff Davis County,Georgia,13,161,25.3
Jefferson County,Georgia,13,163,22.0
Jenkins County,Georgia,13,165,21.5
Johnson County,Georgia,13,167,19.9
Jones County,Georgia,13,169,14.6
Lamar County,Georgia,13,171,19.5
Lanier County,Georgia,13,173,23.7
Laurens County,Georgia,13,175,15.8
Lee County,Georgia,13,177,16.0
Liberty County,Georgia,13,179,14.0
Lincoln County,Georgia,13,181,19.5
Long County,Georgia,13,183,21.9
Lowndes County,Georgia,13,185,19.5
Lumpkin County,Georgia,13,187,19.0
