County,State,State_FIPS,County_FIPS,unemployment_rate
Weld County,Colorado,08,123,6.6
Fairfield County,Connecticut,09,001,9.0
Hartford County,Connecticut,09,003,9.3
Litchfield County,Connecticut,09,005,7.1
Middlesex County,Connecticut,09,007,6.0
New Haven County,Connecticut,09,009,9.5
New London County,Connecticut,09,011,8.3
Tolland County,Connecticut,09,013,6.8
Windham County,Connecticut,09,015,9.3
Kent County,Delaware,10,001,8.4
New Castle County,Delaware,10,003,7.4
Sussex County,Delaware,10,005,8.0
Alachua County,Florida,12,001,7.9
Baker County,Florida,12,003,8.9
Bay County,Florida,12,005,8.6
Bradford County,Florida,12,007,12.4
Brevard County,Florida,12,009,10.9
Broward County,Florida,12,011,10.0
Calhoun County,Florida,12,013,10.0
Charlotte County,Florida,12,015,10.8
Citrus County,Florida,12,017,13.1
Clay County,Florida,12,019,10.7
Collier County,Florida,12,021,7.8
Columbia County,Florida,12,023,14.8
Miami-Dade County,Florida,12,086,10.0
DeSoto County,Florida,12,027,9.4
Dixie County,Florida,12,029,7.2
Duval County,Florida,12,031,10.0
Escambia County,Florida,12,033,9.4
Flagler County,Florida,12,035,9.3
Franklin County,Florida,12,037,9.4
Gadsden County,Florida,12,039,11.2
Gilchrist County,Florida,12,041,10.4
Glades County,Florida,12,043,12.9
Gulf County,Florida,12,045,10.2
Hamilton County,Florida,12,047,15.8
Hardee County,Florida,12,049,11.0
Hendry County,Florida,12,051,11.9
Hernando County,Florida,12,053,13.7
Highlands County,Florida,12,055,13.3
Hillsborough County,Florida,12,057,9.0
Holmes County,Florida,12,059,15.4
Indian River County,Florida,12,061,12.2
Jackson County,Florida,12,063,13.2
Jefferson County,Florida,12,065,9.4
Lafayette County,Florida,12,067,14.6
Lake County,Florida,12,069,9.7
Lee County,Florida,12,071,10.1
Leon County,Florida,12,073,10.6
Levy County,Florida,12,075,11.1
Liberty County,Florida,12,077,10.2
Madison County,Florida,12,079,11.8
Manatee County,Florida,12,081,8.6
Marion County,Florida,12,083,12.0
Martin County,Florida,12,085,9.7
Monroe County,Florida,12,087,6.0
Nassau County,Florida,12,089,9.8
Okaloosa County,Florida,12,091,6.9
Okeechobee County,Florida,12,093,11.8
Orange County,Florida,12,095,9.1
Osceola County,Florida,12,097,9.8
Palm Beach County,Florida,12,099,9.5
Pasco County,Florida,12,101,9.4
Pinellas County,Florida,12,103,8.4
Polk County,Florida,12,105,10.6
Putnam County,Florida,12,107,12.6
Saint Johns County,Florida,12,109,6.7
Saint Lucie County,Florida,12,111,12.4
Santa Rosa County,Florida,12,113,7.9
Sarasota County,Florida,12,115,8.2
Seminole County,Florida,12,117,9.4
Sumter County,Florida,12,119,9.0
Suwannee County,Florida,12,121,11.1
Taylor County,Florida,12,123,9.0
Union County,Florida,12,125,11.7
Volusia County,Florida,12,127,9.1
Wakulla County,Florida,12,129,9.3
Walton County,Florida,12,131,7.9
Washington County,Florida,12,133,11.5
Appling County,Georgia,13,001,7.9
Atkinson County,Georgia,13,003,7.3
Bacon County,Georgia,13,005,4.4
Baker County,Georgia,13,007,7.1
Baldwin County,Georgia,13,009,8.4
Banks County,Georgia,13,011,8.5
Barrow County,Georgia,13,013,10.1
Bartow County,Georgia,13,015,8.8
Ben Hill County,Georgia,13,017,9.7
Berrien County,Georgia,13,019,13.8
Bibb County,Georgia,13,021,12.4
Bleckley County,Georgia,13,023,4.8
Brantley County,Georgia,13,025,10.9
Brooks County,Georgia,13,027,17.0
Bryan County,Georgia,13,029,9.0
Bulloch County,Georgia,13,031,9.1
Burke County,Georgia,13,033,8.2
Butts County,Georgia,13,035,10.3
Calhoun County,Georgia,13,037,7.7
Camden County,Georgia,13,039,8.5
Candler County,Georgia,13,043,8.1
Carroll County,Georgia,13,045,12.1
Catoosa County,Georgia,13,047,8.1
Charlton County,Georgia,13,049,13.8
Chatham County,Georgia,13,051,9.7
Chattahoochee County,Georgia,13,053,16.5
Chattooga County,Georgia,13,055,10.0
Cherokee County,Georgia,13,057,6.3
Clarke County,Georgia,13,059,9.2
Clay County,Georgia,13,061,19.2
Clayton County,Georgia,13,063,14.1
Clinch County,Georgia,13,065,10.7
Cobb County,Georgia,13,067,8.0
Coffee County,Georgia,13,069,8.3
Colquitt County,Georgia,13,071,8.3
Columbia County,Georgia,13,073,7.1
Cook County,Georgia,13,075,6.6
