County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Okeechobee County,Florida,12,093,13.7
Orange County,Florida,12,095,4.8
Osceola County,Florida,12,097,5.7
Palm Beach County,Florida,12,099,5.9
Pasco County,Florida,12,101,3.6
Pinellas County,Florida,12,103,3.0
Polk County,Florida,12,105,6.3
Putnam County,Florida,12,107,7.3
Saint Johns County,Florida,12,109,1.6
Saint Lucie County,Florida,12,111,5.5
Santa Rosa County,Florida,12,113,2.4
Sarasota County,Florida,12,115,2.4
Seminole County,Florida,12,117,2.5
Sumter County,Florida,12,119,2.8
Suwannee County,Florida,12,121,6.0
Taylor County,Florida,12,123,5.8
Union County,Florida,12,125,6.4
Volusia County,Florida,12,127,2.9
Wakulla County,Florida,12,129,3.0
Walton County,Florida,12,131,4.1
Washington County,Florida,12,133,6.1
Appling County,Georgia,13,001,8.8
Atkinson County,Georgia,13,003,17.6
Bacon County,Georgia,13,005,6.1
Baker County,Georgia,13,007,5.8
Baldwin County,Georgia,13,009,4.6
Banks County,Georgia,13,011,8.7
Barrow County,Georgia,13,013,6.4
Bartow County,Georgia,13,015,6.3
Ben Hill County,Georgia,13,017,5.6
Berrien County,Georgia,13,019,5.9
Bibb County,Georgia,13,021,4.4
Bleckley County,Georgia,13,023,4.7
Brantley County,Georgia,13,025,5.2
Brooks County,Georgia,13,027,6.1
Bryan County,Georgia,13,029,3.0
Bulloch County,Georgia,13,031,4.3
Burke County,Georgia,13,033,6.9
Butts County,Georgia,13,035,6.5
Calhoun County,Georgia,13,037,7.6
Camden County,Georgia,13,039,2.3
Candler County,Georgia,13,043,7.6
Carroll County,Georgia,13,045,6.8
Catoosa County,Georgia,13,047,3.3
Charlton County,Georgia,13,049,8.5
Chatham County,Georgia,13,051,3.3
Chattahoochee County,Georgia,13,053,2.9
Chattooga County,Georgia,13,055,11.0
Cherokee County,Georgia,13,057,4.2
Clarke County,Georgia,13,059,5.0
Clay County,Georgia,13,061,5.7
Clayton County,Georgia,13,063,6.8
Clinch County,Georgia,13,065,8.7
Cobb County,Georgia,13,067,4.3
Coffee County,Georgia,13,069,7.1
Colquitt County,Georgia,13,071,11.4
Columbia County,Georgia,13,073,2.8
Cook County,Georgia,13,075,7.2
Coweta County,Georgia,13,077,3.7
Crawford County,Georgia,13,079,5.7
Crisp County,Georgia,13,081,8.1
Dade County,Georgia,13,083,7.3
Dawson County,Georgia,13,085,4.5
Decatur County,Georgia,13,087,7.4
DeKalb County,Georgia,13,089,5.2
Dodge County,Georgia,13,091,4.3
Dooly County,Georgia,13,093,9.2
Dougherty County,Georgia,13,095,5.8
Douglas County,Georgia,13,097,3.8
Early County,Georgia,13,099,7.7
Echols County,Georgia,13,101,16.0
Effingham County,Georgia,13,103,3.4
Elbert County,Georgia,13,105,6.8
Emanuel County,Georgia,13,107,7.5
Evans County,Georgia,13,109,9.6
Fannin County,Georgia,13,111,6.6
Fayette County,Georgia,13,113,2.4
Floyd County,Georgia,13,115,8.5
Forsyth County,Georgia,13,117,3.6
Franklin County,Georgia,13,119,8.4
Fulton County,Georgia,13,121,2.9
Gilmer County,Georgia,13,123,7.7
Glascock County,Georgia,13,125,8.4
Glynn County,Georgia,13,127,3.4
Gordon County,Georgia,13,129,10.3
Grady County,Georgia,13,131,7.8
Greene County,Georgia,13,133,5.8
Gwinnett County,Georgia,13,135,6.1
Habersham County,Georgia,13,137,9.7
Hall County,Georgia,13,139,12.1
Hancock County,Georgia,13,141,7.5
Haralson County,Georgia,13,143,7.9
Harris County,Georgia,13,145,2.9
Hart County,Georgia,13,147,5.0
Heard County,Georgia,13,149,7.2
Henry County,Georgia,13,151,3.0
Houston County,Georgia,13,153,3.2
Irwin County,Georgia,13,155,4.0
Jackson County,Georgia,13,157,6.4
Jasper County,Georgia,13,159,6.7
Jeff Davis County,Georgia,13,161,5.6
Jefferson County,Georgia,13,163,8.1
Jenkins County,Georgia,13,165,6.5
Johnson County,Georgia,13,167,6.6
Jones County,Georgia,13,169,3.2
Lamar County,Georgia,13,171,4.7
Lanier County,Georgia,13,173,7.3
Laurens County,Georgia,13,175,6.0
Lee County,Georgia,13,177,2.6
Liberty County,Georgia,13,179,3.3
Lincoln County,Georgia,13,181,6.2
Long County,Georgia,13,183,4.1
Lowndes County,Georgia,13,185,4.6
Lumpkin County,Georgia,13,187,5.0
McDuffie County,Georgia,13,189,5.7
McIntosh County,Georgia,13,191,6.4
Macon County,Georgia,13,193,8.2
Madison County,Georgia,13,195,5.6
Marion County,Georgia,13,197,4.4
Meriwether County,Georgia,13,199,7.2
Miller County,Georgia,13,201,6.3
Mitchell County,Georgia,13,205,6.4
Monroe County,Georgia,13,207,3.6
Montgomery County,Georgia,13,209,6.6
Morgan County,Georgia,13,211,4.4
Murray County,Georgia,13,213,11.5
Muscogee County,Georgia,13,215,4.5
Newton County,Georgia,13,217,4.5
Oconee County,Georgia,13,219,1.5
Oglethorpe County,Georgia,13,221,8.4
Paulding County,Georgia,13,223,3.3
Peach County,Georgia,13,225,5.6
Pickens County,Georgia,13,227,5.8
Pierce County,Georgia,13,229,5.6
Pike County,Georgia,13,231,2.7
Polk County,Georgia,13,233,9.6
Pulaski County,Georgia,13,235,6.9
Putnam County,Georgia,13,237,5.3
Quitman County,Georgia,13,239,3.5
Rabun County,Georgia,13,241,4.7
Randolph County,Georgia,13,243,11.2
Richmond County,Georgia,13,245,5.1
Rockdale County,Georgia,13,247,4.2
Schley County,Georgia,13,249,5.1
Screven County,Georgia,13,251,6.0
Seminole County,Georgia,13,253,5.4
Spalding County,Georgia,13,255,6.2
Stephens County,Georgia,13,257,6.0
Stewart County,Georgia,13,259,18.3
Sumter County,Georgia,13,261,7.8
Talbot County,Georgia,13,263,5.6
Taliaferro County,Georgia,13,265,14.3
Tattnall County,Georgia,13,267,7.9
Taylor County,Georgia,13,269,8.9
Telfair County,Georgia,13,271,10.0
Terrell County,Georgia,13,273,7.8
Thomas County,Georgia,13,275,5.5
Tift County,Georgia,13,277,5.6
Toombs County,Georgia,13,279,8.4
Towns County,Georgia,13,281,5.0
Treutlen County,Georgia,13,283,7.7
Troup County,Georgia,13,285,5.8
Turner County,Georgia,13,287,7.9
Twiggs County,Georgia,13,289,8.6
Union County,Georgia,13,291,3.1
Upson County,Georgia,13,293,5.8
Walker County,Georgia,13,295,6.6
Walton County,Georgia,13,297,3.2
Ware County,Georgia,13,299,5.6
Warren County,Georgia,13,301,10.7
Washington County,Georgia,13,303,6.8
Wayne County,Georgia,13,305,5.8
Webster County,Georgia,13,307,7.0
Wheeler County,Georgia,13,309,5.9
White County,Georgia,13,311,4.5
Whitfield County,Georgia,13,313,14.9
Wilcox County,Georgia,13,315,6.7
Wilkes County,Georgia,13,317,8.0
Wilkinson County,Georgia,13,319,4.8
Worth County,Georgia,13,321,7.7
Hawaii County,Hawaii,15,001,2.7
Honolulu County,Hawaii,15,003,4.2
Kauai County,Hawaii,15,007,4.3
Kalawao County,Hawaii,15,005,2.4
Maui County,Hawaii,15,009,3.6
Ada County,Idaho,16,001,1.7
Adams County,Idaho,16,003,2.5
Bannock County,Idaho,16,005,2.1
Bear Lake County,Idaho,16,007,1.5
Benewah County,Idaho,16,009,4.0
Bingham County,Idaho,16,011,7.0
Blaine County,Idaho,16,013,5.5
Boise County,Idaho,16,015,1.5
Bonner County,Idaho,16,017,2.6
Bonneville County,Idaho,16,019,3.0
Boundary County,Idaho,16,021,5.4
Butte County,Idaho,16,023,3.4
Camas County,Idaho,16,025,6.8
Canyon County,Idaho,16,027,7.1
Caribou County,Idaho,16,029,2.8
Cassia County,Idaho,16,031,8.9
Clearwater County,Idaho,16,035,3.2
Custer County,Idaho,16,037,3.3
Elmore County,Idaho,16,039,6.9
Franklin County,Idaho,16,041,2.6
Fremont County,Idaho,16,043,5.6
Gem County,Idaho,16,045,4.9
Gooding County,Idaho,16,047,11.2
Idaho County,Idaho,16,049,4.1
Jefferson County,Idaho,16,051,5.5
Jerome County,Idaho,16,053,12.7
Kootenai County,Idaho,16,055,1.4
Latah County,Idaho,16,057,1.4
Lemhi County,Idaho,16,059,1.7
Lewis County,Idaho,16,061,4.4
Lincoln County,Idaho,16,063,11.9
Madison County,Idaho,16,065,1.5
Minidoka County,Idaho,16,067,13.4
Nez Perce County,Idaho,16,069,1.6
Oneida County,Idaho,16,071,1.5
Owyhee County,Idaho,16,073,11.8
Payette County,Idaho,16,075,4.0
Power County,Idaho,16,077,11.9
Shoshone County,Idaho,16,079,3.3
Teton County,Idaho,16,081,4.1
Twin Falls County,Idaho,16,083,4.9
Valley County,Idaho,16,085,1.9
Washington County,Idaho,16,087,6.6
Adams County,Illinois,17,001,2.3
Alexander County,Illinois,17,003,7.8
Bond County,Illinois,17,005,3.8
Boone County,Illinois,17,007,5.7
Brown County,Illinois,17,009,2.9
Bureau County,Illinois,17,011,2.6
Calhoun County,Illinois,17,013,3.3
Carroll County,Illinois,17,015,3.2
Cass County,Illinois,17,017,4.7
Champaign County,Illinois,17,019,1.6
Christian County,Illinois,17,021,3.4
Clark County,Illinois,17,023,3.1
Clay County,Illinois,17,025,4.9
Clinton County,Illinois,17,027,4.9
Coles County,Illinois,17,029,3.6
Cook County,Illinois,17,031,7.2
Crawford County,Illinois,17,033,3.6
Cumberland County,Illinois,17,035,4.3
DeKalb County,Illinois,17,037,2.5
De Witt County,Illinois,17,039,3.0
Douglas County,Illinois,17,041,10.3
DuPage County,Illinois,17,043,3.7
Edgar County,Illinois,17,045,4.2
Edwards County,Illinois,17,047,3.6
Effingham County,Illinois,17,049,3.6
Fayette County,Illinois,17,051,6.3
