County,State,State_FIPS,County_FIPS,disability_rate
Taliaferro County,Georgia,13,265,23.9
Tattnall County,Georgia,13,267,19.2
Taylor County,Georgia,13,269,16.1
Telfair County,Georgia,13,271,17.0
Terrell County,Georgia,13,273,17.8
Thomas County,Georgia,13,275,16.5
Tift County,Georgia,13,277,15.5
Toombs County,Georgia,13,279,14.2
Towns County,Georgia,13,281,18.8
Treutlen County,Georgia,13,283,19.7
Troup County,Georgia,13,285,17.0
Turner County,Georgia,13,287,19.9
Twiggs County,Georgia,13,289,18.4
Union County,Georgia,13,291,21.4
Upson County,Georgia,13,293,19.3
Walker County,Georgia,13,295,20.0
Walton County,Georgia,13,297,12.2
Ware County,Georgia,13,299,19.2
Warren County,Georgia,13,301,19.1
Washington County,Georgia,13,303,14.5
Wayne County,Georgia,13,305,18.9
Webster County,Georgia,13,307,22.3
Wheeler County,Georgia,13,309,14.8
White County,Georgia,13,311,15.5
Whitfield County,Georgia,13,313,12.1
Wilcox County,Georgia,13,315,19.1
Wilkes County,Georgia,13,317,18.6
Wilkinson County,Georgia,13,319,15.8
Worth County,Georgia,13,321,15.5
Hawaii County,Hawaii,15,001,13.3
Honolulu County,Hawaii,15,003,10.6
Kauai County,Hawaii,15,007,11.9
Kalawao County,Hawaii,15,005,12.3
Maui County,Hawaii,15,009,10.6
Ada County,Idaho,16,001,9.7
Adams County,Idaho,16,003,19.9
Bannock County,Idaho,16,005,14.0
Bear Lake County,Idaho,16,007,13.7
Benewah County,Idaho,16,009,18.7
Bingham County,Idaho,16,011,13.0
Blaine County,Idaho,16,013,6.4
Boise County,Idaho,16,015,16.1
Bonner County,Idaho,16,017,15.3
Bonneville County,Idaho,16,019,12.7
Boundary County,Idaho,16,021,18.6
Butte County,Idaho,16,023,19.9
Camas County,Idaho,16,025,18.8
Canyon County,Idaho,16,027,13.8
Caribou County,Idaho,16,029,13.9
Cassia County,Idaho,16,031,12.4
Clearwater County,Idaho,16,035,25.7
Custer County,Idaho,16,037,17.2
Elmore County,Idaho,16,039,13.8
Franklin County,Idaho,16,041,13.2
Fremont County,Idaho,16,043,13.0
Gem County,Idaho,16,045,16.6
Gooding County,Idaho,16,047,14.7
Idaho County,Idaho,16,049,20.4
Jefferson County,Idaho,16,051,12.2
Jerome County,Idaho,16,053,12.6
Kootenai County,Idaho,16,055,13.4
Latah County,Idaho,16,057,11.1
Lemhi County,Idaho,16,059,17.3
Lewis County,Idaho,16,061,20.4
Lincoln County,Idaho,16,063,13.5
Madison County,Idaho,16,065,6.0
Minidoka County,Idaho,16,067,13.1
Nez Perce County,Idaho,16,069,17.2
Oneida County,Idaho,16,071,15.0
Owyhee County,Idaho,16,073,15.2
Payette County,Idaho,16,075,14.2
Power County,Idaho,16,077,15.1
Shoshone County,Idaho,16,079,19.6
Teton County,Idaho,16,081,11.6
Twin Falls County,Idaho,16,083,12.5
Valley County,Idaho,16,085,15.6
Washington County,Idaho,16,087,20.2
Adams County,Illinois,17,001,13.6
Alexander County,Illinois,17,003,23.5
Bond County,Illinois,17,005,14.9
Boone County,Illinois,17,007,9.0
Brown County,Illinois,17,009,10.6
Bureau County,Illinois,17,011,12.8
Calhoun County,Illinois,17,013,15.8
Carroll County,Illinois,17,015,15.6
Cass County,Illinois,17,017,13.2
Champaign County,Illinois,17,019,8.6
Christian County,Illinois,17,021,14.2
Clark County,Illinois,17,023,14.5
Clay County,Illinois,17,025,17.2
Clinton County,Illinois,17,027,11.5
Coles County,Illinois,17,029,13.3
Cook County,Illinois,17,031,10.3
Crawford County,Illinois,17,033,15.7
Cumberland County,Illinois,17,035,18.2
DeKalb County,Illinois,17,037,8.5
De Witt County,Illinois,17,039,13.0
Douglas County,Illinois,17,041,10.3
DuPage County,Illinois,17,043,7.9
Edgar County,Illinois,17,045,14.3
Edwards County,Illinois,17,047,15.7
Effingham County,Illinois,17,049,11.8
Fayette County,Illinois,17,051,16.7
Ford County,Illinois,17,053,15.2
Franklin County,Illinois,17,055,20.1
Fulton County,Illinois,17,057,14.7
Gallatin County,Illinois,17,059,20.2
Greene County,Illinois,17,061,15.7
Grundy County,Illinois,17,063,10.5
Hamilton County,Illinois,17,065,16.5
Hancock County,Illinois,17,067,14.3
Hardin County,Illinois,17,069,30.2
Henderson County,Illinois,17,071,16.2
Henry County,Illinois,17,073,11.7
Iroquois County,Illinois,17,075,13.0
Jackson County,Illinois,17,077,12.3
Jasper County,Illinois,17,079,13.9
Jefferson County,Illinois,17,081,16.6
Jersey County,Illinois,17,083,10.7
Jo Daviess County,Illinois,17,085,12.0
Johnson County,Illinois,17,087,18.6
Kane County,Illinois,17,089,7.9
Kankakee County,Illinois,17,091,16.1
Kendall County,Illinois,17,093,7.1
Knox County,Illinois,17,095,15.0
Lake County,Illinois,17,097,7.9
LaSalle County,Illinois,17,099,12.5
Lawrence County,Illinois,17,101,18.4
Lee County,Illinois,17,103,11.7
Livingston County,Illinois,17,105,13.3
Logan County,Illinois,17,107,14.9
McDonough County,Illinois,17,109,11.1
McHenry County,Illinois,17,111,7.9
McLean County,Illinois,17,113,9.2
Macon County,Illinois,17,115,13.9
Macoupin County,Illinois,17,117,15.3
Madison County,Illinois,17,119,12.0
Marion County,Illinois,17,121,18.4
Marshall County,Illinois,17,123,13.3
Mason County,Illinois,17,125,16.4
Massac County,Illinois,17,127,19.9
Menard County,Illinois,17,129,11.8
Mercer County,Illinois,17,131,12.8
Monroe County,Illinois,17,133,9.9
Montgomery County,Illinois,17,135,14.1
Morgan County,Illinois,17,137,14.6
Moultrie County,Illinois,17,139,11.8
Ogle County,Illinois,17,141,10.7
Peoria County,Illinois,17,143,11.1
Perry County,Illinois,17,145,16.5
Piatt County,Illinois,17,147,10.2
Pike County,Illinois,17,149,15.4
Pope County,Illinois,17,151,21.1
Pulaski County,Illinois,17,153,23.4
Putnam County,Illinois,17,155,11.0
Randolph County,Illinois,17,157,15.3
Richland County,Illinois,17,159,17.4
Rock Island County,Illinois,17,161,12.9
Saint Clair County,Illinois,17,163,12.9
Saline County,Illinois,17,165,20.9
Sangamon County,Illinois,17,167,13.7
Schuyler County,Illinois,17,169,15.4
Scott County,Illinois,17,171,12.8
Shelby County,Illinois,17,173,14.7
Stark County,Illinois,17,175,16.6
Stephenson County,Illinois,17,177,14.6
Tazewell County,Illinois,17,179,11.1
Union County,Illinois,17,181,17.5
Vermilion County,Illinois,17,183,15.0
Wabash County,Illinois,17,185,17.4
Warren County,Illinois,17,187,11.8
Washington County,Illinois,17,189,13.6
Wayne County,Illinois,17,191,16.1
White County,Illinois,17,193,18.5
Whiteside County,Illinois,17,195,14.6
Will County,Illinois,17,197,8.3
Williamson County,Illinois,17,199,15.3
Winnebago County,Illinois,17,201,13.1
Woodford County,Illinois,17,203,9.3
Adams County,Indiana,18,001,11.6
Allen County,Indiana,18,003,11.4
Bartholomew County,Indiana,18,005,12.3
Benton County,Indiana,18,007,17.8
Blackford County,Indiana,18,009,20.9
Boone County,Indiana,18,011,8.6
Brown County,Indiana,18,013,11.6
Carroll County,Indiana,18,015,14.1
Cass County,Indiana,18,017,13.9
Clark County,Indiana,18,019,14.7
Clay County,Indiana,18,021,17.3
Clinton County,Indiana,18,023,13.8
Crawford County,Indiana,18,025,20.3
Daviess County,Indiana,18,027,13.1
Dearborn County,Indiana,18,029,11.9
Decatur County,Indiana,18,031,13.2
DeKalb County,Indiana,18,033,16.7
Delaware County,Indiana,18,035,16.8
Dubois County,Indiana,18,037,9.8
Elkhart County,Indiana,18,039,13.1
Fayette County,Indiana,18,041,20.2
Floyd County,Indiana,18,043,13.5
Fountain County,Indiana,18,045,16.6
Franklin County,Indiana,18,047,13.3
Fulton County,Indiana,18,049,15.9
Gibson County,Indiana,18,051,13.9
Grant County,Indiana,18,053,17.7
Greene County,Indiana,18,055,17.9
Hamilton County,Indiana,18,057,7.1
Hancock County,Indiana,18,059,12.4
Harrison County,Indiana,18,061,16.2
Hendricks County,Indiana,18,063,9.6
Henry County,Indiana,18,065,16.6
Howard County,Indiana,18,067,17.0
Huntington County,Indiana,18,069,14.0
Jackson County,Indiana,18,071,12.3
Jasper County,Indiana,18,073,13.4
Jay County,Indiana,18,075,16.2
