County,State,State_FIPS,County_FIPS,per_capita_income
Merced County,California,06,047,21634.0
Modoc County,California,06,049,23235.0
Mono County,California,06,051,33421.0
Monterey County,California,06,053,28836.0
Napa County,California,06,055,42677.0
Nevada County,California,06,057,37145.0
Orange County,California,06,059,39590.0
Placer County,California,06,061,41508.0
Plumas County,California,06,063,32710.0
Riverside County,California,06,065,27142.0
Sacramento County,California,06,067,31311.0
San Benito County,California,06,069,31475.0
San Bernardino County,California,06,071,23956.0
San Diego County,California,06,073,36156.0
San Francisco County,California,06,075,64157.0
San Joaquin County,California,06,077,26145.0
San Luis Obispo County,California,06,079,35832.0
San Mateo County,California,06,081,57375.0
Santa Barbara County,California,06,083,34229.0
Santa Clara County,California,06,085,52451.0
Santa Cruz County,California,06,087,39001.0
Shasta County,California,06,089,27983.0
Sierra County,California,06,091,31972.0
Siskiyou County,California,06,093,28130.0
Solano County,California,06,095,33700.0
Sonoma County,California,06,097,39929.0
Stanislaus County,California,06,099,25101.0
Sutter County,California,06,101,26070.0
Tehama County,California,06,103,23126.0
Trinity County,California,06,105,25964.0
Tulare County,California,06,107,20421.0
Tuolumne County,California,06,109,33685.0
Ventura County,California,06,111,36891.0
Yolo County,California,06,113,32598.0
Yuba County,California,06,115,23867.0
Alamosa County,Colorado,08,003,21328.0
Archuleta County,Colorado,08,007,31035.0
Baca County,Colorado,08,009,23862.0
Bent County,Colorado,08,011,14777.0
Chaffee County,Colorado,08,015,29365.0
Cheyenne County,Colorado,08,017,25234.0
Clear Creek County,Colorado,08,019,40655.0
Conejos County,Colorado,08,021,19545.0
Costilla County,Colorado,08,023,20715.0
Crowley County,Colorado,08,025,14988.0
Custer County,Colorado,08,027,26976.0
Delta County,Colorado,08,029,24886.0
Dolores County,Colorado,08,033,24505.0
Douglas County,Colorado,08,035,51017.0
Eagle County,Colorado,08,037,41064.0
Elbert County,Colorado,08,039,43349.0
El Paso County,Colorado,08,041,32348.0
Fremont County,Colorado,08,043,21965.0
Garfield County,Colorado,08,045,32491.0
Gilpin County,Colorado,08,047,48460.0
Grand County,Colorado,08,049,34717.0
Gunnison County,Colorado,08,051,30127.0
Huerfano County,Colorado,08,055,25636.0
Jackson County,Colorado,08,057,25467.0
Kiowa County,Colorado,08,061,24012.0
Kit Carson County,Colorado,08,063,27471.0
Lake County,Colorado,08,065,28062.0
La Plata County,Colorado,08,067,37864.0
Larimer County,Colorado,08,069,35390.0
Las Animas County,Colorado,08,071,25118.0
Lincoln County,Colorado,08,073,16219.0
Logan County,Colorado,08,075,25776.0
Mesa County,Colorado,08,077,28518.0
Moffat County,Colorado,08,081,27845.0
