County,State,State_FIPS,County_FIPS,total_population
Spalding County,Georgia,13,255,64006.0
Stephens County,Georgia,13,257,25584.0
Stewart County,Georgia,13,259,5791.0
Sumter County,Georgia,13,261,31070.0
Talbot County,Georgia,13,263,6373.0
Taliaferro County,Georgia,13,265,1904.0
Tattnall County,Georgia,13,267,25260.0
Taylor County,Georgia,13,269,8354.0
Telfair County,Georgia,13,271,16405.0
Terrell County,Georgia,13,273,9132.0
Thomas County,Georgia,13,275,44977.0
Tift County,Georgia,13,277,40691.0
Toombs County,Georgia,13,279,27160.0
Towns County,Georgia,13,281,10976.0
Treutlen County,Georgia,13,283,6711.0
Troup County,Georgia,13,285,69314.0
Turner County,Georgia,13,287,8151.0
Twiggs County,Georgia,13,289,8363.0
Union County,Georgia,13,291,22033.0
Upson County,Georgia,13,293,26394.0
Walker County,Georgia,13,295,68143.0
Walton County,Georgia,13,297,87436.0
Ware County,Georgia,13,299,35671.0
Warren County,Georgia,13,301,5504.0
Washington County,Georgia,13,303,20680.0
Wayne County,Georgia,13,305,30006.0
Webster County,Georgia,13,307,2672.0
Wheeler County,Georgia,13,309,7932.0
White County,Georgia,13,311,28140.0
Whitfield County,Georgia,13,313,103653.0
Wilcox County,Georgia,13,315,8884.0
Wilkes County,Georgia,13,317,9924.0
Wilkinson County,Georgia,13,319,9312.0
Worth County,Georgia,13,321,20988.0
Hawaii County,Hawaii,15,001,193680.0
Honolulu County,Hawaii,15,003,986999.0
Kauai County,Hawaii,15,007,70447.0
Kalawao County,Hawaii,15,005,91.0
Maui County,Hawaii,15,009,162456.0
Ada County,Idaho,16,001,425798.0
Adams County,Idaho,16,003,3865.0
Bannock County,Idaho,16,005,83815.0
Bear Lake County,Idaho,16,007,5928.0
Benewah County,Idaho,16,009,9068.0
Bingham County,Idaho,16,011,45261.0
Blaine County,Idaho,16,013,21427.0
Boise County,Idaho,16,015,6891.0
Bonner County,Idaho,16,017,41389.0
Bonneville County,Idaho,16,019,108989.0
Boundary County,Idaho,16,021,11141.0
Butte County,Idaho,16,023,2592.0
Camas County,Idaho,16,025,968.0
Canyon County,Idaho,16,027,202782.0
Caribou County,Idaho,16,029,6813.0
Cassia County,Idaho,16,031,23441.0
Clearwater County,Idaho,16,035,8528.0
Custer County,Idaho,16,037,4185.0
Elmore County,Idaho,16,039,26103.0
Franklin County,Idaho,16,041,13013.0
Fremont County,Idaho,16,043,12896.0
Gem County,Idaho,16,045,16853.0
Gooding County,Idaho,16,047,15157.0
Idaho County,Idaho,16,049,16251.0
