County,State,State_FIPS,County_FIPS,median_home_value
Saint Lucie County,Florida,12,111,120700.0
Santa Rosa County,Florida,12,113,160200.0
Sarasota County,Florida,12,115,172800.0
Seminole County,Florida,12,117,175100.0
Sumter County,Florida,12,119,199500.0
Suwannee County,Florida,12,121,93800.0
Taylor County,Florida,12,123,84000.0
Union County,Florida,12,125,87000.0
Volusia County,Florida,12,127,133100.0
Wakulla County,Florida,12,129,129900.0
Walton County,Florida,12,131,161100.0
Washington County,Florida,12,133,84500.0
Appling County,Georgia,13,001,69500.0
Atkinson County,Georgia,13,003,74000.0
Bacon County,Georgia,13,005,74200.0
Baker County,Georgia,13,007,76500.0
Baldwin County,Georgia,13,009,104300.0
Banks County,Georgia,13,011,130700.0
Barrow County,Georgia,13,013,122600.0
Bartow County,Georgia,13,015,123900.0
Ben Hill County,Georgia,13,017,80400.0
Berrien County,Georgia,13,019,80900.0
Bibb County,Georgia,13,021,122000.0
Bleckley County,Georgia,13,023,85500.0
Brantley County,Georgia,13,025,66900.0
Brooks County,Georgia,13,027,91800.0
Bryan County,Georgia,13,029,184800.0
Bulloch County,Georgia,13,031,128200.0
Burke County,Georgia,13,033,79700.0
Butts County,Georgia,13,035,122300.0
Calhoun County,Georgia,13,037,52400.0
Camden County,Georgia,13,039,151800.0
Candler County,Georgia,13,043,83400.0
Carroll County,Georgia,13,045,115600.0
Catoosa County,Georgia,13,047,129300.0
Charlton County,Georgia,13,049,85000.0
Chatham County,Georgia,13,051,171100.0
Chattahoochee County,Georgia,13,053,83100.0
Chattooga County,Georgia,13,055,66700.0
Cherokee County,Georgia,13,057,186900.0
Clarke County,Georgia,13,059,152700.0
Clay County,Georgia,13,061,63700.0
Clayton County,Georgia,13,063,89100.0
Clinch County,Georgia,13,065,66500.0
Cobb County,Georgia,13,067,194900.0
Coffee County,Georgia,13,069,79700.0
Colquitt County,Georgia,13,071,79300.0
Columbia County,Georgia,13,073,170100.0
Cook County,Georgia,13,075,83200.0
Coweta County,Georgia,13,077,178800.0
Crawford County,Georgia,13,079,86100.0
Crisp County,Georgia,13,081,89100.0
Dade County,Georgia,13,083,116800.0
Dawson County,Georgia,13,085,174400.0
Decatur County,Georgia,13,087,99800.0
DeKalb County,Georgia,13,089,163600.0
Dodge County,Georgia,13,091,70700.0
Dooly County,Georgia,13,093,63600.0
Dougherty County,Georgia,13,095,100800.0
Douglas County,Georgia,13,097,125500.0
Early County,Georgia,13,099,83900.0
Echols County,Georgia,13,101,71500.0
Effingham County,Georgia,13,103,153700.0
Elbert County,Georgia,13,105,81800.0
Emanuel County,Georgia,13,107,69400.0
Evans County,Georgia,13,109,88000.0
Fannin County,Georgia,13,111,159400.0
Fayette County,Georgia,13,113,229400.0
Floyd County,Georgia,13,115,117500.0
Forsyth County,Georgia,13,117,260200.0
Franklin County,Georgia,13,119,109600.0
Fulton County,Georgia,13,121,237600.0
Gilmer County,Georgia,13,123,144700.0
Glascock County,Georgia,13,125,63800.0
Glynn County,Georgia,13,127,157200.0
Gordon County,Georgia,13,129,113100.0
Grady County,Georgia,13,131,107100.0
Greene County,Georgia,13,133,164300.0
Gwinnett County,Georgia,13,135,167700.0
Habersham County,Georgia,13,137,129800.0
Hall County,Georgia,13,139,162200.0
Hancock County,Georgia,13,141,66800.0
Haralson County,Georgia,13,143,105000.0
Harris County,Georgia,13,145,201000.0
Hart County,Georgia,13,147,114800.0
Heard County,Georgia,13,149,86900.0
Henry County,Georgia,13,151,142300.0
Houston County,Georgia,13,153,132300.0
Irwin County,Georgia,13,155,76900.0
Jackson County,Georgia,13,157,156700.0
Jasper County,Georgia,13,159,113100.0
Jeff Davis County,Georgia,13,161,80600.0
Jefferson County,Georgia,13,163,66800.0
Jenkins County,Georgia,13,165,61900.0
Johnson County,Georgia,13,167,66500.0
Jones County,Georgia,13,169,131900.0
