County,State,State_FIPS,County_FIPS,total_population_race
Duval County,Florida,12,031,890673.0
Escambia County,Florida,12,033,306327.0
Flagler County,Florida,12,035,100783.0
Franklin County,Florida,12,037,11628.0
Gadsden County,Florida,12,039,46424.0
Gilchrist County,Florida,12,041,16992.0
Glades County,Florida,12,043,13272.0
Gulf County,Florida,12,045,15785.0
Hamilton County,Florida,12,047,14395.0
Hardee County,Florida,12,049,27468.0
Hendry County,Florida,12,051,38363.0
Hernando County,Florida,12,053,174809.0
Highlands County,Florida,12,055,98328.0
Hillsborough County,Florida,12,057,1302884.0
Holmes County,Florida,12,059,19635.0
Indian River County,Florida,12,061,142866.0
Jackson County,Florida,12,063,48900.0
Jefferson County,Florida,12,065,14198.0
Lafayette County,Florida,12,067,8801.0
Lake County,Florida,12,069,310561.0
Lee County,Florida,12,071,663675.0
Leon County,Florida,12,073,282940.0
Levy County,Florida,12,075,39821.0
Liberty County,Florida,12,077,8295.0
Madison County,Florida,12,079,18729.0
Manatee County,Florida,12,081,343729.0
Marion County,Florida,12,083,336811.0
Martin County,Florida,12,085,151586.0
Monroe County,Florida,12,087,75901.0
Nassau County,Florida,12,089,75880.0
Okaloosa County,Florida,12,091,192237.0
Okeechobee County,Florida,12,093,39255.0
Orange County,Florida,12,095,1229039.0
Osceola County,Florida,12,097,300870.0
Palm Beach County,Florida,12,099,1378806.0
Pasco County,Florida,12,101,479288.0
Pinellas County,Florida,12,103,931477.0
Polk County,Florida,12,105,626676.0
Putnam County,Florida,12,107,72696.0
Saint Johns County,Florida,12,109,210495.0
Saint Lucie County,Florida,12,111,288006.0
Santa Rosa County,Florida,12,113,161021.0
Sarasota County,Florida,12,115,392038.0
Seminole County,Florida,12,117,437346.0
Sumter County,Florida,12,119,108501.0
Suwannee County,Florida,12,121,43595.0
Taylor County,Florida,12,123,22685.0
Union County,Florida,12,125,15191.0
Volusia County,Florida,12,127,503719.0
Wakulla County,Florida,12,129,31128.0
Walton County,Florida,12,131,59487.0
Washington County,Florida,12,133,24629.0
Appling County,Georgia,13,001,18417.0
Atkinson County,Georgia,13,003,8294.0
Bacon County,Georgia,13,005,11222.0
Baker County,Georgia,13,007,3292.0
Baldwin County,Georgia,13,009,45795.0
Banks County,Georgia,13,011,18336.0
Barrow County,Georgia,13,013,72012.0
Bartow County,Georgia,13,015,101336.0
Ben Hill County,Georgia,13,017,17477.0
Berrien County,Georgia,13,019,19019.0
Bibb County,Georgia,13,021,154816.0
Bleckley County,Georgia,13,023,12746.0
Brantley County,Georgia,13,025,18452.0
Brooks County,Georgia,13,027,15637.0
Bryan County,Georgia,13,029,33151.0
Bulloch County,Georgia,13,031,72386.0
Burke County,Georgia,13,033,23007.0
Butts County,Georgia,13,035,23445.0
Calhoun County,Georgia,13,037,6489.0
Camden County,Georgia,13,039,51445.0
Candler County,Georgia,13,043,11031.0
Carroll County,Georgia,13,045,112595.0
Catoosa County,Georgia,13,047,65375.0
Charlton County,Georgia,13,049,13130.0
Chatham County,Georgia,13,051,279290.0
Chattahoochee County,Georgia,13,053,11914.0
Chattooga County,Georgia,13,055,25241.0
Cherokee County,Georgia,13,057,225944.0
Clarke County,Georgia,13,059,120905.0
Clay County,Georgia,13,061,3104.0
Clayton County,Georgia,13,063,267234.0
Clinch County,Georgia,13,065,6791.0
Cobb County,Georgia,13,067,719133.0
Coffee County,Georgia,13,069,43003.0
Colquitt County,Georgia,13,071,46024.0
Columbia County,Georgia,13,073,136204.0
Cook County,Georgia,13,075,17033.0
Coweta County,Georgia,13,077,133416.0
Crawford County,Georgia,13,079,12539.0
Crisp County,Georgia,13,081,23314.0
Dade County,Georgia,13,083,16445.0
