County,State,State_FIPS,County_FIPS,asian_population
Candler County,Georgia,13,043,7539.0
Carroll County,Georgia,13,045,85295.0
Catoosa County,Georgia,13,047,60604.0
Charlton County,Georgia,13,049,9385.0
Chatham County,Georgia,13,051,148598.0
Chattahoochee County,Georgia,13,053,8276.0
Chattooga County,Georgia,13,055,21891.0
Cherokee County,Georgia,13,057,191990.0
Clarke County,Georgia,13,059,78002.0
Clay County,Georgia,13,061,933.0
Clayton County,Georgia,13,063,58024.0
Clinch County,Georgia,13,065,4566.0
Cobb County,Georgia,13,067,440344.0
Coffee County,Georgia,13,069,27757.0
Colquitt County,Georgia,13,071,32028.0
Columbia County,Georgia,13,073,100339.0
Cook County,Georgia,13,075,11794.0
Coweta County,Georgia,13,077,101697.0
Crawford County,Georgia,13,079,9282.0
Crisp County,Georgia,13,081,12620.0
Dade County,Georgia,13,083,15843.0
Dawson County,Georgia,13,085,21315.0
Decatur County,Georgia,13,087,14574.0
DeKalb County,Georgia,13,089,250716.0
Dodge County,Georgia,13,091,14397.0
Dooly County,Georgia,13,093,6629.0
Dougherty County,Georgia,13,095,27277.0
Douglas County,Georgia,13,097,70973.0
Early County,Georgia,13,099,5108.0
Echols County,Georgia,13,101,3220.0
Effingham County,Georgia,13,103,44293.0
Elbert County,Georgia,13,105,13186.0
Emanuel County,Georgia,13,107,13916.0
Evans County,Georgia,13,109,6400.0
Fannin County,Georgia,13,111,22955.0
Fayette County,Georgia,13,113,77218.0
Floyd County,Georgia,13,115,74782.0
Forsyth County,Georgia,13,117,161289.0
Franklin County,Georgia,13,119,18993.0
Fulton County,Georgia,13,121,440901.0
Gilmer County,Georgia,13,123,26335.0
Glascock County,Georgia,13,125,2743.0
Glynn County,Georgia,13,127,53668.0
Gordon County,Georgia,13,129,49401.0
Grady County,Georgia,13,131,15970.0
Greene County,Georgia,13,133,9420.0
Gwinnett County,Georgia,13,135,442511.0
Habersham County,Georgia,13,137,38237.0
Hall County,Georgia,13,139,152338.0
Hancock County,Georgia,13,141,2219.0
Haralson County,Georgia,13,143,26216.0
Harris County,Georgia,13,145,25849.0
Hart County,Georgia,13,147,19597.0
Heard County,Georgia,13,149,10179.0
Henry County,Georgia,13,151,113118.0
Houston County,Georgia,13,153,90066.0
Irwin County,Georgia,13,155,6537.0
Jackson County,Georgia,13,157,54052.0
Jasper County,Georgia,13,159,10103.0
Jeff Davis County,Georgia,13,161,11581.0
Jefferson County,Georgia,13,163,7182.0
Jenkins County,Georgia,13,165,5418.0
Johnson County,Georgia,13,167,6168.0
Jones County,Georgia,13,169,21021.0
Lamar County,Georgia,13,171,11936.0
Lanier County,Georgia,13,173,7353.0
Laurens County,Georgia,13,175,29475.0
Lee County,Georgia,13,177,21780.0
Liberty County,Georgia,13,179,30597.0
Lincoln County,Georgia,13,181,5117.0
Long County,Georgia,13,183,10199.0
Lowndes County,Georgia,13,185,65134.0
Lumpkin County,Georgia,13,187,29096.0
McDuffie County,Georgia,13,189,12303.0
McIntosh County,Georgia,13,191,8678.0
Macon County,Georgia,13,193,4835.0
Madison County,Georgia,13,195,24113.0
Marion County,Georgia,13,197,5168.0
Meriwether County,Georgia,13,199,12458.0
Miller County,Georgia,13,201,4189.0
Mitchell County,Georgia,13,205,11210.0
Monroe County,Georgia,13,207,19713.0
Montgomery County,Georgia,13,209,6408.0
Morgan County,Georgia,13,211,13178.0
Murray County,Georgia,13,213,37641.0
Muscogee County,Georgia,13,215,92002.0
Newton County,Georgia,13,217,54998.0
Oconee County,Georgia,13,219,30199.0
Oglethorpe County,Georgia,13,221,11477.0
Paulding County,Georgia,13,223,114626.0
Peach County,Georgia,13,225,12992.0
Pickens County,Georgia,13,227,28185.0
Pierce County,Georgia,13,229,16209.0
Pike County,Georgia,13,231,15570.0
Polk County,Georgia,13,233,31781.0
Pulaski County,Georgia,13,235,7581.0
Putnam County,Georgia,13,237,14929.0
Quitman County,Georgia,13,239,1094.0
Rabun County,Georgia,13,241,15112.0
Randolph County,Georgia,13,243,2606.0
