County,State,State_FIPS,County_FIPS,health_insurance_rate
Santa Barbara County,California,06,083,88.0
Santa Clara County,California,06,085,93.8
Santa Cruz County,California,06,087,91.7
Shasta County,California,06,089,90.6
Sierra County,California,06,091,90.6
Siskiyou County,California,06,093,91.7
Solano County,California,06,095,92.6
Sonoma County,California,06,097,91.6
Stanislaus County,California,06,099,90.8
Sutter County,California,06,101,88.2
Tehama County,California,06,103,91.2
Trinity County,California,06,105,85.9
Tulare County,California,06,107,87.8
Tuolumne County,California,06,109,93.4
Ventura County,California,06,111,89.2
Yolo County,California,06,113,92.3
Yuba County,California,06,115,89.8
Alamosa County,Colorado,08,003,86.7
Archuleta County,Colorado,08,007,84.3
Baca County,Colorado,08,009,89.0
Bent County,Colorado,08,011,86.0
Chaffee County,Colorado,08,015,87.4
Cheyenne County,Colorado,08,017,83.6
Clear Creek County,Colorado,08,019,90.4
Conejos County,Colorado,08,021,85.8
Costilla County,Colorado,08,023,85.1
Crowley County,Colorado,08,025,90.9
Custer County,Colorado,08,027,88.0
Delta County,Colorado,08,029,87.1
Dolores County,Colorado,08,033,92.7
Douglas County,Colorado,08,035,96.4
Eagle County,Colorado,08,037,83.1
Elbert County,Colorado,08,039,92.8
El Paso County,Colorado,08,041,92.1
Fremont County,Colorado,08,043,91.4
Garfield County,Colorado,08,045,80.2
Gilpin County,Colorado,08,047,90.6
Grand County,Colorado,08,049,82.3
Gunnison County,Colorado,08,051,87.0
Huerfano County,Colorado,08,055,87.6
