County,State,State_FIPS,County_FIPS,disability_rate
Bibb County,Georgia,13,021,14.0
Bleckley County,Georgia,13,023,14.2
Brantley County,Georgia,13,025,21.5
Brooks County,Georgia,13,027,21.7
Bryan County,Georgia,13,029,10.6
Bulloch County,Georgia,13,031,11.9
Burke County,Georgia,13,033,18.8
Butts County,Georgia,13,035,13.8
Calhoun County,Georgia,13,037,14.0
Camden County,Georgia,13,039,9.3
Candler County,Georgia,13,043,15.4
Carroll County,Georgia,13,045,15.1
Catoosa County,Georgia,13,047,15.6
Charlton County,Georgia,13,049,13.4
Chatham County,Georgia,13,051,11.1
Chattahoochee County,Georgia,13,053,20.7
Chattooga County,Georgia,13,055,17.4
Cherokee County,Georgia,13,057,8.7
Clarke County,Georgia,13,059,10.7
Clay County,Georgia,13,061,26.1
Clayton County,Georgia,13,063,10.6
Clinch County,Georgia,13,065,21.4
Cobb County,Georgia,13,067,7.6
Coffee County,Georgia,13,069,14.4
Colquitt County,Georgia,13,071,14.7
Columbia County,Georgia,13,073,9.6
Cook County,Georgia,13,075,14.2
Coweta County,Georgia,13,077,9.7
Crawford County,Georgia,13,079,13.9
Crisp County,Georgia,13,081,19.3
Dade County,Georgia,13,083,19.8
Dawson County,Georgia,13,085,12.7
Decatur County,Georgia,13,087,15.6
DeKalb County,Georgia,13,089,9.5
Dodge County,Georgia,13,091,16.8
Dooly County,Georgia,13,093,13.5
Dougherty County,Georgia,13,095,14.9
Douglas County,Georgia,13,097,11.1
Early County,Georgia,13,099,20.1
Echols County,Georgia,13,101,16.3
Effingham County,Georgia,13,103,12.2
Elbert County,Georgia,13,105,16.1
Emanuel County,Georgia,13,107,19.5
Evans County,Georgia,13,109,17.1
Fannin County,Georgia,13,111,21.2
Fayette County,Georgia,13,113,8.8
Floyd County,Georgia,13,115,17.2
Forsyth County,Georgia,13,117,7.1
Franklin County,Georgia,13,119,17.7
Fulton County,Georgia,13,121,8.8
Gilmer County,Georgia,13,123,18.9
Glascock County,Georgia,13,125,11.3
Glynn County,Georgia,13,127,13.9
Gordon County,Georgia,13,129,12.7
Grady County,Georgia,13,131,15.9
Greene County,Georgia,13,133,13.8
Gwinnett County,Georgia,13,135,7.0
Habersham County,Georgia,13,137,14.4
Hall County,Georgia,13,139,10.4
Hancock County,Georgia,13,141,16.6
Haralson County,Georgia,13,143,19.8
Harris County,Georgia,13,145,14.5
Hart County,Georgia,13,147,17.4
Heard County,Georgia,13,149,22.8
Henry County,Georgia,13,151,9.7
Houston County,Georgia,13,153,11.8
Irwin County,Georgia,13,155,18.1
Jackson County,Georgia,13,157,12.8
Jasper County,Georgia,13,159,12.5
Jeff Davis County,Georgia,13,161,14.0
Jefferson County,Georgia,13,163,13.8
Jenkins County,Georgia,13,165,18.3
Johnson County,Georgia,13,167,21.2
Jones County,Georgia,13,169,12.6
Lamar County,Georgia,13,171,16.3
Lanier County,Georgia,13,173,18.1
Laurens County,Georgia,13,175,13.4
Lee County,Georgia,13,177,11.8
Liberty County,Georgia,13,179,11.6
Lincoln County,Georgia,13,181,16.4
Long County,Georgia,13,183,11.1
Lowndes County,Georgia,13,185,13.0
Lumpkin County,Georgia,13,187,12.9
McDuffie County,Georgia,13,189,17.4
McIntosh County,Georgia,13,191,19.6
Macon County,Georgia,13,193,22.4
Madison County,Georgia,13,195,16.1
Marion County,Georgia,13,197,20.0
Meriwether County,Georgia,13,199,17.4
Miller County,Georgia,13,201,17.7
Mitchell County,Georgia,13,205,16.3
Monroe County,Georgia,13,207,14.9
Montgomery County,Georgia,13,209,12.7
Morgan County,Georgia,13,211,14.0
Murray County,Georgia,13,213,14.6
Muscogee County,Georgia,13,215,18.2
Newton County,Georgia,13,217,12.5
Oconee County,Georgia,13,219,10.1
Oglethorpe County,Georgia,13,221,18.8
Paulding County,Georgia,13,223,9.8
Peach County,Georgia,13,225,13.1
Pickens County,Georgia,13,227,12.8
Pierce County,Georgia,13,229,21.0
Pike County,Georgia,13,231,13.9
Polk County,Georgia,13,233,17.9
Pulaski County,Georgia,13,235,15.8
Putnam County,Georgia,13,237,14.2
Quitman County,Georgia,13,239,27.7
Rabun County,Georgia,13,241,16.6
Randolph County,Georgia,13,243,24.2
Richmond County,Georgia,13,245,17.6
Rockdale County,Georgia,13,247,10.9
Schley County,Georgia,13,249,16.5
Screven County,Georgia,13,251,20.8
Seminole County,Georgia,13,253,18.4
Spalding County,Georgia,13,255,15.0
Stephens County,Georgia,13,257,19.4
Stewart County,Georgia,13,259,28.8
Sumter County,Georgia,13,261,16.3
Talbot County,Georgia,13,263,24.8
Taliaferro County,Georgia,13,265,22.3
Tattnall County,Georgia,13,267,19.5
Taylor County,Georgia,13,269,17.0
Telfair County,Georgia,13,271,17.3
Terrell County,Georgia,13,273,24.0
Thomas County,Georgia,13,275,16.4
Tift County,Georgia,13,277,14.2
Toombs County,Georgia,13,279,14.6
Towns County,Georgia,13,281,18.5
Treutlen County,Georgia,13,283,22.8
Troup County,Georgia,13,285,16.7
Turner County,Georgia,13,287,21.5
Twiggs County,Georgia,13,289,16.9
Union County,Georgia,13,291,17.7
Upson County,Georgia,13,293,19.2
Walker County,Georgia,13,295,20.4
Walton County,Georgia,13,297,11.9
Ware County,Georgia,13,299,19.6
Warren County,Georgia,13,301,18.2
Washington County,Georgia,13,303,15.0
Wayne County,Georgia,13,305,17.8
Webster County,Georgia,13,307,22.3
Wheeler County,Georgia,13,309,19.1
White County,Georgia,13,311,14.5
Whitfield County,Georgia,13,313,13.5
Wilcox County,Georgia,13,315,18.8
Wilkes County,Georgia,13,317,22.8
Wilkinson County,Georgia,13,319,14.7
Worth County,Georgia,13,321,16.4
Hawaii County,Hawaii,15,001,13.4
Honolulu County,Hawaii,15,003,10.3
Kauai County,Hawaii,15,007,11.7
Kalawao County,Hawaii,15,005,6.6
Maui County,Hawaii,15,009,9.9
Ada County,Idaho,16,001,9.6
Adams County,Idaho,16,003,22.7
Bannock County,Idaho,16,005,13.3
Bear Lake County,Idaho,16,007,15.1
Benewah County,Idaho,16,009,17.6
Bingham County,Idaho,16,011,12.9
Blaine County,Idaho,16,013,6.6
Boise County,Idaho,16,015,17.5
Bonner County,Idaho,16,017,14.6
Bonneville County,Idaho,16,019,12.5
Boundary County,Idaho,16,021,13.2
Butte County,Idaho,16,023,16.5
Camas County,Idaho,16,025,15.2
Canyon County,Idaho,16,027,13.9
Caribou County,Idaho,16,029,15.1
Cassia County,Idaho,16,031,13.2
Clearwater County,Idaho,16,035,19.7
Custer County,Idaho,16,037,19.5
Elmore County,Idaho,16,039,11.3
Franklin County,Idaho,16,041,11.0
Fremont County,Idaho,16,043,13.9
Gem County,Idaho,16,045,15.5
Gooding County,Idaho,16,047,13.7
Idaho County,Idaho,16,049,19.7
Jefferson County,Idaho,16,051,11.3
Jerome County,Idaho,16,053,10.6
Kootenai County,Idaho,16,055,12.0
Latah County,Idaho,16,057,9.6
Lemhi County,Idaho,16,059,16.9
Lewis County,Idaho,16,061,21.1
Lincoln County,Idaho,16,063,11.1
Madison County,Idaho,16,065,5.8
Minidoka County,Idaho,16,067,13.0
Nez Perce County,Idaho,16,069,17.8
Oneida County,Idaho,16,071,17.1
Owyhee County,Idaho,16,073,17.1
Payette County,Idaho,16,075,15.6
Power County,Idaho,16,077,10.0
Shoshone County,Idaho,16,079,17.0
Teton County,Idaho,16,081,14.5
Twin Falls County,Idaho,16,083,12.3
Valley County,Idaho,16,085,13.2
Washington County,Idaho,16,087,18.6
Adams County,Illinois,17,001,13.9
Alexander County,Illinois,17,003,22.6
Bond County,Illinois,17,005,12.0
Boone County,Illinois,17,007,8.4
Brown County,Illinois,17,009,10.0
Bureau County,Illinois,17,011,12.3
Calhoun County,Illinois,17,013,16.8
Carroll County,Illinois,17,015,14.0
Cass County,Illinois,17,017,11.9
Champaign County,Illinois,17,019,8.5
Christian County,Illinois,17,021,13.6
Clark County,Illinois,17,023,15.8
Clay County,Illinois,17,025,14.5
Clinton County,Illinois,17,027,11.2
Coles County,Illinois,17,029,12.0
Cook County,Illinois,17,031,10.1
Crawford County,Illinois,17,033,16.4
Cumberland County,Illinois,17,035,16.5
DeKalb County,Illinois,17,037,7.4
De Witt County,Illinois,17,039,13.6
Douglas County,Illinois,17,041,10.3
DuPage County,Illinois,17,043,7.7
Edgar County,Illinois,17,045,15.4
Edwards County,Illinois,17,047,15.3
Effingham County,Illinois,17,049,12.0
Fayette County,Illinois,17,051,13.9
Ford County,Illinois,17,053,12.6
Franklin County,Illinois,17,055,19.8
Fulton County,Illinois,17,057,14.2
Gallatin County,Illinois,17,059,21.5
Greene County,Illinois,17,061,15.8
Grundy County,Illinois,17,063,9.3
Hamilton County,Illinois,17,065,17.2
Hancock County,Illinois,17,067,15.1
Hardin County,Illinois,17,069,29.7
Henderson County,Illinois,17,071,15.6
Henry County,Illinois,17,073,10.9
